corpus	verse	region	era	year	tempo	sylsPerWord	sylsPerSecond	saturation	sat.delta	rhymeMixture	rhymeEntropy	rhymeEntropy4	grooviness	adherence	phraseLength	phraseLengthVariance	instancesPerClass	syllablesPerInstance	dupleness
blackThought	artImitatesLife			NA	93.53534369	1.38129496402878	5.30184234764573	11.3529411764706	2.1875	0	0.321142616405536	0.0729173322729636	0.61	0.66	2.48	0.290900735294118	6.67	3	0.64
blackThought	atonement	NA	NA	NA	72	1.25	4.31304347826087	12.6470588235294	1.4375	0.73	0.498988702006654	0.16666241505295	0.43	0.83	2.14	0.917291666666667	5.33	2.33	0.42
blackThought	baby1	NA	NA	NA	113	1.45161290322581	4.62707275803723	8.625	1	0.4	0.459869358067823	0.259311709818654	0.95	0.94	1.99	0.359834558823529	6	3	0
blackThought	birdsEyeView			NA	84.000525	1.43727598566308	4.9934820906801	12.53125	1.67741935483871	0.13	0.464709756940299	0.106073936485746	0.63	0.7	2.06	1.59576506342495	3.14	3.43	0.56
blackThought	birthdayGirl			NA	80.76389181	1.19354838709677	4.89919103472072	12.4444444444444	1.5	0	0.307433503074361	0	0.85	0.86	2.13	1.63068181818182	11	1	0.86
blackThought	breadAndButter2	NA	NA	NA	93	1.31896551724138	5.54736842105263	12.7916666666667	1.47826086956522	0.35	0.466967530114062	0.128926461198248	0.35	0.5	2.04	2.8737684729064	4.2	2.5	0.38
blackThought	cantStopThis2	NA	NA	NA	93	1.30322580645161	5.47414634146342	11.9411764705882	1.5625	0.2	0.49016953241766	0.175593826802127	0.34	0.55	2.13	1.98947368421053	5.5	3.75	0
blackThought	clap			NA	90.01828496	1.24626865671642	4.73609715465225	10.4375	1.73333333333333	0.07	0.570212388393767	0.383086289259074	0.13	0.49	2.07	2.63338815789474	3.67	2.17	0.18
blackThought	congregation			NA	75.99746675	1.38	4.61502768382838	11.5	1.76470588235294	0.56	0.482733674990251	0.0621620305333779	0.31	0.69	2	1.0225	6	2	0.4
blackThought	dearGod2	NA	NA	NA	81.5	1.25490196078431	4.68866328257191	12	1.4	0.2	0.528549819096978	0.263929487480519	0.31	0.46	2.32	2.39136904761905	4	2	0.43
blackThought	falseMedia	NA	NA	NA	93	1.29341317365269	5.42844444444444	12.8823529411765	1.5625	0	0.549893659200194	0.274448485818597	0.36	0.83	2.15	0.95	11	2	0
