class	rotation	start	end	length	effort.rate	verse	corpus
3322222	4	10	25	16	0	aintNoHalf	genre1
22222222	0	26	49	24	0	aintNoHalf	genre1
3232222	2	50	57	8	0	aintNoHalf	genre1
3322222	4	58	73	16	0	aintNoHalf	genre1
22222222	0	74	91	18	0	aintNoHalf	genre1
3322222	12	92	97	6	0	aintNoHalf	genre1
22222222	0	98	163	66	0	aintNoHalf	genre1
3223222	4	164	173	10	0	aintNoHalf	genre1
22222222	0	174	237	64	0	aintNoHalf	genre1
3232222	14	238	245	8	0	aintNoHalf	genre1
22222222	0	246	291	46	0	aintNoHalf	genre1
3322222	4	292	297	6	0	aintNoHalf	genre1
22222222	0	298	323	26	0	aintNoHalf	genre1
333322	14	324	339	16	0	aintNoHalf	genre1
22222222	0	340	359	20	0	aintNoHalf	genre1
3223222	1	360	371	12	0	aintNoHalf	genre1
22222222	0	372	387	16	0	aintNoHalf	genre1
3232222	4	388	395	8	0	aintNoHalf	genre1
22222222	0	396	425	30	0	aintNoHalf	genre1
3322222	10	426	441	16	0	aintNoHalf	genre1
3322222	2	0	9	10	0.075	aintNoHalf	genre1
3322222	4	10	25	16	0.075	aintNoHalf	genre1
22222222	0	26	41	16	0.075	aintNoHalf	genre1
3322222	4	42	73	32	0.075	aintNoHalf	genre1
22222222	0	74	163	90	0.075	aintNoHalf	genre1
3223222	4	164	173	10	0.075	aintNoHalf	genre1
22222222	0	174	237	64	0.075	aintNoHalf	genre1
3232222	14	238	245	8	0.075	aintNoHalf	genre1
22222222	0	246	323	78	0.075	aintNoHalf	genre1
3322222	4	324	333	10	0.075	aintNoHalf	genre1
333322	14	334	339	6	0.075	aintNoHalf	genre1
22222222	0	340	359	20	0.075	aintNoHalf	genre1
3223222	1	360	371	12	0.075	aintNoHalf	genre1
22222222	0	372	387	16	0.075	aintNoHalf	genre1
3232222	4	388	395	8	0.075	aintNoHalf	genre1
22222222	0	396	443	48	0.075	aintNoHalf	genre1
3322222	4	0	73	74	0.15	aintNoHalf	genre1
22222222	0	74	359	286	0.15	aintNoHalf	genre1
3223222	1	360	371	12	0.15	aintNoHalf	genre1
22222222	0	372	443	72	0.15	aintNoHalf	genre1
3322222	4	0	73	74	0.25	aintNoHalf	genre1
22222222	0	74	443	370	0.25	aintNoHalf	genre1
22222222	0	0	31	32	0	ambition	genre1
332332	0	32	45	14	0	ambition	genre1
22222222	0	46	67	22	0	ambition	genre1
333232	1	68	83	16	0	ambition	genre1
332332	5	93	111	19	0	ambition	genre1
3232222	8	112	119	8	0	ambition	genre1
332332	5	120	124	5	0	ambition	genre1
333232	10	125	159	35	0	ambition	genre1
333232	13	182	199	18	0	ambition	genre1
3322222	0	200	207	8	0	ambition	genre1
333232	13	208	223	16	0	ambition	genre1
22222222	0	0	31	32	0.075	ambition	genre1
332332	0	32	45	14	0.075	ambition	genre1
22222222	0	46	67	22	0.075	ambition	genre1
333232	1	68	83	16	0.075	ambition	genre1
332332	5	93	111	19	0.075	ambition	genre1
3232222	8	112	119	8	0.075	ambition	genre1
333232	10	120	159	40	0.075	ambition	genre1
333232	13	182	199	18	0.075	ambition	genre1
3322222	0	200	207	8	0.075	ambition	genre1
333232	13	208	223	16	0.075	ambition	genre1
22222222	0	0	75	76	0.15	ambition	genre1
333232	1	76	83	8	0.15	ambition	genre1
333232	10	88	175	88	0.15	ambition	genre1
333232	13	182	199	18	0.15	ambition	genre1
3322222	0	200	207	8	0.15	ambition	genre1
333232	13	208	223	16	0.15	ambition	genre1
22222222	0	0	87	88	0.25	ambition	genre1
332332	5	88	92	5	0.25	ambition	genre1
333232	10	93	201	109	0.25	ambition	genre1
333322	10	202	215	14	0.25	ambition	genre1
333232	13	216	223	8	0.25	ambition	genre1
332332	4	226	243	18	0.25	ambition	genre1
3322222	6	4	8	5	0	amnesia	genre1
3232222	4	9	47	39	0	amnesia	genre1
3322222	0	48	59	12	0	amnesia	genre1
3232222	4	60	75	16	0	amnesia	genre1
3322222	4	76	89	14	0	amnesia	genre1
22222222	0	90	105	16	0	amnesia	genre1
3322222	4	106	147	42	0	amnesia	genre1
22222222	0	148	161	14	0	amnesia	genre1
3322222	2	162	167	6	0	amnesia	genre1
22222222	0	168	203	36	0	amnesia	genre1
3232222	12	204	215	12	0	amnesia	genre1
3232222	8	216	223	8	0	amnesia	genre1
22222222	0	224	277	54	0	amnesia	genre1
3322222	6	278	283	6	0	amnesia	genre1
3232222	4	284	299	16	0	amnesia	genre1
3322222	4	300	317	18	0	amnesia	genre1
3322222	14	324	339	16	0	amnesia	genre1
3322222	6	4	8	5	0.075	amnesia	genre1
3232222	4	9	47	39	0.075	amnesia	genre1
3322222	0	48	57	10	0.075	amnesia	genre1
3322222	4	58	137	80	0.075	amnesia	genre1
22222222	0	138	203	66	0.075	amnesia	genre1
3232222	12	204	215	12	0.075	amnesia	genre1
3232222	8	216	223	8	0.075	amnesia	genre1
22222222	0	224	291	68	0.075	amnesia	genre1
3322222	6	292	299	8	0.075	amnesia	genre1
3232222	4	300	317	18	0.075	amnesia	genre1
3322222	14	324	339	16	0.075	amnesia	genre1
3232222	4	0	57	58	0.15	amnesia	genre1
3322222	4	58	137	80	0.15	amnesia	genre1
22222222	0	138	307	170	0.15	amnesia	genre1
3322222	4	308	313	6	0.15	amnesia	genre1
3322222	6	314	317	4	0.15	amnesia	genre1
3322222	14	324	339	16	0.15	amnesia	genre1
3232222	4	0	3	4	0.25	amnesia	genre1
3322222	6	4	8	5	0.25	amnesia	genre1
3232222	4	9	57	49	0.25	amnesia	genre1
3322222	4	58	137	80	0.25	amnesia	genre1
22222222	0	138	307	170	0.25	amnesia	genre1
3322222	4	308	313	6	0.25	amnesia	genre1
3322222	6	314	317	4	0.25	amnesia	genre1
3322222	4	318	329	12	0.25	amnesia	genre1
3322222	6	330	333	4	0.25	amnesia	genre1
3322222	14	334	339	6	0.25	amnesia	genre1
333322	14	340	342	3	0.25	amnesia	genre1
22222222	0	0	115	116	0	aroundMyWay2	talibKweli
3322222	4	116	121	6	0	aroundMyWay2	talibKweli
22222222	0	122	157	36	0	aroundMyWay2	talibKweli
332332	6	158	171	14	0	aroundMyWay2	talibKweli
22222222	0	172	205	34	0	aroundMyWay2	talibKweli
3322222	14	206	211	6	0	aroundMyWay2	talibKweli
22222222	0	212	247	36	0	aroundMyWay2	talibKweli
22222222	0	0	157	158	0.075	aroundMyWay2	talibKweli
332332	6	158	171	14	0.075	aroundMyWay2	talibKweli
22222222	0	172	247	76	0.075	aroundMyWay2	talibKweli
22222222	0	0	247	248	0.15	aroundMyWay2	talibKweli
22222222	0	0	247	248	0.25	aroundMyWay2	talibKweli
3322222	6	0	11	12	0	artImitatesLife	blackThought
22222222	0	12	35	24	0	artImitatesLife	blackThought
3232222	4	36	45	10	0	artImitatesLife	blackThought
3322222	2	46	55	10	0	artImitatesLife	blackThought
22222222	0	56	99	44	0	artImitatesLife	blackThought
3322222	4	100	109	10	0	artImitatesLife	blackThought
3322222	0	110	117	8	0	artImitatesLife	blackThought
3322222	14	118	125	8	0	artImitatesLife	blackThought
333322	8	126	141	16	0	artImitatesLife	blackThought
22222222	0	142	253	112	0	artImitatesLife	blackThought
3322222	6	0	11	12	0.075	artImitatesLife	blackThought
22222222	0	12	35	24	0.075	artImitatesLife	blackThought
3232222	4	36	43	8	0.075	artImitatesLife	blackThought
22222222	0	44	111	68	0.075	artImitatesLife	blackThought
3322222	0	112	117	6	0.075	artImitatesLife	blackThought
3322222	14	118	125	8	0.075	artImitatesLife	blackThought
333322	8	126	131	6	0.075	artImitatesLife	blackThought
22222222	0	132	253	122	0.075	artImitatesLife	blackThought
3322222	6	0	11	12	0.15	artImitatesLife	blackThought
22222222	0	12	253	242	0.15	artImitatesLife	blackThought
22222222	0	0	253	254	0.25	artImitatesLife	blackThought
333232	5	0	7	8	0	astonMartin	genre1
3322222	8	8	90	83	0	astonMartin	genre1
3223222	8	91	97	7	0	astonMartin	genre1
3322222	4	98	121	24	0	astonMartin	genre1
22222222	0	122	187	66	0	astonMartin	genre1
333232	5	0	7	8	0.075	astonMartin	genre1
3322222	8	8	99	92	0.075	astonMartin	genre1
3322222	4	100	105	6	0.075	astonMartin	genre1
22222222	0	106	187	82	0.075	astonMartin	genre1
3322222	8	0	99	100	0.15	astonMartin	genre1
3322222	4	100	105	6	0.15	astonMartin	genre1
22222222	0	106	187	82	0.15	astonMartin	genre1
3322222	8	0	99	100	0.25	astonMartin	genre1
3322222	4	100	105	6	0.25	astonMartin	genre1
22222222	0	106	187	82	0.25	astonMartin	genre1
333322	8	1	19	19	0	atonement	blackThought
333232	1	20	35	16	0	atonement	blackThought
3322222	8	36	51	16	0	atonement	blackThought
3223222	12	58	69	12	0	atonement	blackThought
22222222	0	70	135	66	0	atonement	blackThought
3322222	8	136	141	6	0	atonement	blackThought
22222222	0	142	173	32	0	atonement	blackThought
3223222	7	174	189	16	0	atonement	blackThought
333322	8	190	205	16	0	atonement	blackThought
3322222	4	206	221	16	0	atonement	blackThought
3322222	0	222	235	14	0	atonement	blackThought
333322	8	1	19	19	0.075	atonement	blackThought
333232	1	20	35	16	0.075	atonement	blackThought
3322222	8	36	51	16	0.075	atonement	blackThought
3223222	12	58	69	12	0.075	atonement	blackThought
22222222	0	70	173	104	0.075	atonement	blackThought
3223222	7	174	189	16	0.075	atonement	blackThought
333322	8	190	205	16	0.075	atonement	blackThought
3322222	4	206	221	16	0.075	atonement	blackThought
3322222	0	222	235	14	0.075	atonement	blackThought
333322	8	1	19	19	0.15	atonement	blackThought
333232	1	20	35	16	0.15	atonement	blackThought
3322222	8	36	51	16	0.15	atonement	blackThought
22222222	0	58	173	116	0.15	atonement	blackThought
3223222	7	174	189	16	0.15	atonement	blackThought
333322	8	190	205	16	0.15	atonement	blackThought
3322222	4	206	221	16	0.15	atonement	blackThought
3322222	0	222	235	14	0.15	atonement	blackThought
333322	8	1	19	19	0.25	atonement	blackThought
333232	1	20	35	16	0.25	atonement	blackThought
22222222	0	36	211	176	0.25	atonement	blackThought
3322222	4	212	221	10	0.25	atonement	blackThought
3322222	0	222	235	14	0.25	atonement	blackThought
22222222	0	236	243	8	0.25	atonement	blackThought
3322222	8	0	138	139	0	baby1	blackThought
332332	5	139	151	13	0	baby1	blackThought
3232222	8	152	250	99	0	baby1	blackThought
3322222	8	0	143	144	0.075	baby1	blackThought
332332	5	144	151	8	0.075	baby1	blackThought
3232222	8	152	250	99	0.075	baby1	blackThought
3322222	8	0	143	144	0.15	baby1	blackThought
3232222	8	144	250	107	0.15	baby1	blackThought
3322222	8	0	143	144	0.25	baby1	blackThought
3232222	8	144	250	107	0.25	baby1	blackThought
3322222	8	0	138	139	0	baby2	blackThoughtOther
332332	5	139	159	21	0	baby2	blackThoughtOther
3322222	8	160	175	16	0	baby2	blackThoughtOther
3232222	8	176	195	20	0	baby2	blackThoughtOther
3232222	12	196	215	20	0	baby2	blackThoughtOther
3232222	8	216	227	12	0	baby2	blackThoughtOther
3232222	4	228	237	10	0	baby2	blackThoughtOther
332332	0	238	253	16	0	baby2	blackThoughtOther
3322222	8	0	143	144	0.075	baby2	blackThoughtOther
332332	5	144	151	8	0.075	baby2	blackThoughtOther
3232222	8	152	199	48	0.075	baby2	blackThoughtOther
3232222	12	200	215	16	0.075	baby2	blackThoughtOther
3232222	8	216	227	12	0.075	baby2	blackThoughtOther
3232222	4	228	237	10	0.075	baby2	blackThoughtOther
332332	0	238	253	16	0.075	baby2	blackThoughtOther
3322222	8	0	143	144	0.15	baby2	blackThoughtOther
3232222	8	144	199	56	0.15	baby2	blackThoughtOther
3232222	12	200	215	16	0.15	baby2	blackThoughtOther
3232222	8	216	227	12	0.15	baby2	blackThoughtOther
3232222	4	228	237	10	0.15	baby2	blackThoughtOther
332332	0	238	253	16	0.15	baby2	blackThoughtOther
3322222	8	0	143	144	0.25	baby2	blackThoughtOther
3232222	8	144	239	96	0.25	baby2	blackThoughtOther
332332	0	240	253	14	0.25	baby2	blackThoughtOther
332332	0	0	15	16	0	babyBaby	genre1
3322222	8	16	21	6	0	babyBaby	genre1
332332	0	22	37	16	0	babyBaby	genre1
22222222	0	38	63	26	0	babyBaby	genre1
3322222	0	64	69	6	0	babyBaby	genre1
22222222	0	70	85	16	0	babyBaby	genre1
3322222	0	86	130	45	0	babyBaby	genre1
3232222	0	131	135	5	0	babyBaby	genre1
22222222	0	136	151	16	0	babyBaby	genre1
332332	0	152	173	22	0	babyBaby	genre1
22222222	0	174	211	38	0	babyBaby	genre1
3322222	4	212	217	6	0	babyBaby	genre1
22222222	0	218	245	28	0	babyBaby	genre1
3322222	6	246	251	6	0	babyBaby	genre1
332332	0	0	15	16	0.075	babyBaby	genre1
3322222	8	16	21	6	0.075	babyBaby	genre1
332332	0	22	29	8	0.075	babyBaby	genre1
3322222	0	30	37	8	0.075	babyBaby	genre1
22222222	0	38	53	16	0.075	babyBaby	genre1
3322222	0	54	143	90	0.075	babyBaby	genre1
22222222	0	144	151	8	0.075	babyBaby	genre1
332332	0	152	173	22	0.075	babyBaby	genre1
22222222	0	174	245	72	0.075	babyBaby	genre1
3322222	6	246	251	6	0.075	babyBaby	genre1
332332	0	0	13	14	0.15	babyBaby	genre1
22222222	0	14	53	40	0.15	babyBaby	genre1
3322222	0	54	165	112	0.15	babyBaby	genre1
22222222	0	166	251	86	0.15	babyBaby	genre1
22222222	0	0	53	54	0.25	babyBaby	genre1
3322222	0	54	165	112	0.25	babyBaby	genre1
22222222	0	166	251	86	0.25	babyBaby	genre1
22222222	0	0	17	18	0	backup1	talibKweli
3223222	2	18	27	10	0	backup1	talibKweli
22222222	0	28	43	16	0	backup1	talibKweli
3322222	12	44	49	6	0	backup1	talibKweli
22222222	0	50	77	28	0	backup1	talibKweli
3223222	14	78	89	12	0	backup1	talibKweli
332332	4	90	113	24	0	backup1	talibKweli
22222222	0	114	131	18	0	backup1	talibKweli
332332	4	132	147	16	0	backup1	talibKweli
3223222	6	148	161	14	0	backup1	talibKweli
3322222	12	162	177	16	0	backup1	talibKweli
22222222	0	178	235	58	0	backup1	talibKweli
3322222	12	236	241	6	0	backup1	talibKweli
22222222	0	242	275	34	0	backup1	talibKweli
3322222	4	276	301	26	0	backup1	talibKweli
22222222	0	0	17	18	0.075	backup1	talibKweli
3223222	2	18	27	10	0.075	backup1	talibKweli
22222222	0	28	77	50	0.075	backup1	talibKweli
3223222	14	78	89	12	0.075	backup1	talibKweli
332332	4	90	113	24	0.075	backup1	talibKweli
22222222	0	114	131	18	0.075	backup1	talibKweli
332332	4	132	147	16	0.075	backup1	talibKweli
3223222	6	148	159	12	0.075	backup1	talibKweli
22222222	0	160	275	116	0.075	backup1	talibKweli
3322222	4	276	301	26	0.075	backup1	talibKweli
22222222	0	0	17	18	0.15	backup1	talibKweli
3223222	2	18	27	10	0.15	backup1	talibKweli
22222222	0	28	77	50	0.15	backup1	talibKweli
3223222	14	78	89	12	0.15	backup1	talibKweli
332332	4	90	147	58	0.15	backup1	talibKweli
3223222	6	148	159	12	0.15	backup1	talibKweli
22222222	0	160	275	116	0.15	backup1	talibKweli
3322222	4	276	301	26	0.15	backup1	talibKweli
22222222	0	0	91	92	0.25	backup1	talibKweli
3322222	12	92	145	54	0.25	backup1	talibKweli
22222222	0	146	275	130	0.25	backup1	talibKweli
3322222	4	276	301	26	0.25	backup1	talibKweli
22222222	0	0	15	16	0	backup2	talibKweli
3322222	0	16	25	10	0	backup2	talibKweli
3322222	12	26	33	8	0	backup2	talibKweli
22222222	0	34	75	42	0	backup2	talibKweli
3232222	12	76	83	8	0	backup2	talibKweli
22222222	0	84	99	16	0	backup2	talibKweli
3232222	4	100	107	8	0	backup2	talibKweli
22222222	0	108	149	42	0	backup2	talibKweli
3322222	6	150	155	6	0	backup2	talibKweli
22222222	0	156	179	24	0	backup2	talibKweli
3232222	4	180	187	8	0	backup2	talibKweli
22222222	0	188	227	40	0	backup2	talibKweli
3322222	4	228	233	6	0	backup2	talibKweli
22222222	0	234	253	20	0	backup2	talibKweli
22222222	0	0	15	16	0.075	backup2	talibKweli
3322222	0	16	21	6	0.075	backup2	talibKweli
22222222	0	22	75	54	0.075	backup2	talibKweli
3232222	12	76	83	8	0.075	backup2	talibKweli
22222222	0	84	99	16	0.075	backup2	talibKweli
3232222	4	100	107	8	0.075	backup2	talibKweli
22222222	0	108	179	72	0.075	backup2	talibKweli
3232222	4	180	187	8	0.075	backup2	talibKweli
22222222	0	188	253	66	0.075	backup2	talibKweli
22222222	0	0	253	254	0.15	backup2	talibKweli
22222222	0	0	253	254	0.25	backup2	talibKweli
333322	4	13	17	5	0	batchesAndCookies	genre1
333232	4	18	33	16	0	batchesAndCookies	genre1
332332	7	34	41	8	0	batchesAndCookies	genre1
333232	12	42	46	5	0	batchesAndCookies	genre1
3232222	7	47	54	8	0	batchesAndCookies	genre1
3322222	13	71	86	16	0	batchesAndCookies	genre1
3223222	4	87	102	16	0	batchesAndCookies	genre1
3223222	13	103	111	9	0	batchesAndCookies	genre1
332332	5	0	12	13	0.075	batchesAndCookies	genre1
333322	4	13	17	5	0.075	batchesAndCookies	genre1
333232	4	18	33	16	0.075	batchesAndCookies	genre1
332332	7	34	41	8	0.075	batchesAndCookies	genre1
333232	12	42	46	5	0.075	batchesAndCookies	genre1
3232222	7	47	54	8	0.075	batchesAndCookies	genre1
3322222	13	71	86	16	0.075	batchesAndCookies	genre1
3223222	4	87	102	16	0.075	batchesAndCookies	genre1
3223222	13	103	111	9	0.075	batchesAndCookies	genre1
332332	5	0	12	13	0.15	batchesAndCookies	genre1
