class	rotation	start	end	length	effort.rate	verse	corpus
22222222	0	0	7	8	0	25toLife	eminem
3322222	2	8	23	16	0	25toLife	eminem
22222222	0	24	53	30	0	25toLife	eminem
3322222	0	54	85	32	0	25toLife	eminem
22222222	0	86	139	54	0	25toLife	eminem
3232222	12	140	151	12	0	25toLife	eminem
3232222	0	152	175	24	0	25toLife	eminem
3322222	4	176	195	20	0	25toLife	eminem
3322222	8	196	215	20	0	25toLife	eminem
22222222	0	216	221	6	0	25toLife	eminem
22222222	0	228	265	38	0	25toLife	eminem
333322	10	266	281	16	0	25toLife	eminem
3322222	0	282	287	6	0	25toLife	eminem
3322222	4	288	294	7	0	25toLife	eminem
3232222	2	295	326	32	0	25toLife	eminem
3223222	2	327	337	11	0	25toLife	eminem
3322222	12	338	363	26	0	25toLife	eminem
332332	6	364	381	18	0	25toLife	eminem
22222222	0	0	63	64	0.0625	25toLife	eminem
3322222	0	64	69	6	0.0625	25toLife	eminem
22222222	0	70	139	70	0.0625	25toLife	eminem
3232222	12	140	151	12	0.0625	25toLife	eminem
3232222	0	152	175	24	0.0625	25toLife	eminem
3322222	4	176	195	20	0.0625	25toLife	eminem
3322222	8	196	215	20	0.0625	25toLife	eminem
22222222	0	216	221	6	0.0625	25toLife	eminem
22222222	0	228	265	38	0.0625	25toLife	eminem
333322	10	266	281	16	0.0625	25toLife	eminem
3232222	2	282	326	45	0.0625	25toLife	eminem
3223222	2	327	337	11	0.0625	25toLife	eminem
3322222	12	338	363	26	0.0625	25toLife	eminem
332332	6	364	381	18	0.0625	25toLife	eminem
22222222	0	0	63	64	0.125	25toLife	eminem
3322222	0	64	69	6	0.125	25toLife	eminem
22222222	0	70	159	90	0.125	25toLife	eminem
3232222	0	160	167	8	0.125	25toLife	eminem
22222222	0	168	291	124	0.125	25toLife	eminem
3232222	2	292	337	46	0.125	25toLife	eminem
3322222	4	338	339	2	0.125	25toLife	eminem
3322222	12	340	363	24	0.125	25toLife	eminem
332332	6	364	381	18	0.125	25toLife	eminem
22222222	0	0	63	64	0.25	25toLife	eminem
3322222	0	64	69	6	0.25	25toLife	eminem
22222222	0	70	291	222	0.25	25toLife	eminem
3232222	2	292	353	62	0.25	25toLife	eminem
3322222	4	354	355	2	0.25	25toLife	eminem
3232222	2	356	365	10	0.25	25toLife	eminem
3322222	6	366	385	20	0.25	25toLife	eminem
3322222	2	0	17	18	0	aintNoHalf	genre1
3322222	4	18	35	18	0	aintNoHalf	genre1
22222222	0	36	41	6	0	aintNoHalf	genre1
3232222	2	42	65	24	0	aintNoHalf	genre1
3322222	4	66	83	18	0	aintNoHalf	genre1
3322222	12	84	97	14	0	aintNoHalf	genre1
22222222	0	98	163	66	0	aintNoHalf	genre1
3223222	4	164	173	10	0	aintNoHalf	genre1
22222222	0	174	237	64	0	aintNoHalf	genre1
3232222	14	238	245	8	0	aintNoHalf	genre1
22222222	0	246	291	46	0	aintNoHalf	genre1
3322222	4	292	307	16	0	aintNoHalf	genre1
22222222	0	308	313	6	0	aintNoHalf	genre1
3322222	4	314	323	10	0	aintNoHalf	genre1
333322	14	324	339	16	0	aintNoHalf	genre1
3322222	14	340	349	10	0	aintNoHalf	genre1
22222222	0	350	355	6	0	aintNoHalf	genre1
3223222	1	356	375	20	0	aintNoHalf	genre1
22222222	0	376	379	4	0	aintNoHalf	genre1
3232222	4	380	403	24	0	aintNoHalf	genre1
22222222	0	404	415	12	0	aintNoHalf	genre1
3322222	10	416	441	26	0	aintNoHalf	genre1
3322222	2	0	17	18	0.0625	aintNoHalf	genre1
3322222	4	18	35	18	0.0625	aintNoHalf	genre1
