verse	atypicality	22222222	3322222	3232222	3223222	333322	333232	332332
1	mcsActLike	0.100933162297485	0.69	0.17	0.05	0	0.03	0	0.06
2	waterWhippin	0.130165256674668	0.7	0.18	0.05	0	0.07	0	0
3	yallReady	0.140294265240384	0.7	0	0.08	0.03	0.19	0	0
4	myCrew	0.173591072514536	0.53	0.28	0.11	0	0.09	0	0
5	underPressure	0.209491672619384	0.47	0.32	0.02	0	0.08	0.06	0.06
6	candyShop	4.90363143961617	0	0.54	0.45	0.01	0	0	0
7	lightersUp	5.49957644074269	0.08	0.09	0.44	0	0	0.14	0.25
8	ambition	15.6775105251325	0.36	0.04	0	0	0	0.61	0
9	theMessage	20.7509447084925	0	0	1	0	0	0	0
10	theBreaks	22.9504664594776	0.02	0.06	0	0	0	0	0.92
