BT.mean BT.sd RM.mean RM.sd MeanDiff t p
saturation 11.79 0.97 11.1 1.45 0.7 2.85 0
sat.delta 1.7 0.53 2.07 0.73 -0.38 -2.9 0
phraseLength 2.13 0.31 2.37 0.43 -0.24 -3.23 0.03
phraseLengthVariance 1.77 1.16 2.87 4.07 -1.1 -2.14 0.04
instancesPerClass 5.07 2 3.62 2.47 1.45 3.14 0.05
syllablesPerInstance 2.31 0.68 1.65 0.44 0.66 4.93 0.07
rhymeMixture 0.27 0.39 0.15 0.21 0.12 1.6 0.08
dupleness 0.27 0.23 0.45 0.34 -0.18 -3.04 0.35
sylsPerSecond 5.14 0.38 5.09 0.71 0.05 0.44 0.52
sylsPerWord 1.34 0.11 1.23 0.08 0.11 4.98 0.72
rhymeEntropy 0.51 0.12 0.44 0.15 0.06 2.32 1
rhymeEntropy4 0.25 0.13 0.23 0.16 0.02 0.76 1
grooviness 0.4 0.23 0.51 0.34 -0.11 -2.01 1
adherence 0.63 0.15 0.67 0.27 -0.04 -1.06 1
tempo 90.59 9.27 87.69 15.56 2.9 1.18 1
