verse	atypicality	22222222	3322222	3232222	3223222	333322	333232	332332
1	underPressure	0.143481212810903	0.44	0.35	0.02	0	0.08	0.06	0.06
2	mcsActLike	0.178824076421817	0.66	0.22	0.05	0	0.04	0	0.02
3	waterWhippin	0.23873260297937	0.7	0.16	0.07	0	0.07	0	0
4	dilemma	0.317647303300881	0.57	0.4	0	0	0	0	0.03
5	noLoveAlsina	0.327498988935073	0.65	0.31	0	0.04	0	0	0
6	lightersUp	5.58455925392034	0.02	0.09	0.51	0	0	0.14	0.25
7	feelTheNew	6.67167568731838	0	0.36	0	0.49	0	0.09	0.07
8	ambition	11.8589768987685	0.32	0.04	0.04	0	0	0.52	0.09
9	theMessage	16.2506456213399	0	0	1	0	0	0	0
10	theBreaks	17.158873717118	0.02	0.09	0	0	0	0	0.89
