year	artist	titleCode	title	album	type	era	inRevisedCorpus	inOriginalCorpus	newToTranscribe	lyrics	audio downloaded
2017	Logic		America	 Everybody	guest_appearance	3	0	0			
2005	 LaToya London		Appreciate	 Love and Life	guest_appearance	2	0	0			
2013	 Talib Kweli	artImitatesLife	Art Imitates Life	 Gravitas	guest_appearance	3	1	0	1	1	1
2013	 Statik Selektah	birdsEyeView	Bird's Eye View	 Extended Play	guest_appearance	3	1	0	1	1	1
1999	 Bob Marley		Burnin' and Lootin'	 Chant Down Babylon (Post-Humous Remix)	guest_appearance	1	0	0			
2008	 Styles P		Cause I'm Black	 Super Gangster (Extraordinary Gentleman)	guest_appearance	2	0	0			
2002	 Soulive	clap	Clap!	 Next	guest_appearance	2	1	0	1	1	1
2007	 Strong Arm Steady		Clean Up	 Deep Hearted	guest_appearance	2	0	0			
2013	 Black Milk		Codes and Cab Fare	 No Poison No Paradise	guest_appearance	3	0	0			
2000	 Common		Cold Blooded	 Like Water for Chocolate	guest_appearance	1	0	0			
2012	 Ab-Soul	congregation	Congregation	 Talib Kweli	guest_appearance	3	1	0	1	1	1
1996	 Bahamadia		Da Jawn	 Kollage	guest_appearance	1	0	0			
2015	 Freddie Gibbs		Extradite	 Shadow of a Doubt	guest_appearance	3	0	0			
2005	 Curse		Flutlicht	 Sinnflut	guest_appearance	2	0	0			
1997	 Jedi Mind Tricks		Get This Low	 The Psycho-Social	guest_appearance	1	0	0			
2008	 Muja Messiah		Give It Up	 Thee Adventures Of A B-Boy D-Boy	guest_appearance	2	0	0			
2011	 Nneka		God Knows Why	 Soul is Heavy	guest_appearance	3	0	0			
2002	 Talib Kweli		Guerilla Monsoon Rap	 Quality	guest_appearance	2	0	0			
2001	 Dilated Peoples		Hard Hitters	 Expansion Team	guest_appearance	2	0	0			
2008	 Skillz		Hold Tight	 The Million Dollar Backpack	guest_appearance	2	0	0			
2009	 Wale		Hot Shyt	 Back to the Feature	guest_appearance	3	0	0			
2000	Various artists		Hurricane	 The Hurricane Soundtrack	guest_appearance	1	0	0			
2010	 STS		Ill Street Blues	 More Demand 2	guest_appearance	3	0	0			
2015	 Fall Out Boy		Immortals (Remix)	 Make America Psycho Again	guest_appearance	3	0	0			
2010	 Ghostface Killah		In tha Park	 Apollo Kids	guest_appearance	3	0	0			
1998	 Pete Rock	itsAboutThatTime	It's About That Time	 Soul Survivor	guest_appearance	1	1	0	1	1	1
2010	 Chrisette Michele		Let Freedom Reign	 Let Freedom Reign	guest_appearance	3	0	0			
1997	 Walkin' Large		Listen to This	 Listen To This	guest_appearance	1	0	0			
2009	 Cradle Orchestra		Live Forever	 Velvet Ballads	guest_appearance	3	0	0			
2004	 The X-Ecutioners		Live From The PJs	 Revolutions	guest_appearance	2	0	0			
1998	 Various Artists		Live From the Stretch Armstrong Show	 Lyricist Lounge Volume One	guest_appearance	1	0	0			
2012	 Hilltop Hoods[20]		Living in Bunkers	 Drinking From the Sun	guest_appearance	3	0	0			
2006	 J Dilla		Love Movin'	 The Shining	guest_appearance	2	0	0			
2016	Styles P		Making A Murderer		guest_appearance	3	0	0			
2011	 Moosh & Twist		Mathematics	 The Welcome Mat	guest_appearance	3	0	0			
1995	 DJ Krush		Meiso	 Meiso	guest_appearance	1	0	0			
2011	 Nikki Jean		Million Star Motel	 Pennies In A Jar	guest_appearance	3	0	0			
2015	 Skyzoo & Bilal		Money Makes Us Happy	 Music for My Friends	guest_appearance	3	0	0			
2006	 The Coup	myFavoriteMutiny	My Favorite Mutiny	 Pick A Bigger Weapon	guest_appearance	2	1	0	1	1	1
