Time_s   Intensity_dB
0.032039   80.177247
0.040039   79.638097
0.048039   79.004332
0.056039   78.897610
0.064039   78.924555
0.072039   78.824458
0.080039   78.709437
0.088039   78.441009
0.096039   77.716755
0.104039   77.391498
0.112039   77.932698
0.120039   78.555218
0.128039   78.639084
0.136039   78.436151
0.144039   78.060631
0.152039   77.602702
0.160039   77.258979
0.168039   77.219522
0.176039   77.120262
0.184039   76.765815
0.192039   76.867274
0.200039   76.952116
0.208039   76.203212
0.216039   75.588645
0.224039   75.605980
0.232039   75.812550
0.240039   76.037207
0.248039   75.527308
0.256039   74.090921
0.264039   72.658963
0.272039   71.001824
0.280039   68.020381
0.288039   65.092257
0.296039   64.397892
0.304039   65.604910
0.312039   67.868457
0.320039   70.204073
0.328039   72.376467
0.336039   74.478126
0.344039   76.559465
0.352039   77.766704
0.360039   77.108613
0.368039   74.558856
0.376039   73.273801
0.384039   74.007463
0.392039   73.340734
0.400039   71.807740
0.408039   71.106493
0.416039   71.653219
0.424039   71.997428
0.432039   71.876321
0.440039   71.947114
0.448039   71.873250
0.456039   71.887396
0.464039   72.853281
0.472039   73.923789
0.480039   74.510402
0.488039   74.411996
0.496039   73.884974
0.504039   73.525662
0.512039   73.395917
0.520039   72.733175
0.528039   71.861991
0.536039   70.912070
0.544039   68.682373
0.552039   65.707573
0.560039   64.319612
0.568039   63.161772
0.576039   61.699987
0.584039   60.536149
0.592039   59.161450
0.600039   58.803521
0.608039   60.473519
0.616039   62.227067
0.624039   63.542499
0.632039   66.695138
0.640039   71.569928
0.648039   75.660547
0.656039   78.408017
0.664039   79.492950
0.672039   79.663805
0.680039   79.785232
0.688039   79.977833
0.696039   79.789257
0.704039   79.726753
0.712039   80.237107
0.720039   80.018361
0.728039   79.130400
0.736039   78.964832
0.744039   79.612477
0.752039   79.299478
0.760039   78.682793
0.768039   78.731145
0.776039   78.847799
0.784039   78.922637
0.792039   79.139633
0.800039   78.938711
0.808039   78.697656
0.816039   78.545715
0.824039   78.514949
0.832039   78.640167
0.840039   78.566703
0.848039   77.934383
0.856039   76.828362
0.864039   75.797882
0.872039   74.613168
0.880039   72.234599
0.888039   69.482237
0.896039   68.136738
0.904039   67.231089
0.912039   65.456210
0.920039   63.129161
0.928039   63.070695
0.936039   64.408353
0.944039   65.346048
0.952039   65.571129
0.960039   66.164634
0.968039   68.326392
0.976039   71.348825
0.984039   74.394229
0.992039   76.478521
1.000039   77.349434
1.008039   77.660020
1.016039   77.840996
1.024039   77.878597
1.032039   77.664179
1.040039   77.463687
1.048039   77.196798
1.056039   77.038717
1.064039   77.188144
1.072039   77.101205
1.080039   76.983008
1.088039   76.812069
1.096039   76.508248
1.104039   76.554045
1.112039   76.931656
1.120039   77.045260
1.128039   76.661204
1.136039   76.256771
1.144039   75.933385
1.152039   75.759620
1.160039   75.680753
1.168039   75.406296
1.176039   75.145469
1.184039   74.846439
1.192039   74.615638
1.200039   74.913007
1.208039   75.443136
1.216039   75.665806
1.224039   75.251261
1.232039   74.212900
1.240039   72.509207
1.248039   70.150302
1.256039   68.474579
1.264039   68.320841
1.272039   67.639348
1.280039   66.366774
1.288039   66.602818
1.296039   68.735377
1.304039   71.409189
1.312039   73.051126
1.320039   73.443448
1.328039   74.325493
1.336039   76.725265
1.344039   78.214977
1.352039   78.632884
1.360039   78.714725
1.368039   78.387841
1.376039   77.567694
1.384039   77.349064
1.392039   78.578882
