Time_s   F0_Hz
0.013296   166.633322
0.015796   171.042232
0.018296   173.702986
0.020796   176.872384
0.023296   178.766104
0.025796   179.985496
0.028296   182.216652
0.030796   183.330591
0.033296   183.975246
0.035796   184.995627
0.038296   185.373832
0.040796   186.854643
0.043296   187.364961
0.045796   188.973841
0.048296   189.624700
0.050796   191.463619
0.053296   191.963432
0.055796   193.516370
0.058296   194.257032
0.060796   195.442533
0.063296   196.121367
0.065796   197.331573
0.068296   197.687296
0.070796   198.350484
0.073296   198.850290
0.075796   199.634584
0.078296   200.601494
0.080796   202.127477
0.083296   202.584322
0.085796   203.267508
0.088296   203.534991
0.090796   204.418414
0.093296   205.128124
0.095796   206.560934
0.098296   207.106199
0.100796   207.956051
0.103296   208.033410
0.105796   208.632919
0.108296   208.953427
0.110796   209.931494
0.113296   210.167646
0.115796   210.626851
0.118296   210.776972
0.120796   211.075185
0.123296   211.205419
0.125796   211.498137
0.128296   211.878913
0.130796   212.010231
0.133296   212.153580
0.135796   212.396276
0.138296   212.533096
0.140796   212.664183
0.143296   213.207982
0.145796   213.381476
0.148296   214.136116
0.150796   214.450146
0.153296   214.935056
0.155796   215.213266
0.158296   215.537375
0.160796   215.941662
0.163296   216.119777
0.165796   216.380206
0.168296   216.605993
0.170796   216.741671
0.173296   216.945789
0.175796   217.065806
0.178296   216.943063
0.180796   217.271711
0.183296   217.363646
0.185796   217.684946
0.188296   217.843291
0.190796   217.785181
0.193296   217.873958
0.195796   218.115701
0.198296   217.874362
0.200796   217.741862
0.203296   217.022564
0.205796   216.696867
0.208296   216.483412
0.210796   216.346427
0.213296   216.194673
0.215796   216.016377
0.218296   215.197812
0.220796   215.272272
0.223296   215.500671
0.225796   215.478946
0.228296   215.136612
0.230796   214.106127
0.233296   211.746876
0.235796   209.956351
0.238296   209.306040
0.240796   208.638350
0.243296   207.941075
0.245796   206.520638
0.248296   205.584401
0.250796   203.628658
0.253296   202.523844
0.255796   200.835840
0.258296   197.787243
0.260796   197.086964
0.263296   194.262093
0.265796   196.476556
0.268296   197.770913
0.270796   198.077016
0.273296   199.437353
0.275796   198.815216
0.278296   201.077577
0.280796   202.281317
0.283296   199.502825
0.285796   200.184442
0.288296   198.607489
0.290796   180.654602
0.293296   175.632484
0.295796   176.747652
0.298296   171.685306
0.300796   170.984087
0.303296   162.226153
0.305796   162.431665
0.308296   162.758001
0.310796   172.477643
0.313296   186.479650
0.315796   187.522126
0.318296   187.006918
0.320796   174.880139
0.323296   170.889396
0.325796   171.270338
0.328296   170.440009
0.330796   166.978252
0.333296   166.934933
0.335796   169.922565
0.338296   189.847105
0.340796   192.505367
0.343296   195.762319
0.345796   196.314592
0.348296   199.400379
0.350796   199.656442
0.353296   201.939765
0.355796   201.881199
0.358296   202.829413
0.360796   203.356350
0.363296   203.529473
0.365796   206.221425
0.368296   204.317873
0.370796   207.421105
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.380796   420.632914
0.383296   421.485355
0.385796   417.196932
0.388296   426.330171
0.390796   419.754992
0.393296   417.777880
0.395796   411.841013
0.398296   405.254558
0.400796   409.150046
0.403296   405.665432
0.405796   407.771355
0.408296   409.779225
0.410796   407.448847
0.413296   409.341658
--undefined--   --undefined--
0.418296   206.932466
0.420796   214.518446
0.423296   217.294302
0.425796   218.745982
0.428296   218.961167
0.430796   218.816761
0.433296   218.367935
0.435796   216.057592
0.438296   214.434169
0.440796   212.057847
0.443296   211.716847
0.445796   212.215945
0.448296   212.038833
0.450796   212.374546
0.453296   213.540950
0.455796   213.457261
0.458296   211.840866
0.460796   210.994956
0.463296   207.926306
0.465796   206.869500
0.468296   207.890681
0.470796   207.589618
0.473296   207.138072
0.475796   207.175671
0.478296   197.888614
0.480796   198.693159
0.483296   198.888128
0.485796   197.495056
0.488296   197.320235
0.490796   195.728570
0.493296   196.402680
0.495796   196.266095
0.498296   196.520091
0.500796   197.343994
0.503296   197.962817
0.505796   199.430039
0.508296   200.000355
0.510796   201.706697
0.513296   201.516267
0.515796   203.420064
0.518296   203.667390
0.520796   204.788441
0.523296   204.443997
0.525796   204.484864
0.528296   204.319814
0.530796   204.167067
0.533296   204.607432
0.535796   204.199980
0.538296   204.345843
0.540796   204.211650
0.543296   203.682747
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.643296   216.885452
0.645796   216.598495
0.648296   218.243807
0.650796   218.242830
0.653296   220.489076
0.655796   220.765593
0.658296   219.331680
0.660796   219.279261
0.663296   217.225974
0.665796   217.004785
0.668296   213.576361
0.670796   214.264628
0.673296   214.242286
0.675796   214.546801
0.678296   215.568995
0.680796   215.400978
0.683296   216.273057
0.685796   218.116966
0.688296   218.201206
0.690796   205.449665
0.693296   205.420745
0.695796   205.458736
0.698296   205.697809
0.700796   205.631576
0.703296   205.638986
0.705796   246.498849
0.708296   245.029569
0.710796   244.685972
0.713296   243.438060
0.715796   243.690645
0.718296   243.806197
0.720796   243.672024
0.723296   213.804516
0.725796   214.875279
0.728296   216.022539
0.730796   217.627660
0.733296   233.240606
0.735796   232.370860
0.738296   233.491975
0.740796   234.410835
0.743296   234.669848
0.745796   235.111916
0.748296   235.272602
0.750796   235.419835
0.753296   235.628682
0.755796   235.561057
0.758296   235.824685
0.760796   234.563643
0.763296   234.681436
0.765796   234.862245
0.768296   234.657928
0.770796   235.287287
0.773296   235.641873
0.775796   235.480953
0.778296   235.845947
0.780796   236.274564
0.783296   236.526079
0.785796   237.851112
0.788296   238.333453
0.790796   238.941989
0.793296   238.879658
0.795796   239.234782
0.798296   239.591542
0.800796   240.265951
0.803296   239.787306
0.805796   240.439183
0.808296   240.383444
0.810796   240.860244
0.813296   242.534408
0.815796   241.732740
0.818296   242.027286
0.820796   242.158754
0.823296   240.759478
0.825796   241.446175
0.828296   251.532500
0.830796   254.076883
0.833296   253.926147
0.835796   253.692337
0.838296   254.918024
0.840796   252.734305
0.843296   253.039550
0.845796   253.319621
0.848296   253.009196
0.850796   253.400637
0.853296   253.010857
0.855796   252.143614
0.858296   252.427494
0.860796   252.415264
0.863296   252.133955
0.865796   252.495982
0.868296   252.315914
0.870796   251.565072
0.873296   250.117684
0.875796   249.624843
0.878296   248.137372
0.880796   247.450769
0.883296   244.130630
0.885796   243.098731
0.888296   242.776437
0.890796   243.610970
0.893296   244.166762
0.895796   242.483557
0.898296   242.286972
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
