nc	pc	oct	accid	dur	tie	chord	part	meas	beat	beatIndex
3	5	4	NA	4	start	0	1	0	0	0
3	5	4	NA	2	stop	0	1	0	1	1
4	7	4	NA	1	NA	0	1	0	1.5	1.5
3	5	4	NA	1	NA	0	1	0	1.75	1.75
2	4	4	NA	2	NA	0	1	0	2	2
3	5	4	NA	2	NA	0	1	0	2.5	2.5
0	0	4	NA	4	NA	0	1	1	0	3
NA	NA	NA	NA	4	NA	0	1	1	1	4
NA	NA	NA	NA	4	NA	0	1	1	2	5
3	5	4	NA	4	start	0	1	2	0	6
3	5	4	NA	2	stop	0	1	2	1	7
4	7	4	NA	1	NA	0	1	2	1.5	7.5
3	5	4	NA	1	NA	0	1	2	1.75	7.75
2	4	4	NA	2	NA	0	1	2	2	8
3	5	4	NA	2	NA	0	1	2	2.5	8.5
1	2	4	NA	4	NA	0	1	3	0	9
NA	NA	NA	NA	4	NA	0	1	3	1	10
NA	NA	NA	NA	4	NA	0	1	3	2	11
3	5	5	NA	4	start	0	1	4	0	12
3	5	5	NA	2	stop	0	1	4	1	13
4	7	5	NA	1	NA	0	1	4	1.5	13.5
3	5	5	NA	1	NA	0	1	4	1.75	13.75
2	4	5	NA	2	NA	0	1	4	2	14
3	5	5	NA	2	NA	0	1	4	2.5	14.5
4	7	5	NA	8	NA	0	1	5	0	15
6	10	4	NA	4	NA	0	1	5	2	17
5	9	4	NA	8	NA	0	1	6	0	18
1	2	5	NA	3	NA	0	1	6	2	20
6	10	4	NA	1	NA	0	1	6	2.75	20.75
5	9	4	NA	8	NA	0	1	7	0	21
4	7	4	NA	4	NA	0	1	7	2	23
3	5	4	NA	4	start	0	1	8	0	24
3	5	4	NA	2	stop	0	1	8	1	25
4	7	4	NA	1	NA	0	1	8	1.5	25.5
3	5	4	NA	1	NA	0	1	8	1.75	25.75
2	4	4	NA	2	NA	0	1	8	2	26
3	5	4	NA	2	NA	0	1	8	2.5	26.5
0	0	4	NA	4	NA	0	1	9	0	27
NA	NA	NA	NA	4	NA	0	1	9	1	28
NA	NA	NA	NA	4	NA	0	1	9	2	29
3	5	4	NA	4	start	0	1	10	0	30
3	5	4	NA	2	stop	0	1	10	1	31
