onset	inst	meas	pos
0.03882	synth	0	0
0.047458	b.drum	0	0
0.374789	synth	0	2
0.539013	synth	0	3
0.661874	snare	0	4
0.863704	synth	0	5
1.04116	synth	0	6
1.202484	synth	0	7
1.226062	b.drum	0	7
1.352019	b.drum	0	8
1.389403	synth	0	8
1.722444	synth	0	10
1.881286	synth	0	11
1.996695	snare	0	12
2.216382	synth	0	13
2.559623	b.drum	0	15
2.574543	synth	0	15
2.688826	b.drum	1	0
2.73644	synth	1	0
3.027414	synth	1	2
3.18885	synth	1	3
3.307243	snare	1	4
3.509728	synth	1	5
3.690417	synth	1	6
3.848608	synth	1	7
3.872512	b.drum	1	7
3.996956	b.drum	1	8
4.029909	synth	1	8
4.370717	synth	1	10
4.53016	synth	1	11
4.631828	snare	1	12
4.864989	synth	1	13
5.034397	synth	1	14
5.197097	b.drum	1	15
5.320837	b.drum	2	0
