onset	inst	meas	pos
0.005	b.drum	0	0
0.02	piano	0	0
0.356	piano	0	2
0.508	b.drum	0	3
0.526	b.guitar	0	3
0.6	piano	0	3
0.675	snare	0	4
0.887	piano	0	5
0.927	b.guitar	0	5
1.202	b.drum	0	7
1.205	piano	0	7
1.333	b.drum	0	8
1.361	piano	0	8
1.678	piano	0	19
1.841	b.drum	0	11
1.94	piano	0	11
2.005	snare	0	12
2.196	piano	0	13
2.232	b.guitar	0	13
2.528	b.drum	0	15
2.558	piano	0	15
2.65	piano	1	0
2.665	b.drum	1	0
3.016	piano	1	2
3.172	b.drum	1	3
3.186	b.guitar	1	3
3.265	piano	1	3
3.339	snare	1	4
3.545	b.guitar	1	5
3.547	piano	1	5
3.863	piano	1	7
3.868	b.drum	1	7
3.999	b.drum	1	8
4.03	piano	1	8
4.331	piano	1	10
4.505	b.drum	1	11
4.52	b.guitar	1	11
4.651	piano	1	11
4.67	snare	1	12
4.866	piano	1	13
4.894	b.guitar	1	13
5.194	b.drum	1	15
5.214	piano	1	15
5.232	b.guitar	1	15
5.34	piano	2	0
5.375	b.guitar	2	0
5.527	b.drum	2	1
5.681	b.guitar	2	2
5.699	piano	2	2
5.86	b.drum	2	3
5.904	piano	2	3
5.962	b.guitar	2	3
6.005	snare	2	4
6.183	piano	2	5
6.197	b.guitar	2	5
6.526	b.drum	2	7
6.535	piano	2	7
6.733041	piano	2	8
6.859	b.drum	2	9
7.014	b.guitar	2	10
7.046926	piano	2	10
7.195	b.drum	2	11
7.195	piano	2	11
7.236	b.guitar	2	11
7.337	snare	2	12
7.542	b.guitar	2	13
7.549939	piano	2	13
7.858	b.drum	2	15
7.898625	piano	2	15
8.043998	piano	3	0
8.189	b.drum	3	1
8.360595	piano	3	2
8.522	b.drum	3	3
8.623712	piano	3	3
8.668	snare	3	4
8.842682	piano	3	5
9.19	b.drum	3	7
9.221465	piano	3	7
9.38481	piano	3	8
9.523	b.drum	3	9
9.676623	piano	3	10
9.859	b.drum	3	11
9.926054	piano	3	11
10.000014	snare	3	12
10.188	b.drum	3	13
10.235968	piano	3	13
10.352	b.drum	3	14
10.527	b.drum	3	15
10.535285	piano	3	15
