VERSE	START	STOP	INSERT
candyShop	1	13	1
candyShop	14	140	1
candyShop	141	171	1
candyShop	172	191	0
shutterbugg	1	73	1
shutterbugg	74	149	1
shutterbugg	150	201	0
shutterbugg	203	211	0
deliverance	1	152	3
itWasAGoodDay	1	192	1
itWasAGoodDay	193	207	0
lightersUp	1	101	1
lightersUp	102	102	1
lightersUp	103	169	0
backup1	1	22	0
backup1	24	149	0
backup1	151	164	0
backup1	166	239	0
brightAsTheStars	1	101	0
brightAsTheStars	104	346	0
brokenAnglish1	1	198	0
brokenAnglish1	200	380	0
countryCousins	1	205	0
countryCousins	209	222	0
countryCousins	225	294	0
dontletup2	1	242	0
dontletup2	245	375	0
getemhigh	2	171	0
itry3	2	105	0
neverBeenInLove2	2	197	0
saysomething2	1	60	0
saysomething2	62	175	0
wagesOfSin1	1	224	0
wagesOfSin1	226	257	0
stayFly	1	91	1
stayFly	92	128	1
stayFly	129	168	0
cream	1	120	1
cream	121	216	1
cream	217	236	1
cream	237	242	0
backup2	1	108	0
backup2	110	119	0
backup2	121	200	0
artOfPeerPressure1	1	196	0
artOfPeerPressure1	198	208	0
averageJoe1	1	156	1
averageJoe1	157	192	0
bitchDont2	1	56	0
bitchDont2	58	178	0
bitchDont2	180	189	0
bitchDont2	191	253	0
colors1	1	11	0
colors1	13	216	0
determined2	1	141	0
determined2	143	176	0
goKDotFreestyle2	1	40	0
goKDotFreestyle2	42	96	0
goKDotFreestyle2	98	229	0
goKDotFreestyle2	231	262	0
goKDotFreestyle2	265	333	0
goKDotFreestyle2	335	410	0
hoc1	1	37	1
hoc1	38	45	0
hoc1	47	62	0
hoc1	64	182	0
hoc1	184	202	0
iAmInterlude1	1	61	0
iAmInterlude1	63	85	0
iAmInterlude1	87	114	0
iAmInterlude1	116	153	0
iAmInterlude1	155	180	1
iAmInterlude1	181	353	0
keishasSong2	1	125	0
keishasSong2	127	141	0
keishasSong2	143	207	0
moneyTrees1	1	86	0
moneyTrees1	88	111	0
moneyTrees1	113	159	0
moneyTrees1	161	166	0
mortalMan1	1	95	0
mortalMan1	97	154	0
mortalMan1	156	224	0
moscato2	1	142	0
moscato2	144	292	0
moscato2	294	296	0
poeMansDreams2	1	123	0
poeMansDreams2	125	144	1
poeMansDreams2	145	225	0
poeMansDreams2	227	284	0
poeMansDreams2	286	296	0
rockTheBells2	1	53	0
rockTheBells2	55	252	0
solidSoundLogic1	1	134	0
solidSoundLogic1	136	322	0
solidSoundLogic1	324	365	0
streetDreamin1	1	31	1
streetDreamin1	32	79	0
streetDreamin1	81	211	0
thuggin1	1	256	0
thuggin1	258	288	0
thuggin1	290	298	0
weUp1	1	15	0
weUp1	17	158	0
weUp1	160	199	0
yah1	1	51	0
yah1	53	179	0
myFavoriteMutiny	1	38	1
myFavoriteMutiny	39	213	0
