word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
your	your	16	2	NA	NA	0	0
way	way	2	1	NA	NA	1	1
how	how	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
want	want	16	1	1	1	0	0
it	it	16	3	1	2	1	1
you	you	48	1	NA	NA	0	0
gonna	gon-	48	1	NA	NA	0	0
gonna	na	48	1	NA	NA	0	0
back	back	12	1	NA	NA	0	0
that	that	12	1	NA	NA	0	0
thing	thing	12	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
should	should	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
push	push	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
on	on	16	1	1	1	0	0
it	it	16	1	1	2	1	0
temperature	temp-	16	1	NA	NA	0	0
temperature	er-	16	1	NA	NA	0	0
temperature	ture	16	1	NA	NA	0	0
rising	ri-	8	1	NA	NA	0	0
rising	sing	8	1	NA	NA	0	0
ok	o-	12	1	NA	NA	0	0
ok	k	12	1	NA	NA	0	1
let's	let's	12	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
next	next	16	2	NA	NA	0	0
level	le-	16	1	2	1	0	0
level	vel	16	2	2	2	1	1
dance	dance	8	1	NA	NA	0	0
floor	floor	8	1	NA	NA	0	0
jam	jam	8	1	NA	NA	0	0
packed	packed	8	1	NA	NA	0	0
hot	hot	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
tea	tea	16	2	NA	NA	0	0
kettle	ket-	16	1	2	1	0	0
kettle	tle	16	1	2	2	1	1
i	i	16	1	NA	NA	0	0
break	break	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
now	now	16	2	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
simple	sim-	16	1	2	1	0	0
simple	ple	16	3	2	2	1	1
if	if	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nympho	nym-	16	1	2	1	0	0
nympho	pho	16	3	2	2	0	1
i	i	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nympho	nym-	16	1	2	1	0	0
nympho	pho	16	3	2	2	1	1
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hotel	ho-	16	2	NA	NA	0	0
hotel	tel	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rental	ren-	16	1	2	1	0	0
rental	tal	16	2	2	2	1	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
beach	beach	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
park	park	16	2	NA	NA	0	1
it's	it's	16	1	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
whatever	er	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
into	in-	16	1	2	1	0	0
into	to	16	2	2	2	1	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
magic	ma-	16	1	NA	NA	0	0
magic	gic	16	1	NA	NA	0	0
stick	stick	16	4	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
love	love	16	3	NA	NA	0	0
doctor	doc-	16	2	6	1	0	0
doctor	tor	16	1	6	2	1	1
have	have	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
friends	friends	16	2	NA	NA	0	0
teasing	teas-	16	1	NA	NA	0	0
teasing	ing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
sprung	sprung	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
got	got	16	1	6	1	0	0
you	you	16	2	6	2	1	1
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
show	show	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
working	work-	16	1	NA	NA	0	0
working	ing	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	3	NA	NA	0	1
no	no	16	1	NA	NA	0	0
problem	pro-	16	1	NA	NA	0	0
problem	blem	16	1	NA	NA	1	1
get	get	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
top	top	16	3	NA	NA	0	0
get	get	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
bounce	bounce	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
low	low	16	1	NA	NA	0	0
rider	ri-	16	1	NA	NA	0	0
rider	der	16	2	NA	NA	1	1
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
seasoned	sea-	16	2	NA	NA	0	0
seasoned	soned	16	2	NA	NA	0	0
vet	vet	16	2	4	1	0	0
when	when	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
shit	shit	16	2	4	1	1	1
after	af-	16	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
work	work	12	1	NA	NA	0	0
up	up	12	1	NA	NA	0	0
a	a	12	1	NA	NA	0	0
sweat	sweat	8	1	4	1	0	0
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stick	stick	16	3	4	1	1	1
i'm	i'm	16	1	NA	NA	0	0
trying	try-	16	1	NA	NA	0	0
trying	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
explain	ex-	16	1	NA	NA	0	0
explain	plain	16	2	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
best	best	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	4	5	1	1	1
i	i	16	1	NA	NA	0	0
melt	melt	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mouth	mouth	16	2	NA	NA	0	0
girl	girl	16	2	NA	NA	0	0
not	not	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
hand	hand	16	1	5	1	1	1
