word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
praise	praise	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lord	lord	16	3	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
born	born	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
drive	drive	16	2	NA	NA	0	0
boat	boat	16	6	NA	NA	1	1
feeling	feel-	16	1	NA	NA	0	0
feeling	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
slash	slash	16	2	1	1	0	0
in	in	16	1	1	2	0	0
front	front	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chapel	cha-	16	2	1	1	0	0
chapel	pel	16	6	1	2	1	1
i'm	i'm	16	1	NA	NA	0	0
leaned	leaned	16	2	NA	NA	0	0
back	back	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
les	les	16	2	NA	NA	0	0
paul	paul	16	4	2	3	1	1
shit	shit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
smoke	smoke	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
cholesterol	cho-	16	1	NA	NA	0	0
cholesterol	les-	16	1	2	1	0	0
cholesterol	ter-	16	1	2	2	0	0
cholesterol	ol	16	4	2	3	1	1
spilled	spilled	16	2	NA	NA	0	0
dressing	dres-	16	1	NA	NA	0	0
dressing	sin'	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
vest	vest	16	2	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
festival	fest-	16	1	2	1	0	0
festival	i-	16	1	2	2	0	0
festival	val	16	1	2	3	0	0
the	the	16	1	NA	NA	0	0
best	best	16	1	2	1	0	0
of	of	16	1	2	2	0	0
all	all	16	4	2	3	1	1
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
midget	mid-	16	1	NA	NA	0	0
midget	get	16	1	NA	NA	0	0
puerto	puer-	16	1	NA	NA	0	0
puerto	to	16	1	NA	NA	0	0
rican	ri-	16	1	NA	NA	0	0
rican	can	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
beck	beck	16	1	2	1	0	0
and	and	16	1	2	2	0	0
call	call	16	4	2	3	1	1
best	best	16	1	NA	NA	0	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
neck	neck	16	1	2	1	0	0
involved	in-	16	1	2	2	0	0
involved	volved	16	4	2	3	1	1
fucked	fucked	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
almost	al-	16	1	NA	NA	0	0
almost	most	16	1	NA	NA	0	0
wrecked	wrecked	16	1	2	1	0	0
the	the	16	1	2	2	0	0
saab	saab	16	4	2	3	1	1
uh	uh	16	3	NA	NA	0	0
we	we	16	1	NA	NA	0	0
took	took	16	2	NA	NA	0	0
acid	ac-	16	1	NA	NA	0	0
acid	id	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
ten	ten	16	2	NA	NA	0	0
days	days	16	3	NA	NA	0	0
straight	straight	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mountains	mount-	16	1	3	1	0	0
mountains	ains	16	5	3	2	1	1
started	star-	16	1	NA	NA	0	0
started	ted	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stallions	stal-	16	1	3	1	0	0
stallions	lions	16	5	3	2	1	1
playing	play-	16	1	NA	NA	0	0
playing	ing	16	1	NA	NA	0	0
frisbee	fris-	16	1	4	1	0	0
frisbee	bee	16	1	4	2	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
west	west	12	1	NA	NA	0	0
indies	in-	12	1	4	1	0	0
indies	dies	24	5	4	2	0	1
did	did	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
tango	tan-	16	1	NA	NA	0	0
tango	go	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	1	0
kidneys	kid-	16	1	4	1	0	0
kidneys	neys	16	1	4	2	0	0
eyes	eyes	16	2	NA	NA	0	0
open	o-	16	1	NA	NA	0	0
open	pen	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
kids	kids	16	1	4	1	0	0
need	need	16	9	4	2	1	1
rocking	rock-	16	1	NA	NA	0	0
rocking	in'	16	1	NA	NA	0	0
