lineEnding	breathEnding	word	syllable	quant	duration	rhymeClass	rhymeIndex
0	0	twice	twice	16	1	1	1
0	0	upon	u-	16	1	NA	NA
0	0	upon	pon	16	1	NA	NA
0	0	a	a	16	1	NA	NA
0	0	time	time	16	2	1	1
0	0	there	there	24	1	NA	NA
0	0	was	was	24	1	NA	NA
0	0	a	a	24	1	NA	NA
0	0	boy	boy	16	1	NA	NA
0	0	who	who	16	1	NA	NA
1	1	died	died	16	3	1	1
0	0	and	and	16	1	NA	NA
0	0	lived	lived	16	2	NA	NA
0	0	happily	hap-	24	1	NA	NA
0	0	happily	pi-	24	1	NA	NA
0	0	happily	ly	24	1	NA	NA
0	0	ever	e-	16	1	NA	NA
0	1	ever	ver	16	1	NA	NA
0	0	after	af-	16	1	2	1
0	0	after	ter	16	2	2	2
0	0	but	but	16	1	NA	NA
0	0	that's	that's	16	1	NA	NA
0	0	another	a-	16	1	NA	NA
0	0	another	no-	16	1	NA	NA
0	0	another	ther	16	1	NA	NA
0	0	chapter	chap-	16	1	2	1
1	0	chapter	ter	16	1	2	2
0	0	live	live	16	2	NA	NA
0	1	from	from	16	3	NA	NA
0	0	home	home	16	1	NA	NA
0	0	of	of	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	1	brave	brave	16	3	NA	NA
0	0	with	with	16	1	NA	NA
0	0	dirty	dir-	16	1	NA	NA
0	0	dirty	ty	16	1	NA	NA
0	0	dollars	dol-	16	1	3	1
1	1	dollars	lars	16	3	3	2
0	0	beauty	beaut-	16	1	NA	NA
0	0	beauty	y	16	1	NA	NA
0	0	parlors	par-	16	1	3	1
0	1	parlors	lors	16	3	3	2
0	0	baby	ba-	16	1	NA	NA
0	0	baby	by	16	1	NA	NA
0	0	bottles	bot-	16	1	3	1
0	1	bottles	tles	16	3	3	2
0	0	bowling	bow-	16	1	NA	NA
0	0	bowling	ling	16	1	NA	NA
0	0	ball	ball	16	1	NA	NA
0	0	impalas	im-	16	1	NA	NA
0	0	impalas	pa-	16	1	3	1
1	1	impalas	las	16	3	3	2
0	0	street	street	16	2	NA	NA
0	0	scholars	schol-	16	1	3	1
0	1	scholars	ars	16	3	3	2
0	0	majoring	ma-	16	1	NA	NA
0	0	majoring	jor-	16	1	NA	NA
0	0	majoring	ing	16	1	NA	NA
1	0	in	in	16	1	NA	NA
0	0	culinary	cu-	16	1	NA	NA
0	0	culinary	li-	16	1	NA	NA
0	0	culinary	na-	16	1	NA	NA
0	0	culinary	ry	16	1	NA	NA
0	1	arts	arts	16	3	NA	NA
0	0	you	you	16	1	NA	NA
0	0	know	know	16	2	4	1
0	0	how	how	16	1	NA	NA
0	0	to	to	16	1	NA	NA
0	0	work	work	16	2	NA	NA
0	0	bread	bread	16	2	NA	NA
1	0	cheese	cheese	16	2	NA	NA
0	0	and	and	16	2	NA	NA
0	1	dough	dough	16	3	4	1
0	0	from	from	16	1	NA	NA
0	1	scratch	scratch	16	3	5	1
0	0	but	but	16	1	NA	NA
0	0	see	see	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	0	catch	catch	16	1	5	1
0	0	is	is	16	1	NA	NA
0	0	you	you	16	1	NA	NA
1	0	can	can	16	1	NA	NA
0	0	get	get	16	2	NA	NA
0	1	caught	caught	16	3	6	1
0	0	know	know	16	1	NA	NA
0	0	what	what	16	1	NA	NA
0	0	ya	ya	16	1	NA	NA
0	0	sellin'	sel-	16	1	NA	NA
0	0	sellin'	lin'	16	1	NA	NA
0	0	what	what	16	1	NA	NA
0	0	ya	ya	16	1	NA	NA
1	0	bought	bought	16	1	6	1
0	0	so	so	16	1	NA	NA
0	0	cut	cut	16	1	NA	NA
0	0	that	that	16	1	NA	NA
0	0	big	big	16	2	NA	NA
0	1	talk	talk	16	4	6	1
0	0	let's	let's	16	1	NA	NA
0	1	walk	walk	16	3	6	1
0	0	to	to	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	1	bridge	bridge	16	1	NA	NA
1	0	now	now	16	1		
0	0	meet	meet	16	1	NA	NA
0	0	me	me	16	1	NA	NA
0	0	halfway	half-	16	2	7	1
0	1	halfway	way	16	3	7	2
0	0	now	now	16	1	NA	NA
0	0	you	you	16	1	NA	NA
0	0	may	may	16	1	NA	NA
0	0	see	see	16	1	NA	NA
0	0	some	some	16	1	NA	NA
0	0	children	child-	16	1	NA	NA
0	0	children	ren	16	1	NA	NA
0	0	dead	dead	16	1	NA	NA
1	0	off	off	16	1	NA	NA
0	0	in	in	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	0	pathway	path-	16	2	7	1
0	1	pathway	way	16	3	7	2
0	0	it's	it's	16	1	NA	NA
0	0	them	them	16	1	NA	NA
0	0	poor	poor	16	1	NA	NA
0	0	babies	ba-	16	1	NA	NA
0	0	babies	bies	16	1	NA	NA
0	0	walkin'	walk-	16	1	NA	NA
0	0	walkin'	in'	16	1	NA	NA
0	0	slowly	slow-	16	1	NA	NA
0	0	slowly	ly	16	1	NA	NA
0	0	to	to	16	1	NA	NA
