word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	24	1	NA	NA	0	0
mind	mind	24	3	NA	NA	0	0
warps	warps	24	2	NA	NA	0	0
and	and	24	1	NA	NA	0	0
bends	bends	24	3	1	1	0	0
floats	floats	24	2	NA	NA	0	0
the	the	24	1	NA	NA	0	0
wind	wind	24	3	1	1	0	0
count	count	24	2	NA	NA	0	0
to	to	24	1	NA	NA	0	0
ten	ten	24	3	1	1	1	0
meet	meet	24	2	NA	NA	0	0
the	the	24	1	NA	NA	0	0
twin	twin	24	3	1	1	0	0
andre	an-	16	1	NA	NA	0	0
andre	dre	16	1	NA	NA	0	0
ben	ben	16	2	1	1	0	0
welcome	wel-	16	1	NA	NA	0	0
welcome	come	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lion's	li-	16	1	NA	NA	0	0
lion's	on's	16	1	NA	NA	0	0
den	den	24	5	1	1	1	1
original	o-	24	1	NA	NA	0	0
original	rig-	24	2	1	1	0	0
original	i-	24	2	NA	NA	0	0
original	nal	24	2	NA	NA	0	0
skin	skin	16	2	1	1	0	0
many	ma-	16	1	NA	NA	0	0
many	ny	16	1	NA	NA	0	0
men	men	16	2	1	1	0	0
comprehend	com-	16	1	NA	NA	0	0
comprehend	pre-	16	1	NA	NA	0	0
comprehend	hend	16	2	1	1	1	0
i	i	16	1	NA	NA	0	0
extend	ex-	16	1	NA	NA	0	0
extend	tend	16	2	1	1	0	0
myself	my-	12	1	NA	NA	0	0
myself	self	12	1	NA	NA	0	0
so	so	12	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
friend	friend	16	4	1	1	1	1
sin	sin	16	2	1	1	0	0
all	all	24	2	NA	NA	0	0
depends	de-	24	1	NA	NA	0	0
depends	pends	16	2	1	1	0	0
on	on	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
believing	be-	16	1	NA	NA	0	0
believing	liev-	16	1	NA	NA	0	0
believing	ing	16	1	NA	NA	0	0
in	in	16	2	1	1	1	0
faith	faith	16	1	2	1	0	0
is	is	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
make	make	16	1	2	1	0	0
it	it	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hardest	hard-	16	1	NA	NA	0	0
hardest	est	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
since	since	16	1	NA	NA	0	0
emcee	em-	16	1	NA	NA	0	0
emcee	cee	16	1	NA	NA	0	0
ren	ren	16	4	1	1	1	1
alien	a-	16	1	NA	NA	0	0
alien	li-	16	1	NA	NA	0	0
alien	en	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
blend	blend	16	2	1	1	0	0
right	right	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
in	in	16	2	1	1	0	0
wit	wit	16	1	NA	NA	0	0
yo'	yo'	16	1	NA	NA	0	0
kin	kin	16	2	1	1	1	0
look	look	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	2	1	1	0	0
cuz	cuz	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
swear	swear	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spot	spot	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
then	then	16	3	1	1	1	0
it's	it's	16	1	NA	NA	0	0
happening	hap-	16	1	NA	NA	0	0
happening	pen-	16	1	NA	NA	0	0
happening	ing	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	2	1	1	0	0
wish	wish	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	2	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
when	when	16	2	1	1	1	0
andre	an-	16	1	NA	NA	0	0
andre	dre	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
andre	an-	16	1	NA	NA	0	0
andre	dre	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
gon'	gon'	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
amends	a-	16	1	NA	NA	0	0
amends	mends	16	1	1	1	1	1
