word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
softly	sof-	16	1	NA	NA	0	0
softly	tly	16	2	NA	NA	0	0
as	as	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
played	played	16	1	3	1	0	0
piano	pi-	16	1	2	1	0	0
piano	an-	16	1	2	2	0	0
piano	o	16	1	2	3	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dark	dark	16	4	1	1	1	1
found	found	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
way	way	16	1	3	1	0	0
to	to	16	1	NA	NA	0	0
channel	chan-	16	1	NA	NA	0	0
channel	nel	16	1	NA	NA	0	0
my	my	16	1	2	1	0	0
anger	an-	16	1	2	2	0	0
anger	ger	16	1	2	3	0	0
not	not	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
embark	em-	16	1	NA	NA	0	0
embark	bark	16	3	1	1	1	1
the	the	16	1	NA	NA	0	0
world's	world's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stage	stage	16	1	3	1	0	0
and	and	16	1	NA	NA	0	0
everybody's	eve-	16	1	NA	NA	0	0
everybody's	ry-	16	1	NA	NA	0	0
everybody's	bo-	16	1	NA	NA	0	0
everybody's	dy's	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
part	part	16	4	1	1	1	1
god	god	16	2	1	1	0	0
works	works	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
mysterious	my-	16	1	NA	NA	0	0
mysterious	ster-	16	1	NA	NA	0	0
mysterious	i-	16	1	NA	NA	0	0
mysterious	ous	16	1	NA	NA	0	0
ways	ways	16	1	3	1	0	0
so	so	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
starts	starts	16	1	1	1	0	0
the	the	16	1	NA	NA	0	0
job	job	16	1	NA	NA	0	0
of	of	16	1	NA	NA	1	0
speakin	speak-	16	1	NA	NA	0	0
speakin	in	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
sincere	sin-	16	1	NA	NA	0	0
sincere	cere	16	1	4	1	0	0
with	with	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
here	here	16	3	4	1	1	1
no	no	16	1	NA	NA	0	0
drugs	drugs	16	2	NA	NA	0	0
or	or	16	1	NA	NA	0	0
alcohol	al-	16	1	NA	NA	0	0
alcohol	co-	16	1	NA	NA	0	0
alcohol	hol	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
signal	sig-	16	1	NA	NA	0	0
signal	nal	16	1	NA	NA	0	0
clear	clear	16	2	4	1	0	0
as	as	16	1	NA	NA	0	0
day	day	16	3	5	1	1	1
put	put	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
glock	glock	16	1	NA	NA	0	0
away	a-	16	1	NA	NA	0	0
away	way	16	1	5	1	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stronger	stron-	16	1	NA	NA	0	0
stronger	ger	16	1	NA	NA	0	0
weapon	wea-	16	1	NA	NA	0	0
weapon	pon	16	1	NA	NA	0	0
that	that	16	1	NA	NA	1	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
runs	runs	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
ammunition	am-	16	1	NA	NA	0	0
ammunition	mu-	16	1	NA	NA	0	0
ammunition	ni-	16	1	NA	NA	0	0
ammunition	tion	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
ready	read-	24	1	NA	NA	0	0
ready	y	24	1	NA	NA	0	0
for	for	24	1	NA	NA	0	0
war	war	16	2	NA	NA	0	0
okay	o-	16	1	NA	NA	0	0
okay	kay	16	1	5	1	1	1
