word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
fascinated	fas-	16	1	NA	NA	0	0
fascinated	ci-	16	1	NA	NA	0	0
fascinated	na-	16	1	NA	NA	0	0
fascinated	ted	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
yo	yo	16	1	NA	NA	0	0
nipples	nip-	24	1	NA	NA	0	0
nipples	ples	24	1	NA	NA	0	0
peak	peak	24	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
yo	yo	16	1	NA	NA	0	0
blouse	blouse	16	8	1	1	1	1
freaky	freak-	16	1	NA	NA	0	0
freaky	y	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
freaky	freak-	16	1	NA	NA	0	0
freaky	y	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	1
can't	can't	16	1	NA	NA	0	0
help	help	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
aroused	a-	16	1	NA	NA	0	0
aroused	roused	16	2	1	1	0	1
scuze	scuze	16	1	NA	NA	0	0
me	me	16	1	NA	NA	1	0
lord	lord	16	2	NA	NA	0	0
less	less	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
thinkin	think-	24	1	NA	NA	0	0
thinkin	in	24	1	NA	NA	0	0
but	but	24	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
brought	brought	16	1	2	1	0	0
up	up	16	4	2	2	1	1
sneakin	sneak-	24	1	NA	NA	0	0
sneakin	in	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
watch	watch	16	1	NA	NA	0	0
playboy	play-	16	1	NA	NA	0	0
playboy	boy	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
night	night	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
caught	caught	16	1	2	1	0	0
up	up	16	1	2	2	0	0
in	in	16	1	NA	NA	0	0
worldly	world-	16	1	NA	NA	0	0
worldly	ly	16	1	NA	NA	0	0
ways	ways	16	4	NA	NA	1	1
chemistry	chem-	16	1	NA	NA	0	0
chemistry	i-	16	1	NA	NA	0	0
chemistry	stry	16	1	NA	NA	0	0
between	bet-	16	1	NA	NA	0	0
between	ween	16	2	NA	NA	0	0
boys	boys	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
girls	girls	24	4	3	1	1	1
is	is	24	1	NA	NA	0	0
alot	a-	24	1	NA	NA	0	0
alot	lot	24	2	NA	NA	0	0
like	like	24	2	NA	NA	0	0
when	when	24	1	NA	NA	0	0
we	we	24	1	NA	NA	0	0
went	went	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
woods	woods	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
laid	laid	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
squirrels	squir-	16	1	3	1	0	0
squirrels	rels	16	1	NA	NA	1	1
during	du-	16	1	NA	NA	0	0
during	ring	16	1	NA	NA	0	0
p	p	16	1	4	1	0	0
e	e	16	3	4	2	0	1
we'd	we'd	16	1	4	1	0	0
be	be	16	2	4	2	0	1
exploring	ex-	16	1	NA	NA	0	0
exploring	plor-	24	1	NA	NA	0	0
exploring	ing	24	1	NA	NA	0	0
each	each	24	1	NA	NA	0	0
others	o-	16	1	NA	NA	0	0
others	thers	16	1	NA	NA	0	0
privates	pri-	16	1	5	1	0	0
privates	vates	16	3	5	2	1	1
hunchin	hun-	24	1	NA	NA	0	0
hunchin	chin	24	1	NA	NA	0	0
with	with	24	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
clothes	clothes	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	1
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
felt	felt	16	1	NA	NA	0	0
excited	ex-	16	1	NA	NA	0	0
excited	ci-	16	1	5	1	0	0
excited	ted	16	1	5	2	0	0
then	then	16	2	NA	NA	1	0
ah	ah	16	7	NA	NA	0	1
oh	oh	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
here	here	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
out	out	16	2	6	1	1	1
put	put	16	1	NA	NA	0	0
yo	yo	16	1	NA	NA	0	0
hands	hands	16	1	NA	NA	0	0
in	in	16	0.5	NA	NA	0	0
the	the	16	0.5	NA	NA	0	0
atmosphere	at-	16	1	NA	NA	0	0
atmosphere	mo-	16	1	NA	NA	0	0
atmosphere	sphere	16	2	NA	NA	0	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	24	1	NA	NA	0	0
what	what	24	1	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
talkin	talk-	24	1	NA	NA	0	0
talkin	in	24	1	NA	NA	0	0
about	a-	24	1	NA	NA	0	0
about	bout	16	1	6	1	1	0
now	now	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
hearts	hearts	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
out	out	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
next	next	16	1	7	1	0	0
song	song	16	2	7	2	1	1
they	they	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
horny	horn-	24	1	NA	NA	0	0
horny	y	24	1	NA	NA	0	0
because	be-	24	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
devilish	de-	16	1	NA	NA	0	0
devilish	vil-	16	1	NA	NA	0	0
devilish	ish	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
dead	dead	16	1	7	1	0	0
wrong	wrong	16	1	7	2	1	1
