word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
in	in	16	3	NA	NA	0	0
slum	slum	16	3	NA	NA	0	0
national	na-	16	3	NA	NA	0	0
national	tion-	16	1	NA	NA	0	0
national	al	16	2	NA	NA	1	0
underground	un-	16	2	1	1	0	0
underground	der-	16	1	1	2	0	0
underground	ground	16	2	1	3	0	0
thunder	thun-	16	2	1	1	0	0
thunder	der	16	1	1	2	0	0
pounds	pounds	16	2	1	3	0	0
when	when	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
stomp	stomp	16	2	1	1	0	0
the	the	16	1	1	2	0	0
ground	ground	16	6	1	3	1	1
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
million	mil-	16	2	NA	NA	0	0
million	lion	16	1	NA	NA	0	0
elephants	e-	16	2	NA	NA	0	0
elephants	le-	16	1	NA	NA	0	0
elephants	phants	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
silverback	sil-	16	2	NA	NA	0	0
silverback	ver-	16	1	NA	NA	0	0
silverback	back	16	2	NA	NA	1	0
orangutans	o-	16	1	NA	NA	0	0
orangutans	rang-	16	2	2	1	0	0
orangutans	u-	16	1	2	2	0	0
orangutans	tans	16	2	2	3	0	0
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
stop	stop	16	2	2	1	0	0
a	a	16	1	2	2	0	0
train	train	16	4	2	3	1	1
who	who	16	1	NA	NA	0	0
want	want	16	2	NA	NA	0	0
some	some	16	2	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
come	come	16	2	NA	NA	0	0
unprepared	un-	16	2	NA	NA	0	0
unprepared	pre-	16	2	3	1	0	0
unprepared	pared	16	2	3	2	1	0
i'll	i'll	16	2	NA	NA	0	0
be	be	16	2	3	1	0	0
there	there	16	2	3	2	0	0
but	but	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
leave	leave	16	2	3	1	0	0
there	there	16	3	3	2	1	1
better	be-	16	1	NA	NA	0	0
better	tter	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
household	house-	16	1	NA	NA	0	0
household	hold	16	2	NA	NA	0	0
name	name	16	5	4	1	1	1
weather	wea-	16	1	NA	NA	0	0
weather	ther	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
tellin'	tel-	16	1	NA	NA	0	0
tellin'	lin'	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
gon'	gon'	16	2	NA	NA	0	0
rain	rain	16	4	4	1	1	1
so	so	16	1	NA	NA	0	0
now	now	16	2	NA	NA	0	0
we	we	16	2	NA	NA	0	0
sittin'	sit-	16	1	NA	NA	0	0
sittin'	tin'	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
drop	drop	16	2	NA	NA	0	0
top	top	16	2	NA	NA	0	0
soakin	soak-	16	2	NA	NA	0	0
soakin	in	16	1	NA	NA	0	0
wet	wet	16	5	5	1	1	1
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
silk	silk	16	2	NA	NA	0	0
suit	suit	16	2	NA	NA	0	0
tryin'	try-	16	1	NA	NA	0	0
tryin'	in'	16	1	NA	NA	0	0
not	not	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sweat	sweat	16	5	5	1	1	1
hits	hits	16	2	NA	NA	0	0
somersaults	so-	16	1	NA	NA	0	0
somersaults	mer-	16	1	NA	NA	0	0
somersaults	saults	16	2	NA	NA	0	0
without	with-	16	2	NA	NA	0	0
without	out	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
net	net	16	4	5	1	1	1
but	but	16	1	NA	NA	0	0
this'll	this-	16	1	NA	NA	0	0
this'll	'll	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
year	year	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
won't	won't	16	2	NA	NA	0	0
forget	for-	16	1	NA	NA	0	0
forget	get	16	3	5	1	1	1
one	one	16	2	NA	NA	0	0
nine	nine	16	4	NA	NA	0	0
nine	nine	16	2	NA	NA	0	0
nine	nine	16	4	NA	NA	0	0
ano	a-	16	1	NA	NA	0	0
ano	no	16	1	NA	NA	0	0
domini	do-	16	1	6	1	0	0
domini	mi-	16	1	6	2	0	0
domini	ni	16	2	6	3	1	1
anything	an-	16	2	NA	NA	0	0
anything	y-	16	2	NA	NA	0	0
anything	thing	16	2	NA	NA	0	0
goes	goes	16	3	NA	NA	0	0
