word	syllable	quant	duration	lineEnding	breathEnding	rhymeClass	rhymeIndex
baby	ba-	16	1	0	0	NA	NA
baby	by	16	1	0	0	NA	NA
did	did	16	1	0	0	NA	NA
you	you	16	1	0	0	NA	NA
hear	hear	16	1	0	0	NA	NA
that	that	16	1	0	0	NA	NA
yea	yea	16	1	0	0	NA	NA
baby	ba-	16	1	0	0	NA	NA
baby	by	16	1	0	0	NA	NA
i	i	16	1	0	0	NA	NA
heard	heard	16	1	0	0	NA	NA
it	it	16	1	0	0	NA	NA
too	too	16	3	1	1	1	1
look	look	16	1	0	0	NA	NA
out	out	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
window	wind-	16	1	0	0	NA	NA
window	ow	16	1	0	0	NA	NA
golly	gol-	16	1	0	0	NA	NA
golly	ly	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
sky	sky	16	1	0	0	NA	NA
is	is	16	1	0	0	NA	NA
electric	e-	16	1	0	0	NA	NA
electric	lec-	16	1	0	0	NA	NA
electric	tric	16	1	0	0	NA	NA
blue	blue	4	1	1	1	1	1
mamma	mam-	16	1	0	0	NA	NA
mamma	ma	16	1	0	0	NA	NA
earth	earth	16	1	0	0	NA	NA
is	is	16	1	0	0	NA	NA
dyin	dy-	16	1	0	0	2	1
dyin	in	16	1	0	0	2	2
and	and	16	1	0	0	NA	NA
cryin	cry-	16	1	0	0	2	1
cryin	in	16	1	0	0	2	2
because	be-	16	1	0	0	NA	NA
because	cause	16	1	0	0	NA	NA
of	of	16	1	0	0	NA	NA
you	you	16	3	1	1	1	1
rainin	rain-	16	1	0	0	NA	NA
rainin	in	16	1	0	0	NA	NA
cats	cats	16	1	0	0	NA	NA
and	and	16	1	0	0	NA	NA
jackals	jack-	16	1	0	0	3	1
jackals	als	16	1	0	0	3	2
all	all	16	1	0	0	NA	NA
shackles	shack-	16	1	0	0	3	1
shackles	les	16	1	0	0	3	2
disintegrate	dis-	16	1	0	0	NA	NA
disintegrate	in-	16	1	0	0	NA	NA
disintegrate	te-	16	1	0	0	NA	NA
disintegrate	grate	16	2	1	1	NA	NA
to	to	16	1	0	0	NA	NA
residue	res-	16	1	0	0	NA	NA
residue	i-	16	1	0	0	NA	NA
residue	due	16	3	0	1	1	1
silly	sil-	16	1	0	0	NA	NA
silly	ly	16	1	0	0	NA	NA
mortals	mor-	16	1	0	0	NA	NA
mortals	tals	16	1	0	0	NA	NA
haven't	have-	16	1	0	0	NA	NA
haven't	n't	16	1	0	0	NA	NA
a	a	16	1	0	0	NA	NA
clue	clue	16	2	1	1	1	1
as	as	16	1	0	0	NA	NA
to	to	16	1	0	0	NA	NA
what	what	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
fuck	fuck	16	1	0	0	NA	NA
is	is	16	1	0	0	NA	NA
goin	goin	16	2	0	0	4	1
on	on	16	1	0	0	4	3
i'm	i'm	16	2	0	0	NA	NA
on	on	16	2	0	0	NA	NA
the	the	16	1	0	0	NA	NA
telephone	te-	16	1	0	0	4	1
telephone	le-	16	1	0	0	4	2
telephone	phone	16	1	1	0	4	3
dialin	dial-	16	1	0	0	NA	NA
dialin	in	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
dungeon	dun-	16	1	0	0	NA	NA
dungeon	geon	16	4	0	1	NA	NA
this	this	16	1	0	0	NA	NA
dre	dre	16	2	0	1	NA	NA
bring	bring	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
m	m	16	1	0	0	5	1
p	p	16	1	0	0	5	2
and	and	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
s	s	16	1	0	0	5	1
p	p	16	1	1	0	5	2
meet	meet	16	1	0	0	NA	NA
me	me	16	1	0	0	NA	NA
at	at	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
center	cen-	16	1	0	0	NA	NA
center	ter	16	1	0	0	NA	NA
of	of	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
earth	earth	16	1	0	0	NA	NA
and	and	16	1	0	0	NA	NA
travel	trav-	16	1	0	0	NA	NA
travel	el	16	1	0	0	NA	NA
carefully	care-	32	1	0	0	NA	NA
carefully	ful-	32	1	0	0	NA	NA
carefully	ly	16	3	0	0	NA	NA
baby	ba-	16	1	0	0	6	1
baby	by	16	1	0	0	6	2
grab	grab	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
baby	ba-	16	1	0	0	6	1
baby	by	16	1	0	0	6	2
cause	cause	16	1	0	0	NA	NA
baby	ba-	16	1	0	0	6	1
baby	by	16	1	0	0	6	2
it	it	16	1	0	0	NA	NA
ain't	ain't	16	1	0	0	NA	NA
much	much	16	1	0	0	NA	NA
time	time	4	1	1	1	7	1
mamma	mam-	16	1	0	0	NA	NA
mamma	ma	16	1	0	0	NA	NA
earth	earth	16	1	0	0	NA	NA
is	is	16	1	0	0	NA	NA
tossin	tos-	16	1	0	0	NA	NA
tossin	sin	16	1	0	0	NA	NA
and	and	16	1	0	0	NA	NA
turnin	turn-	16	1	0	0	NA	NA
turnin	in	16	1	0	0	NA	NA
and	and	16	1	0	0	NA	NA
that's	that's	16	1	0	0	NA	NA
our	our	16	1	0	0	NA	NA
sign	sign	16	3	1	1	7	1
omega	o-	16	1	0	0	8	1
omega	me-	16	1	0	0	8	2
omega	ga	16	1	0	0	8	3
nigga	nig-	16	1	0	0	NA	NA
nigga	ga	16	1	0	0	NA	NA
i	i	16	1	0	0	NA	NA
f	f	16	1	0	0	NA	NA
owes	owes	16	1	0	0	NA	NA
are	are	16	1	0	0	NA	NA
landin	lan-	16	1	0	0	NA	NA
landin	din	16	1	0	0	NA	NA
in	in	16	1	0	0	NA	NA
decatur	de-	16	1	0	0	8	1
decatur	ca-	16	1	0	0	8	2
decatur	tur	16	1	1	0	8	3
hope	hope	16	1	0	0	NA	NA
i'm	i'm	16	1	0	0	NA	NA
not	not	16	1	0	0	NA	NA
over	o-	16	1	0	0	NA	NA
over	ver	16	1	0	0	NA	NA
your	your	16	1	0	0	NA	NA
head	head	16	1	0	0	NA	NA
but	but	16	1	0	0	NA	NA
if	if	16	1	0	0	NA	NA
so	so	16	1	0	0	NA	NA
you	you	16	1	0	0	NA	NA
will	will	16	1	0	0	NA	NA
catch	catch	16	1	0	0	NA	NA
on	on	16	1	0	0	8	1
later	lat-	16	1	0	0	8	2
later	er	16	1	1	0	8	3
play	play	16	1	0	0	NA	NA
the	the	16	1	0	0	NA	NA
track	track	16	3	0	1	NA	NA
guess	guess	16	1	0	0	NA	NA
she	she	16	1	0	0	NA	NA
could	could	16	1	0	0	NA	NA
not	not	16	1	0	0	NA	NA
take	take	16	1	0	0	NA	NA
it	it	16	1	0	0	NA	NA
anymore	an-	16	1	0	0	NA	NA
anymore	y-	16	1	0	0	NA	NA
anymore	more	16	2	1	1	8	1
rapin	rap-	16	1	0	0	8	2
rapin	in	16	1	0	0	8	3
her	her	16	1	0	0	NA	NA
heavenly	heav-	16	1	0	0	NA	NA
heavenly	en-	16	1	0	0	NA	NA
heavenly	ly	16	1	0	0	NA	NA
