word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
got	got	16	1	NA	NA	0	0
stopped	stopped	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
mall	mall	24	2	1	1	0	0
the	the	24	1	1	2	0	0
other	o-	24	1	1	3	0	0
other	ther	24	1	1	4	0	0
day	day	24	2	1	5	0	1
heard	heard	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
call	call	24	3	NA	NA	0	0
from	from	24	2	1	1	0	0
the	the	24	1	1	2	0	0
other	o-	24	1	1	3	0	0
other	ther	24	1	1	4	0	0
way	way	24	2	1	5	1	1
that	that	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
just	just	24	2	NA	NA	0	0
came	came	24	2	2	1	0	0
from	from	24	3	2	2	0	1
some	some	24	2	NA	NA	0	0
nigga	nig-	24	1	NA	NA	0	0
nigga	ga	24	1	NA	NA	0	0
was	was	24	1	NA	NA	0	0
sayin	say-	16	1	2	1	0	0
sayin	in	16	1	NA	NA	0	0
somethin	some-	24	1	2	2	0	0
somethin	thin	24	3	NA	NA	0	1
talkin	talk-	24	1	NA	NA	0	0
talkin	in	24	1	NA	NA	0	0
bout	bout	16	3	NA	NA	1	1
hey	hey	16	1	NA	NA	0	0
man	man	16	4	NA	NA	0	0
you	you	32	1	NA	NA	0	0
remember	re-	32	1	NA	NA	0	0
remember	mem-	32	1	NA	NA	0	0
remember	ber	32	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
from	from	24	1	NA	NA	0	0
school	school	24	3	NA	NA	0	1
naw	naw	24	2	NA	NA	0	0
not	not	24	2	NA	NA	0	0
really	real-	24	1	3	1	0	0
really	ly	24	1	3	2	0	0
but	but	24	1	NA	NA	1	0
he	he	24	1	NA	NA	0	0
kept	kept	24	2	NA	NA	0	0
smilin	smil-	16	1	NA	NA	0	0
smilin	in	16	1	NA	NA	0	0
