word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
outkast	out-	16	2	NA	NA	0	0
outkast	kast	16	2	NA	NA	0	0
wit	wit	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
k	k	16	2	NA	NA	0	0
yeah	yeah	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
hard	hard	16	5	1	1	1	1
harder	hard-	16	1	NA	NA	0	0
harder	er	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
trying	try-	24	1	NA	NA	0	0
trying	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
impress	im-	16	1	NA	NA	0	0
impress	press	16	2	NA	NA	0	0
god	god	16	4	1	1	1	1
we'll	we'll	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
deck	deck	16	2	NA	NA	0	0
fuck	fuck	16	2	NA	NA	0	0
pulling	pul-	16	1	NA	NA	0	0
pulling	ling	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
card	card	16	2	1	1	1	0
and	and	16	1	NA	NA	0	0
still	still	16	2	NA	NA	0	0
take	take	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
guitar	gui-	16	1	NA	NA	0	0
guitar	tar	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
park	park	16	4	1	1	1	1
and	and	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sweetest	swee-	16	1	NA	NA	0	0
sweetest	test	16	1	NA	NA	0	0
melody	me-	16	1	NA	NA	0	0
melody	lo-	16	1	NA	NA	0	0
melody	dy	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
street	street	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
heard	heard	16	2	2	1	1	0
now	now	16	1	NA	NA	0	0
bitches	bitch-	16	1	NA	NA	0	0
bitches	es	16	1	NA	NA	0	0
sucking	suck-	16	1	NA	NA	0	0
sucking	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nouns	nouns	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
eating	eat-	16	1	NA	NA	0	0
eating	ing	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
verbs	verbs	16	2	2	1	1	0
get	get	16	2	NA	NA	0	0
full	full	16	4	3	1	0	1
and	and	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
pop	pop	16	2	NA	NA	0	0
pop	pop	16	2	NA	NA	0	0
lock	lock	16	2	NA	NA	0	0
lock	lock	16	2	NA	NA	1	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
beat	beat	16	2	NA	NA	0	0
beat	beat	16	2	NA	NA	0	1
as	as	16	3	NA	NA	0	0
if	if	16	2	NA	NA	1	0
pitbulls	pit-	16	2	NA	NA	0	0
pitbulls	bulls	16	4	3	1	0	1
went	went	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
style	style	16	2	NA	NA	0	0
made	made	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
vow	vow	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	2	4	1	1	0
if	if	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wealth	wealth	16	2	4	1	0	0
i'll	i'll	16	2	NA	NA	0	0
stop	stop	16	7	5	1	1	1
well	well	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
selling	sell-	16	1	NA	NA	0	0
selling	ing	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
dope	dope	16	2	NA	NA	NA	NA
