word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
don't	don't	16	1	NA	NA	0	0
everybody	every-	16	2	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
smell	smell	16	1	NA	NA	0	0
of	of	16	1	NA	NA	1	0
gasoline	ga-	16	2	NA	NA	0	0
gasoline	so-	16	1	NA	NA	0	0
gasoline	line	16	4	1	1	0	1
well	well	16	1	NA	NA	0	0
burn	burn	16	2	NA	NA	0	0
motherfucka	mo-	16	1	NA	NA	0	0
motherfucka	ther-	16	1	NA	NA	0	0
motherfucka	fuck-	16	1	NA	NA	0	0
motherfucka	a	16	1	NA	NA	0	0
burn	burn	16	1	NA	NA	1	0
american	a-	16	1	NA	NA	0	0
american	mer-	16	1	NA	NA	0	0
american	i-	16	1	NA	NA	0	0
american	can	16	1	NA	NA	0	0
dream	dream	16	4	1	1	0	1
don't	don't	16	1	NA	NA	0	0
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
taste	taste	16	1	NA	NA	0	0
of	of	16	1	NA	NA	1	0
apple	ap-	16	2	NA	NA	0	0
apple	ple	16	1	NA	NA	0	0
pie	pie	16	4	2	1	0	1
we'll	we'll	16	1	NA	NA	0	0
snap	snap	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
slice	slice	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
life	life	16	1	NA	NA	1	0
i'm	i'm	16	1	NA	NA	0	0
tellin'	tel-	16	1	NA	NA	0	0
tellin'	lin'	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
why	why	16	4	2	1	0	1
i	i	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	1	NA	NA	0	0
nature's	na-	16	1	NA	NA	0	0
nature's	ture's	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
on	on	16	1	NA	NA	1	0
birth	birth	16	2	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	4	3	1	0	1
the	the	16	1	NA	NA	0	0
coldest	cold-	16	1	NA	NA	0	0
coldest	est	16	1	NA	NA	0	0
pimp	pimp	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	1	0
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hold	hold	16	4	3	1	0	1
the	the	16	1	NA	NA	0	0
highway	high-	16	1	NA	NA	0	0
highway	way	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
heaven	hea-	16	1	NA	NA	0	0
heaven	ven	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	1	0
crook	crook	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
toll	toll	16	5	3	1	0	1
youth	youth	16	2	NA	NA	0	0
full	full	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	NA	NA
ain't	ain't	16	1	NA	NA	0	0
got	got	16	1	NA	NA	1	0
nowhere	no-	16	1	NA	NA	0	0
nowhere	where	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	5	3	1	0	1
nowhere	no-	16	1	NA	NA	0	0
nowhere	where	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	6	3	1	1	1
