word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
too	too	16	1	NA	NA	0	0
democratic	de-	16	1	NA	NA	0	0
democratic	mo-	16	1	NA	NA	0	0
democratic	cra-	16	1	NA	NA	0	0
democratic	tic	16	2	NA	NA	0	1
republic	re-	16	1	NA	NA	0	0
republic	pu-	16	1	NA	NA	0	0
republic	blic	16	1	NA	NA	0	0
fuck	fuck	16	1	1	1	0	0
it	it	16	2	1	2	1	1
we	we	16	1	NA	NA	0	0
chicken	chi-	16	1	NA	NA	0	0
chicken	cken	16	1	NA	NA	0	0
nugget	nug-	16	1	1	1	0	0
nugget	get	16	2	1	2	0	1
we	we	16	1	NA	NA	0	0
dip	dip	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sauce	sauce	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
mop	mop	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
bucket	buc-	16	1	1	1	0	0
bucket	ket	16	2	1	2	1	1
blue	blue	16	1	NA	NA	0	0
collar	col-	16	1	2	1	0	0
collar	lar	16	1	2	2	0	0
scholars	schol-	16	1	2	1	0	0
scholars	ars	16	2	2	2	0	1
who'll	who'll	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
dollar	dol-	16	1	2	1	0	0
dollar	lar	16	2	2	2	0	1
and	and	16	1	NA	NA	0	0
wipe	wipe	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
ass	ass	16	2	NA	NA	1	0
wit	wit	16	1	3	1	0	0
it	it	16	2	3	2	0	1
you	you	16	1	NA	NA	0	0
livin	liv-	16	1	NA	NA	0	0
livin	in	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lotto	lot-	16	1	NA	NA	0	0
lotto	to	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
hit	hit	16	1	3	1	0	0
it	it	16	2	3	2	1	1
i	i	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
critic	cri-	16	1	3	1	0	0
critic	tic	16	2	3	2	0	1
i	i	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
drawers	drawers	16	3	4	1	1	1
she	she	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
guns	guns	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
alcohol	al-	16	1	NA	NA	0	0
alcohol	co-	16	1	NA	NA	0	0
alcohol	hol	16	3	4	1	1	1
i	i	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
oh	oh	16	1	NA	NA	0	0
hell	hell	16	2	NA	NA	0	0
no	no	16	3	NA	NA	0	1
but	but	16	1	NA	NA	0	0
yet	yet	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
that	that	16	2	NA	NA	0	0
too	too	16	3	5	1	1	1
you	you	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
