word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
they	they	16	1	NA	NA	0	0
swan	swan	16	2	NA	NA	0	0
divin'	div-	16	1	1	1	0	0
divin'	in'	16	3	1	2	0	1
fit	fit	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
name	name	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
thrashing	thrash-	12	1	2	1	0	0
thrashing	ing	12	1	2	2	0	0
an	an	12	1	NA	NA	0	0
album	al-	16	1	1	1	0	0
album	bum	16	3	1	2	1	1
go	go	16	1	NA	NA	0	0
cart	cart	16	2	NA	NA	0	0
rushin'	rush-	16	1	2	1	0	0
rushin'	in'	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
finish	fin-	24	1	NA	NA	0	0
finish	ish	24	1	NA	NA	0	0
their	their	24	1	NA	NA	0	0
album	al-	16	1	NA	NA	0	0
album	bum	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
find	find	16	1	1	1	0	0
them	them	16	3	1	2	1	1
lost	lost	16	2	NA	NA	0	0
dog	dog	16	2	NA	NA	0	0
paddling	pad-	16	1	3	1	0	0
paddling	dl-	16	1	3	2	0	0
paddling	ing	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
stroking	stro-	16	1	NA	NA	0	0
stroking	king	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
happened	hap-	16	1	3	1	0	0
happened	pened	16	2	3	2	1	1
be	be	16	1	NA	NA	0	0
rhymin'	rhy-	16	1	NA	NA	0	0
rhymin'	min'	16	1	NA	NA	0	0
catching	catch-	24	1	NA	NA	0	0
catching	ing	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
day	day	24	4	NA	NA	0	1
when	when	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
recipe	re-	24	1	NA	NA	0	0
recipe	ci-	24	1	NA	NA	0	0
recipe	pe	24	1	NA	NA	0	0
calls	calls	16	1	4	1	0	0
for	for	16	1	4	2	0	0
black	black	16	1	NA	NA	0	0
and	and	16	1	NA	NA	1	0
wrong	wrong	16	1	4	1	0	0
ingredients	in-	16	1	4	2	0	0
ingredients	gre-	24	1	NA	NA	0	0
ingredients	di-	24	1	NA	NA	0	0
ingredients	ents	24	4	NA	NA	0	1
maybe	may-	16	1	5	1	0	0
maybe	be	16	1	5	2	0	0
too	too	16	1	5	3	0	0
much	much	16	1	NA	NA	0	0
herbs	herbs	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
spices	spi-	16	1	1	1	0	0
spices	ces	16	2	1	2	1	1
maybe	may-	16	1	5	1	0	0
maybe	be	16	1	5	2	0	0
you	you	16	1	5	3	0	0
got	got	16	1	NA	NA	0	0
hungry	hun-	16	1	NA	NA	0	0
hungry	gry	16	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
wrong	wrong	16	1	NA	NA	0	0
dish	dish	16	1	NA	NA	0	0
southern	south-	16	1	NA	NA	0	0
southern	ern	16	1	NA	NA	0	0
greens	greens	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
entice	en-	16	1	NA	NA	0	0
entice	tice	16	1	1	1	0	0
them	them	16	1	1	2	0	0
how	how	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
joke	joke	16	1	6	1	0	0
the	the	16	1	6	2	0	0
same	same	16	3	6	3	1	1
so	so	32	1	NA	NA	0	0
i'm	i'm	32	1	NA	NA	0	0
gonna	gon-	16	1	6	1	0	0
gonna	na	16	1	6	2	0	0
sing	sing	16	2	6	3	0	1
just	just	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
them	them	16	2	7	1	1	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
at	at	16	1	8	1	0	0
i'll	i'll	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
break	break	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
back	back	16	1	8	1	0	0
to	to	16	1	NA	NA	0	0
touch	touch	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
rim	rim	16	2	7	1	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
gotta	got-	16	1	9	1	0	0
gotta	ta	16	2	9	2	0	1
my	my	16	1	NA	NA	0	0
alta	al-	16	1	NA	NA	0	0
alta	ta	16	1	NA	NA	0	0
mater	ma-	16	1	9	1	0	0
mater	ter	16	1	9	2	0	0
be	be	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
follow	fol-	16	1	9	1	0	0
follow	low	16	1	9	2	1	1
i	i	16	1	NA	NA	0	0
bite	bite	16	1	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	24	1	NA	NA	0	0
whatever	er	24	1	NA	NA	0	0
that's	that's	24	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
tasty	tast-	16	1	NA	NA	0	0
tasty	y	16	1	NA	NA	0	0
water	wa-	24	1	NA	NA	0	0
water	ter	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
swallow	swal-	16	1	9	1	0	0
swallow	low	16	1	9	2	1	1
i	i	16	1	NA	NA	0	0
hope	hope	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
vomit	vo-	16	1	9	1	0	0
vomit	mit	16	2	9	2	0	1
won't	won't	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
names	names	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
job	job	16	2	10	1	1	1
it	it	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
applies	ap-	16	1	NA	NA	0	0
applies	plies	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
whom	whom	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
may	may	16	1	NA	NA	0	0
concern	con-	16	1	NA	NA	0	0
concern	cern	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
are	are	16	2	10	1	1	1
but	but	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
will	will	16	3	11	1	0	1
you	you	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
receive	re-	16	1	NA	NA	0	0
receive	ceive	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
steel	steel	16	3	11	1	1	1
but	but	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
ugly	ug-	16	1	12	1	0	0
ugly	ly	16	1	12	2	0	0
cause	cause	16	1	NA	NA	0	0
trust	trust	16	1	12	1	0	0
me	me	16	1	12	2	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
feel	feel	16	3	11	1	1	1
the	the	16	1	NA	NA	0	0
way	way	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
felt	felt	24	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
wrote	wrote	16	1	13	1	0	0
this	this	16	2	13	2	0	1
but	but	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
stay	stay	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
focus	fo-	16	1	13	1	0	0
focus	cus	16	2	13	2	1	1
we	we	16	1	NA	NA	0	0
kings	kings	16	1	14	1	0	0
and	and	16	1	NA	NA	0	0
queens	queens	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
thing	thing	16	1	14	1	0	0
get	get	16	1	NA	NA	0	0
rid	rid	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
jokers	jo-	16	1	13	1	0	0
jokers	kers	16	1	13	2	1	0
face	face	16	2	15	1	0	0
down	down	16	4	15	2	0	1
face	face	16	2	15	1	0	0
down	down	16	4	15	2	0	1
face	face	16	2	15	1	0	0
down	down	16	4	15	2	1	1
