word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
everything	eve-	16	1	NA	NA	0	0
everything	ry-	16	1	NA	NA	0	0
everything	thing	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
me	me	16	3	NA	NA	0	1
is	is	16	1	NA	NA	0	0
unstable	un-	16	1	NA	NA	0	0
unstable	sta-	16	1	NA	NA	0	0
unstable	ble	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
chernobyl	cher-	16	1	1	1	0	0
chernobyl	no-	16	1	1	2	0	0
chernobyl	byl	16	2	1	3	1	1
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
moment	mo-	16	1	NA	NA	0	0
moment	ment	16	1	NA	NA	0	0
jumpin	jump-	16	1	NA	NA	0	0
jumpin	in	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	1	1	0	0
pogo	po-	16	1	1	2	0	0
pogo	go	16	2	1	3	0	1
stick	stick	16	2	NA	NA	1	1
life	life	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
lived	lived	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
expectations	ex-	16	1	2	1	0	0
expectations	pect-	16	1	2	2	0	0
expectations	a-	16	1	2	3	0	0
expectations	tions	16	2	2	4	1	1
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
accept	ac-	16	1	NA	NA	0	0
accept	cept	16	1	2	1	0	0
the	the	16	1	2	2	0	0
patience	pa-	16	1	2	3	0	0
patience	tience	16	2	2	4	0	1
expect	ex-	16	1	NA	NA	0	0
expect	pect	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
worse	worse	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
now	now	16	1	2	1	0	0
i'm	i'm	16	1	2	2	0	0
pacin	pa-	16	1	2	3	0	0
pacin	cin	16	1	2	4	0	0
back	back	16	1	NA	NA	0	0
and	and	16	1	NA	NA	1	0
forth	forth	16	1	NA	NA	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
melting	mel-	16	1	NA	NA	0	0
melting	ting	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
wicked	wick-	16	1	3	1	0	0
wicked	ed	16	1	3	2	0	0
witches	witch-	16	1	3	3	0	0
witches	es	16	2	3	4	1	1
a	a	16	1	NA	NA	0	0
monster	mon-	16	1	NA	NA	0	0
monster	ster	16	1	NA	NA	0	0
truck	truck	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
came	came	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
ran	ran	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
picket	pic-	16	1	3	1	0	0
picket	ket	16	1	3	2	0	0
fences	fen-	16	1	3	3	0	0
fences	ces	16	2	3	4	1	1
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
best	best	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
clinches	clinch-	16	1	NA	NA	0	0
clinches	es	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
monkey	mon-	16	1	3	1	0	0
monkey	key	16	1	3	2	0	0
wrenches	wrench-	16	1	3	3	0	0
wrenches	es	16	1	3	4	1	0
was	was	16	1	NA	NA	0	0
thrown	thrown	16	2	4	1	0	1
