word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
ten	ten	16	1	NA	NA	0	0
times	times	16	2	1	1	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
nine	nine	16	3	1	2	0	1
now	now	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
lyin	ly-	16	1	1	1	0	0
lyin	in	16	1	NA	NA	0	0
find	find	16	3	1	2	1	1
the	the	16	1	NA	NA	0	0
quickest	quick-	16	1	NA	NA	0	0
quickest	est	16	1	NA	NA	0	0
muzzle	muz-	16	1	NA	NA	0	0
muzzle	zle	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mouth	mouth	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
decline	de-	16	1	NA	NA	0	0
decline	cline	16	2	1	2	1	1
king	king	16	2	2	1	0	0
meets	meets	16	2	NA	NA	0	0
queen	queen	16	2	NA	NA	0	0
then	then	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
puppy	pup-	16	1	NA	NA	0	0
puppy	py	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
thing	thing	16	2	2	1	1	0
together	to-	16	1	NA	NA	0	0
together	geth-	16	1	NA	NA	0	0
together	er	16	1	NA	NA	0	0
dream	dream	16	2	2	1	0	0
bout	bout	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
crib	crib	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
goodyear	good-	16	1	NA	NA	0	0
goodyear	year	16	2	NA	NA	0	0
swing	swing	16	3	2	1	1	1
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
oak	oak	16	2	NA	NA	0	0
tree	tree	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hope	hope	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	3	1	0	0
forever	ver	16	2	3	2	1	1
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	3	1	0	0
forever	ver	16	2	3	2	0	1
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	3	1	0	0
forever	ver	16	1	3	2	0	0
ever	e-	16	1	3	1	0	0
ever	ver	16	2	3	2	0	1
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	3	1	0	0
forever	ver	16	1	3	2	0	0
ever	e-	16	1	3	1	0	0
ever	ver	16	2	3	2	1	1
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	3	1	0	0
forever	ver	16	1	3	2	0	0
never	ne-	16	1	3	1	0	0
never	ver	16	1	3	2	0	0
seems	seems	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
long	long	16	2	NA	NA	0	0
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
grown	grown	16	3	4	1	1	1
and	and	16	1	NA	NA	0	0
notice	no-	16	1	NA	NA	0	0
notice	tice	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
ruler	rul-	16	1	NA	NA	0	0
ruler	er	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
too	too	16	1	NA	NA	0	0
wrong	wrong	16	3	4	1	1	1
ms	ms	16	1	NA	NA	0	0
jackson	jack-	16	1	NA	NA	0	0
