word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
wanna	wan-	24	1	NA	NA	0	0
wanna	na	24	1	NA	NA	0	0
get	get	24	1	NA	NA	1	0
signed	signed	4	1	NA	NA	0	0
but	but	16	2	NA	NA	0	1
record	re-	16	1	NA	NA	0	0
record	cord	16	1	NA	NA	0	0
companies	com-	24	1	1	1	0	0
companies	pa-	24	1	1	2	0	0
companies	nies	24	1	1	3	0	0
act	act	16	1	1	4	0	0
like	like	16	1	1	5	0	0
pimps	pimps	16	2	1	6	0	0
gettin	get-	16	1	NA	NA	0	0
gettin	tin	16	1	NA	NA	1	0
paid	paid	16	1	2	1	0	0
off	off	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
made	made	16	1	2	1	0	0
when	when	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ones	ones	16	1	1	1	0	0
that's	that's	16	1	1	2	0	0
fly	fly	16	1	1	4	0	0
like	like	16	1	1	5	0	0
blimps	blimps	16	1.5	1	6	0	0
but	but	16	0.5	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	1	0
goodyear	good-	16	1	3	1	0	0
goodyear	year	16	2	3	2	0	1
i	i	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
look	look	16	1	3	1	0	0
here	here	16	2	3	2	1	1
just	just	16	1	NA	NA	0	0
willin	wil-	24	1	NA	NA	0	0
willin	lin	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
deserve	de-	16	1	NA	NA	0	0
deserve	serve	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
kids	kids	16	1	1	6	0	0
to	to	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	1	NA	NA	0	0
and	and	16	0.5	NA	NA	0	0
a	a	16	0.5	NA	NA	0	0
little	lit-	16	0.5	NA	NA	0	0
little	tle	16	0.5	NA	NA	1	0
house	house	16	3	NA	NA	0	1
with	with	16	0.5	NA	NA	0	0
a	a	16	0.5	NA	NA	0	0
dog	dog	16	2	NA	NA	0	0
in	in	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
backyard	back-	24	1	NA	NA	0	0
backyard	yard	16	2	NA	NA	0	0
goin	goin	16	1	NA	NA	0	0
woof	woof	16	1	NA	NA	0	0
woof	woof	16	3	4	1	1	1
who	who	16	1	NA	NA	0	0
knows	knows	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
I	I	16	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
recording	re-	16	1	NA	NA	0	0
recording	cord-	16	1	NA	NA	0	0
recording	ing	16	1	NA	NA	0	0
booth	booth	16	3	4	1	1	1
poof	poof	16	3	4	1	0	1
back	back	24	1	NA	NA	0	0
in	in	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
real	real	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
where	where	16	1	NA	NA	0	0
birds	birds	16	2	NA	NA	0	0
fly	fly	16	3	5	1	1	1
from	from	16	1	NA	NA	0	0
miami	mi-	16	1	NA	NA	0	0
miami	a-	16	1	NA	NA	0	0
miami	mi	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
cuba	cu-	16	1	NA	NA	0	0
cuba	ba	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
whoever	who-	16	1	NA	NA	0	0
whoever	e-	16	1	NA	NA	0	0
whoever	ver	16	1	NA	NA	0	0
wants	wants	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
high	high	16	3	5	1	1	1
there's	there's	16	1	NA	NA	0	0
clouds	clouds	16	2	6	1	0	0
of	of	16	1	NA	NA	0	0
clowns	clowns	16	3	6	1	0	1
seas	seas	16	2	7	1	0	0
of	of	16	1	NA	NA	0	0
g's	g's	16	3	7	1	0	1
projects	pro-	16	1	NA	NA	0	0
projects	jects	16	3	NA	NA	1	1
packed	packed	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
playas	play-	16	1	NA	NA	0	0
playas	as	16	1	NA	NA	0	0
meditating	med-	16	1	NA	NA	0	0
meditating	i-	16	1	NA	NA	0	0
meditating	ta-	16	1	NA	NA	0	0
meditating	ting	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
