word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
what	what	24	1	1	1	0	0
can	can	24	1	1	2	0	0
make	make	24	1	1	3	0	0
a	a	24	1	1	4	0	0
nigga	nig-	24	1	1	5	0	0
nigga	ga	24	1	1	6	0	0
wanna	wan-	24	1	1	7	0	0
wanna	na	24	1	1	8	0	0
take	take	24	1	NA	NA	0	0
another	a-	24	1	2	1	0	0
another	no-	24	1	2	2	0	0
another	ther	24	1	2	3	0	0
nigga	nig-	24	1	2	4	0	0
nigga	ga	24	1	2	5	0	0
life	life	24	4	2	6	1	1
what	what	24	1	1	1	0	0
can	can	24	1	1	2	0	0
make	make	24	1	1	3	0	0
a	a	24	1	1	4	0	0
nigga	nig-	24	1	1	5	0	0
nigga	ga	24	1	1	6	0	0
wanna	wan-	24	1	1	7	0	0
wanna	na	24	1	1	8	0	0
do	do	24	1	NA	NA	0	0
another	a-	24	1	2	1	0	0
another	no-	24	1	2	2	0	0
another	ther	24	1	2	3	0	0
nigga	nig-	24	1	2	4	0	0
nigga	ga	24	1	2	5	0	0
wife	wife	24	2	2	6	0	0
like	like	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
butter	but-	24	1	2	4	0	0
butter	ter	24	1	2	5	0	0
knife	knife	24	10	2	6	1	1
what	what	24	1	1	1	0	0
can	can	24	1	1	2	0	0
make	make	24	1	1	3	0	0
a	a	24	1	1	4	0	0
nigga	nig-	24	1	1	5	0	0
nigga	ga	24	1	1	6	0	0
wanna	wan-	24	1	1	7	0	0
wanna	na	24	1	1	8	0	0
get	get	24	1	NA	NA	0	0
his	his	24	1	NA	NA	0	0
body	bo-	24	1	NA	NA	0	0
body	dy	24	1	NA	NA	0	0
so	so	12	1	NA	NA	0	0
high	high	12	1	NA	NA	1	0
that	that	12	1	NA	NA	0	0
can't	can't	12	1	NA	NA	0	0
go	go	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
sleep	sleep	12	1	3	1	0	0
don't	don't	12	1	NA	NA	0	0
wanna	wan-	24	1	NA	NA	0	0
wanna	na	24	1	NA	NA	0	0
eat	eat	12	1	3	1	0	0
