word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gypsy	gyp-	16	1	NA	NA	0	0
gypsy	sy	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
hipped	hipped	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
life	life	16	2	1	1	0	0
game	game	16	3	1	2	1	1
to	to	16	1	NA	NA	0	0
stimulate	sti-	16	1	NA	NA	0	0
stimulate	mu-	16	1	NA	NA	0	0
stimulate	late	16	1	2	1	0	0
then	then	16	1	NA	NA	0	0
activate	act-	16	1	NA	NA	0	0
activate	i-	16	1	NA	NA	0	0
activate	vate	16	1	2	1	0	0
the	the	16	1	NA	NA	0	0
left	left	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
right	right	16	2	1	1	0	0
brain	brain	16	3	1	2	1	1
said	said	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
boy	boy	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
funky	fun-	16	1	NA	NA	0	0
funky	ky	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
last	last	16	2	3	1	0	0
cut	cut	16	3	3	2	1	1
you	you	16	1	NA	NA	0	0
focus	fo-	16	1	NA	NA	0	0
focus	cus	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
past	past	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ass'll	ass-	16	1	NA	NA	0	0
ass'll	'll	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
has	has	16	2	3	1	0	0
what	what	16	3	3	2	1	1
thats	thats	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
either	ei-	16	1	NA	NA	0	0
either	ther	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
die	die	16	1	4	1	0	0
to	to	16	1	4	2	0	0
i	i	16	1	NA	NA	1	0
try	try	16	1	4	1	0	0
to	to	16	1	4	2	0	0
just	just	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
determine	de-	16	1	NA	NA	0	0
determine	ter-	16	1	NA	NA	0	0
determine	mine	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
own	own	16	1	NA	NA	0	0
adventure	ad-	16	1	NA	NA	0	0
adventure	ven-	16	1	NA	NA	0	0
adventure	ture	16	1	NA	NA	1	0
andre	an-	16	2	NA	NA	0	0
andre	dre	16	5	NA	NA	0	1
got	got	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
station	sta-	16	1	5	1	0	0
station	tion	16	1	5	2	0	0
here's	here's	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
destination	des-	16	1	NA	NA	0	0
destination	ti-	16	1	NA	NA	0	0
destination	na-	16	1	5	1	0	0
destination	tion	16	1	5	2	1	0
she	she	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bus	bus	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
conversation	con-	16	1	NA	NA	0	0
conversation	ver-	16	1	NA	NA	0	0
conversation	sa-	16	1	5	1	0	0
conversation	tion	16	1	5	2	0	0
lingered	ling-	16	1	NA	NA	0	0
lingered	ered	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
head	head	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
hours	ho-	16	1	6	1	0	0
hours	urs	16	1	6	2	1	0
took	took	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
shower	sho-	16	1	6	1	0	0
shower	wer	16	1	6	2	0	0
kinda	kind-	16	1	NA	NA	0	0
kinda	a	16	1	NA	NA	0	0
sour	so-	16	1	6	1	0	0
sour	ur	16	1	6	2	0	0
cause	cause	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
favorite	favor-	16	1	NA	NA	0	0
favorite	ite	16	1	NA	NA	0	0
group	group	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	1	0
comin	com-	16	1	NA	NA	0	0
comin	in	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
witcha	wit-	16	1	NA	NA	0	0
witcha	cha	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
probably	pro-	16	1	NA	NA	0	0
probably	bly	16	1	NA	NA	0	0
goin	goin	16	2	NA	NA	0	0
through	through	16	1	NA	NA	0	0
it	it	16	1	NA	NA	1	0
anyway	a-	16	1	NA	NA	0	0
anyway	ny-	16	1	NA	NA	0	0
