word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
common	com-	16	1	NA	NA	0	0
common	mon	16	1	NA	NA	0	0
denominator	de-	16	1	NA	NA	0	0
denominator	nom-	16	1	NA	NA	0	0
denominator	in-	16	1	NA	NA	0	0
denominator	a-	16	1	1	1	0	0
denominator	tor	16	1	1	2	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
numerator	num-	16	1	NA	NA	0	0
numerator	er-	16	1	NA	NA	0	0
numerator	a-	16	1	1	1	0	0
numerator	tor	16	2	1	2	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hater	ha-	16	1	1	1	0	0
hater	ter	16	1	1	2	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
cater	ca-	16	1	1	1	0	0
cater	ter	16	1	1	2	0	0
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ego	e-	16	1	2	1	0	0
ego	go	16	2	2	2	1	1
i'm	i'm	16	1	NA	NA	0	0
sorry	sor-	16	1	3	1	0	0
sorry	ry	16	1	3	2	0	0
like	like	16	1	NA	NA	0	0
atari	a-	16	1	NA	NA	0	0
atari	ta-	16	1	3	1	0	0
atari	ri	16	1	3	2	0	0
whose	whose	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cousin	cou-	16	1	NA	NA	0	0
cousin	sin	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
coleco	co-	16	1	NA	NA	0	0
coleco	le-	16	1	2	1	0	0
coleco	co	16	3	2	2	1	1
vision	vi-	16	2	NA	NA	0	0
vision	sion	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rico	ri-	16	1	2	1	0	0
rico	co	16	1	2	2	0	0
back	back	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
street	street	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
chico	chi-	16	1	2	1	0	0
chico	co	16	2	2	2	1	1
debarge	de-	16	1	NA	NA	0	0
debarge	barge	16	2	4	1	0	0
he	he	16	1	NA	NA	0	0
large	large	16	2	4	1	0	0
and	and	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lack	lack	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
garage	ga-	16	1	NA	NA	0	0
garage	rage	16	3	4	1	1	1
few	few	16	2	NA	NA	0	0
parts	parts	16	2	NA	NA	0	0
here	here	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
there	there	16	2	5	1	0	0
i	i	16	1	NA	NA	0	0
declare	de-	16	1	NA	NA	0	0
declare	clare	16	2	5	1	0	0
hard	hard	16	3	4	1	0	1
my	my	16	2	NA	NA	0	0
lawd	lawd	16	3	4	1	1	1
one	one	16	2	NA	NA	0	0
at	at	16	2	NA	NA	0	0
clark	clark	16	2	4	1	0	0
one	one	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
spelman	spel-	16	2	6	1	0	0
spelman	man	16	2	6	2	1	1
both	both	16	2	NA	NA	0	0
know	know	16	1	NA	NA	0	0
each	each	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
cool	cool	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
tell	tell	16	2	6	1	0	0
when	when	16	2	6	2	1	1
he	he	16	1	NA	NA	0	0
step	step	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
women	wo-	16	1	NA	NA	0	0
women	men	16	1	NA	NA	0	0
jump	jump	16	2	7	1	0	0
for	for	16	1	7	2	0	0
joy	joy	16	2	7	3	1	1
but	but	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wild	wild	16	2	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
scheming	schem-	16	1	NA	NA	0	0
scheming	ing	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
gon'	gon'	16	1	NA	NA	0	0
jump	jump	16	2	7	1	0	0
the	the	16	1	7	2	0	0
boy	boy	16	2	7	3	1	0
for	for	16	1	NA	NA	0	0
spittin	spit-	16	1	NA	NA	0	0
spittin	tin	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
that	that	16	2	NA	NA	0	0
bourgeois	bour-	16	2	NA	NA	0	0
bourgeois	geois	16	2	8	1	0	1
my	my	16	2	NA	NA	0	0
watch	watch	16	2	8	1	0	0
my	my	16	2	NA	NA	0	0
car	car	16	2	8	1	1	0
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
star	star	16	2	NA	NA	0	1
i'd	i'd	16	1	NA	NA	0	0
rather	ra-	16	1	NA	NA	0	0
rather	ther	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
comet	co-	16	1	NA	NA	0	0
comet	met	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
far	far	16	1	8	1	1	1
