word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
bet	bet	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
heard	heard	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
playa	play-	16	1	NA	NA	0	0
playa	a	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
game	game	16	4	1	1	1	1
told	told	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
truth	truth	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
what	what	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
shot	shot	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
shame	shame	16	4	1	1	1	1
take	take	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
dead	dead	16	1	NA	NA	0	0
serious	se-	32	1	NA	NA	0	0
serious	ri-	32	1	NA	NA	0	0
serious	ous	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
others	o-	16	1	NA	NA	0	0
others	thers	16	1	NA	NA	0	0
entertain	en-	16	1	NA	NA	0	0
entertain	ter-	16	1	NA	NA	0	0
entertain	tain	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
they're	they're	16	1	NA	NA	0	0
making	mak-	32	1	NA	NA	0	0
making	ing	32	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
complain	com-	16	1	NA	NA	0	0
complain	plain	16	3	1	1	1	1
or	or	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
they're	they're	16	1	NA	NA	0	0
disrespecting	dis-	16	1	NA	NA	0	0
disrespecting	res-	16	1	NA	NA	0	0
disrespecting	pec-	16	1	NA	NA	0	0
disrespecting	ting	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
whole	whole	16	1	NA	NA	0	0
thang	thang	16	3	1	1	1	1
them	them	16	1	NA	NA	0	0
hooks	hooks	12	1	NA	NA	0	0
like	like	12	1	NA	NA	0	0
selling	sell-	24	1	NA	NA	0	0
selling	ing	24	1	NA	NA	0	0
dope	dope	12	1	2	1	0	0
to	to	12	1	NA	NA	0	0
black	black	12	1	NA	NA	0	0
folks	folks	12	1	2	1	1	0
and	and	12	1	NA	NA	0	0
i	i	12	1	NA	NA	0	0
choke	choke	12	1	2	1	0	0
when	when	12	1	NA	NA	0	0
the	the	12	1	NA	NA	0	0
food	food	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
serving	ser-	32	1	NA	NA	0	0
serving	ving	32	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
tasting	tast-	16	1	NA	NA	0	0
tasting	ing	16	1	NA	NA	0	0
right	right	16	3	3	1	1	1
my	my	16	1	NA	NA	0	0
stomach	sto-	16	1	NA	NA	0	0
stomach	mach	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
digest	di-	16	1	NA	NA	0	0
digest	gest	16	1	4	1	0	0
it	it	16	1	4	2	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
bless	bless	16	1	4	1	0	0
it	it	16	1	4	2	1	0
i'm	i'm	16	1	NA	NA	0	0
confessing	con-	16	1	NA	NA	0	0
confessing	fess-	16	1	4	1	0	0
confessing	ing	16	1	4	2	0	0
one	one	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
lesson	les-	16	1	4	1	0	0
lesson	son	16	1	4	2	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
south	south	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
house	house	16	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	16	3	3	1	1	1
now	now	16	1	NA	NA	0	0
hootie	hoo-	16	1	NA	NA	0	0
hootie	tie	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
wants	wants	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
oppose	op-	16	1	5	1	0	0
oppose	pose	16	3	5	2	0	1
suppose	sup-	16	1	5	1	0	0
suppose	pose	16	3	5	2	1	1
we	we	16	1	NA	NA	0	0
rolls	rolls	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
headland	head-	16	1	NA	NA	0	0
headland	land	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
delowe	de-	16	1	5	1	0	0
delowe	lowe	16	1	5	2	0	0
where	where	16	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
niggas	nig-	24	1	NA	NA	0	0
niggas	gas	24	1	NA	NA	0	0
would	would	24	1	NA	NA	0	0
pass	pass	16	1	NA	NA	0	0
the	the	16	1	5	1	0	0
flow	flow	16	1	5	2	1	0
and	and	16	1	NA	NA	0	0
got	got	24	2	NA	NA	0	0
down	down	24	3	NA	NA	0	1
for	for	24	1	NA	NA	0	0
ours	ours-	24	1	NA	NA	0	0
ours	ours	24	1	NA	NA	0	0
like	like	24	1	NA	NA	0	0
hind	hind	16	2	NA	NA	0	0
catchers	cat-	16	1	6	1	0	0
catchers	chers	16	2	6	2	0	1
my	my	16	1	NA	NA	0	0
mind	mind	16	2	NA	NA	0	0
catches	cat-	16	1	6	1	0	0
catches	ches	16	1	6	2	1	0
flashbacks	flash-	12	1	7	1	0	0
flashbacks	backs	12	1	7	2	0	0
to	to	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
black	black	12	1	7	1	0	0
past	past	24	3	7	2	0	1
while	while	24	1	NA	NA	0	0
mind	mind	16	1	NA	NA	0	0
close	close	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
laugh	laugh	16	1	7	1	0	0
at	at	16	2	7	2	1	1
the	the	16	1	NA	NA	0	0
southern	south-	16	1	NA	NA	0	0
southern	ern	16	1	NA	NA	0	0
slang	slang	16	3	8	1	0	1
finger	fin-	32	1	NA	NA	0	0
finger	ger	32	1	NA	NA	0	0
waves	waves	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
mojo	mo-	16	1	NA	NA	0	0
mojo	jo	16	1	NA	NA	0	0
chicken	chi-	16	1	NA	NA	0	0
chicken	cken	16	1	NA	NA	0	0
wangs	wangs	8	1	8	1	1	1
i	i	16	1	NA	NA	0	0
grew	grew	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
booty	boot-	16	1	NA	NA	0	0
booty	y	16	1	NA	NA	0	0
shake	shake	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
better	be-	16	1	NA	NA	0	0
better	tter	16	1	NA	NA	0	0
thang	thang	8	1	8	1	1	0
so	so	16	1	NA	NA	0	0
go	go	32	1	NA	NA	0	0
ahead	a-	32	1	NA	NA	0	0
ahead	head	12	1	NA	NA	0	0
and	and	6	1	NA	NA	0	1
diss	diss	12	1	9	1	0	0
it	it	24	3	9	2	0	1
while	while	24	1	NA	NA	0	0
real	real	16	1	NA	NA	0	0
hop	hop	16	1	NA	NA	0	0
hippers	hip-	16	1	NA	NA	0	0
hippers	pers	16	1	NA	NA	0	0
listen	list-	16	1	9	1	0	0
listen	en	8	1	9	2	1	1
started	star-	16	1	NA	NA	0	0
started	ted	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
afrika	a-	24	1	NA	NA	0	0
afrika	fri-	24	1	NA	NA	0	0
afrika	ka	24	1	NA	NA	0	0
bambaata	bam-	16	1	NA	NA	0	0
bambaata	baa-	16	1	10	1	0	0
bambaata	ta	8	1	10	2	0	0
so	so	8	1	NA	NA	0	1
you	you	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
partner	part-	16	1	10	1	0	0
partner	ner	16	1	10	2	1	0
gather	gat-	24	1	NA	NA	0	0
gather	her	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
thoughts	thoughts	16	1	NA	NA	1	1
