word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yeah	yeah	16	2	NA	NA	0	0
tight	tight	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
nuts	nuts	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
bolts	bolts	16	2	NA	NA	0	0
sluts	sluts	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hoes	hoes	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
evicted	e-	16	1	NA	NA	0	0
evicted	vic-	16	1	1	1	0	0
evicted	ted	16	2	1	2	1	1
i'm	i'm	16	1	NA	NA	0	0
dealin	deal-	24	1	NA	NA	0	0
dealin	in	24	1	NA	NA	0	0
wit	wit	24	1	NA	NA	0	0
queens	queens	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
castle	cas-	16	1	NA	NA	0	0
castle	tle	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
worth	worth	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
risk	risk	16	1	1	1	0	0
it	it	16	2	1	2	1	1
now	now	16	1	NA	NA	0	0
tricks	tricks	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
lookin	look-	24	1	NA	NA	0	0
lookin	in	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
projects	pro-	16	1	2	1	0	0
projects	jects	16	2	2	2	1	1
can't	can't	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
payroll	pay-	16	1	NA	NA	0	0
payroll	roll	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
no	no	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
rolex	ro-	16	1	2	1	0	0
rolex	lex	16	1	2	2	0	0
or	or	16	1	NA	NA	0	0
no	no	16	1	NA	NA	1	0
diamond	dia-	16	1	3	1	0	0
diamond	mond	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
exit	ex-	16	1	NA	NA	0	0
exit	it	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sign	sign	16	2	3	1	0	0
sayin	say-	16	1	NA	NA	0	0
sayin	in	16	1	NA	NA	0	0
we'll	we'll	16	2	NA	NA	0	0
rap	rap	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
food	food	16	3	4	1	1	1
my	my	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bawled	bawled	16	2	NA	NA	0	0
up	up	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
happy	hap-	16	1	NA	NA	0	0
happy	py	16	1	NA	NA	0	0
mood	mood	16	2	4	1	1	1
while	while	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
partner	part-	16	1	NA	NA	0	0
partner	ner	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
squeegee	squee-	12	1	NA	NA	0	0
squeegee	gee	12	1	NA	NA	0	1
and	and	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
windex	win-	16	1	5	1	0	0
windex	dex	16	2	5	2	1	1
cuz	cuz	16	1	NA	NA	0	0
somewhere	some-	16	1	NA	NA	0	0
somewhere	where	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
wrong	wrong	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
syntax	syn-	16	1	5	1	0	0
syntax	tax	16	3	5	2	1	1
error	er-	16	1	6	1	0	0
error	ror	16	3	6	2	0	1
bring	bring	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
terror	ter-	16	1	6	1	0	0
terror	ror	16	1	6	2	0	0
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
dome	dome	16	1	7	1	0	0
like	like	16	1	NA	NA	0	0
p	p	16	1	NA	NA	0	0
e	e	16	3	NA	NA	1	1
prone	prone	16	1	7	1	0	0
to	to	16	1	NA	NA	0	0
finish	fin-	24	1	NA	NA	0	0
finish	ish	24	1	NA	NA	0	0
this	this	24	1	NA	NA	0	0
out	out	16	2	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
free	free	16	3	NA	NA	0	0
style	style	16	1	NA	NA	1	1
