word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
felt	felt	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pressure	pres-	16	1	NA	NA	0	0
pressure	sure	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
sun	sun	16	1	NA	NA	0	0
shinin	shin-	16	1	1	1	0	0
shinin	in	16	2	1	2	0	1
while	while	16	1	NA	NA	0	0
raining	rain-	16	1	2	1	0	0
raining	ing	16	1	2	2	1	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
kept	kept	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
rhymin	rhy-	16	1	1	1	0	0
rhymin	min	16	3	1	2	0	1
not	not	16	1	NA	NA	0	0
complainin	com-	16	1	NA	NA	0	0
complainin	plain-	12	1	2	1	0	0
complainin	in	12	1	2	2	1	1
storm	storm	12	1	NA	NA	0	0
bringing	bring-	16	1	2	1	0	0
bringing	ing	16	1	2	2	0	0
cats	cats	16	1	3	1	0	0
and	and	16	1	3	2	0	0
dogs	dogs	16	1	3	3	0	0
my	my	16	1	NA	NA	0	0
catalog	ca-	16	1	3	1	0	0
catalog	ta-	16	1	3	2	0	0
catalog	log	24	1	3	3	0	0
be	be	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
size	size	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
golf	golf	16	1	4	1	0	0
balls	balls	16	2	4	2	1	0
throw	throw	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
daisy	dais-	16	1	NA	NA	0	0
daisy	y	16	1	NA	NA	0	0
dukes	dukes	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
hazardous	ha-	16	1	NA	NA	0	0
hazardous	zar-	16	1	NA	NA	0	0
hazardous	dous	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
boss	boss	16	1	4	1	0	0
hogs	hogs	16	2	4	2	1	1
and	and	16	1	NA	NA	0	0
roscoe	ros-	16	1	NA	NA	0	0
roscoe	coe	16	1	NA	NA	0	0
p	p	16	1	NA	NA	0	0
col'	col'	16	1	NA	NA	0	0
people	peo-	24	2	NA	NA	0	0
people	ple	24	2	NA	NA	0	1
who	who	24	1	NA	NA	0	0
could	could	24	1	NA	NA	0	0
boost	boost	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
locomotive	lo-	16	1	NA	NA	0	0
locomotive	co-	16	1	NA	NA	0	0
locomotive	mo-	16	1	NA	NA	0	0
locomotive	tive	16	2	NA	NA	1	1
but	but	16	0.5	NA	NA	0	0
enough	e-	16	0.5	NA	NA	0	0
enough	nough	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
that	that	24	1	5	1	0	0
everyone	eve-	16	1	NA	NA	0	0
everyone	ry-	16	1	NA	NA	0	0
everyone	one	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
rap	rap	16	1	5	1	0	0
unless	un-	16	1	NA	NA	0	0
unless	less	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
supposed	sup-	16	1	6	1	0	0
supposed	posed	16	1	6	2	0	0
ta	ta	16	2	NA	NA	1	1
i	i	16	1	NA	NA	0	0
use	use	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
gift	gift	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
gab	gab	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
boast	boast	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
brag	brag	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
every	eve-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
rhyme	rhyme	16	1	NA	NA	0	0
i	i	16	2	NA	NA	1	1
compose	com-	16	1	6	1	0	0
compose	pose	16	1	6	2	0	0
won't	won't	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
sick	sick	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
do	do	24	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
those	those	16	3	NA	NA	1	1
