word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
pope	pope	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
folks	folks	16	2	1	1	0	0
got	got	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
scope	scope	16	3	1	1	1	1
but	but	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
unknown	un-	16	2	NA	NA	0	0
unknown	known	16	2	NA	NA	0	0
reasons	reas-	16	1	NA	NA	0	0
reasons	ons	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
sell	sell	16	2	NA	NA	0	0
dope	dope	16	2	1	1	0	0
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
distribute	dis-	16	1	2	1	0	0
distribute	tri-	16	1	2	2	0	0
distribute	bute	16	2	2	3	0	1
we	we	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
contribute	con-	16	1	2	1	0	0
contribute	tri-	16	1	2	2	0	0
contribute	bute	16	1	2	3	0	0
to	to	12	1	NA	NA	0	0
your	your	12	1	NA	NA	0	0
clandestine	clan-	12	1	NA	NA	0	0
clandestine	des-	12	1	NA	NA	0	0
clandestine	tine	12	1	NA	NA	0	0
activity	ac-	12	1	3	1	0	0
activity	ti-	16	0.5	3	2	0	0
activity	vi-	16	0.5	3	3	0	0
activity	ty	16	3	3	4	1	1
my	my	16	1	NA	NA	0	0
soliloquy	so-	16	1	3	1	0	0
soliloquy	li-	16	1	3	2	0	0
soliloquy	lo-	16	1	3	3	0	0
soliloquy	quy	16	2	3	4	0	0
may	may	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
swallow	swal-	16	1	NA	NA	0	0
swallow	low	16	2	NA	NA	1	1
but	but	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
cod	cod	16	2	NA	NA	0	0
liver	li-	16	1	NA	NA	0	0
liver	ver	16	1	NA	NA	0	0
oil	oil	16	3	4	1	1	1
you	you	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
behind	be-	16	1	NA	NA	0	0
behind	hind	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
bluto	blu-	16	1	NA	NA	0	0
bluto	to	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
olive	o-	16	1	NA	NA	0	0
olive	live	16	1	NA	NA	0	0
oil	oil	16	3	4	1	1	1
two	two	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hate	hate	16	1	NA	NA	0	0
lies	lies	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
thieves	thieves	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
blood	blood	16	2	NA	NA	0	0
boil	boil	16	3	4	1	1	1
boa	bo-	16	1	NA	NA	0	0
boa	a	16	1	NA	NA	0	0
constricted	con-	16	1	NA	NA	0	0
constricted	stric-	16	1	NA	NA	0	0
constricted	ted	16	3	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
soul	soul	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
call	call	16	2	NA	NA	1	1
