word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	1	NA	NA	0	0
lord	lord	16	2	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	4	1	1	1	1
i	i	16	3	NA	NA	0	1
just	just	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
globe	globe	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
girlfriends	girl-	16	2	NA	NA	0	0
girlfriends	friends	16	3	1	1	1	1
now	now	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
mind	mind	16	2	NA	NA	0	0
move	move	16	3	4	1	1	1
like	like	16	1	NA	NA	0	0
smoke	smoke	16	2	NA	NA	0	0
patterns	pat-	16	1	2	1	0	0
patterns	terns	16	2	2	2	0	1
me	me	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
saturn	sa-	16	1	2	1	0	0
saturn	turn	16	1	2	2	0	0
wit	wit	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bomb	bomb	16	4	NA	NA	1	1
numb	numb	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
it	it	16	2	NA	NA	0	0
view	view	16	2	4	1	0	0
or	or	16	1	NA	NA	0	0
saudi	saud-	16	1	3	1	0	0
saudi	i	16	1	3	2	0	0
shawty	shaw-	16	1	3	1	0	0
shawty	ty	16	2	3	2	1	1
i	i	16	3	NA	NA	0	1
figure	fi-	16	1	NA	NA	0	0
figure	gure	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
first	first	16	2	NA	NA	0	0
gun	gun	16	2	NA	NA	0	0
blast	blast	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
gone	gone	16	2	NA	NA	0	0
win	win	16	3	NA	NA	1	1
now	now	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
fools	fools	16	3	4	1	1	1
like	like	16	1	NA	NA	0	0
class	class	16	2	NA	NA	0	0
clowns	clowns	16	4	5	1	0	1
praying	pray-	16	1	NA	NA	0	0
praying	ing	16	1	NA	NA	0	0
private	pri-	16	1	NA	NA	0	0
private	vate	16	1	NA	NA	0	0
ryan	ry-	16	1	NA	NA	0	0
ryan	an	16	1	NA	NA	0	0
comes	comes	16	2	NA	NA	0	0
round	round	16	4	5	1	1	1
sound	sound	16	4	5	1	0	1
travels	tra-	16	1	NA	NA	0	0
travels	vels	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
thousand	thou-	16	2	NA	NA	0	0
thousand	sand	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
thirty	thir-	16	1	6	1	0	0
thirty	ty	16	3	6	2	1	1
feet	feet	16	1	NA	NA	0	0
per	per	16	1	NA	NA	0	0
second	se-	16	1	NA	NA	0	0
second	cond	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
street	street	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
hurry	hur-	16	1	6	1	0	0
hurry	ry	16	2	6	2	1	1
when	when	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
start	start	16	1	NA	NA	0	0
biting	bit-	16	1	NA	NA	0	0
biting	ing	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
three	three	16	1	NA	NA	0	0
thousand	thou-	16	1	NA	NA	0	0
thousand	sand	16	1	NA	NA	0	0
starts	starts	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
worry	wor-	16	1	6	1	1	1
worry	ry	16	2	6	2	0	0
a	a	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
knowledge	know-	16	1	7	1	0	0
knowledge	ledge	16	1	7	2	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
college	col-	16	1	7	1	0	0
college	lege	16	1	7	2	0	0
of	of	16	1	NA	NA	0	0
wizard	wi-	16	1	NA	NA	0	0
wizard	zard	16	1	NA	NA	0	0
ray	ray	16	1	NA	NA	0	0
murray	mur-	16	1	6	1	1	0
murray	ray	16	1	6	2	0	0
answer	an-	16	1	NA	NA	0	0
answer	swer	16	1	NA	NA	0	0
quick	quick	16	2	NA	NA	0	0
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
desire	de-	16	1	NA	NA	0	0
desire	si-	16	1	8	1	0	0
desire	re	16	1	8	2	1	1
is	is	16	6	NA	NA	0	0
apparently	ap-	16	1	NA	NA	0	0
apparently	pa-	16	1	NA	NA	0	0
apparently	rent-	16	1	NA	NA	0	0
apparently	ly	16	1	NA	NA	0	0
not	not	16	2	9	1	0	0
that's	that's	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
got	got	16	2	9	1	0	0
now	now	16	1	NA	NA	0	0
answer	an-	16	1	NA	NA	0	0
answer	swer	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
what	what	16	2	NA	NA	0	0
fire	fire	16	2	8	1	0	0
is	is	16	6	8	2	1	1
the	the	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
hot	hot	16	2	9	1	0	1
the	the	16	1	NA	NA	0	0
motivator	mo-	16	1	NA	NA	0	0
motivator	ti-	16	1	NA	NA	0	0
motivator	va-	16	1	NA	NA	0	0
motivator	tor	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
pots	pots	16	4	9	1	1	1
snot	snot	16	2	9	1	0	0
spit	spit	16	2	10	1	0	0
shit	shit	16	2	10	1	0	0
are	are	16	1	NA	NA	0	0
characteristics	cha-	16	1	NA	NA	0	0
characteristics	rac-	16	1	NA	NA	0	0
characteristics	ter-	16	1	NA	NA	0	0
characteristics	i-	16	2	NA	NA	0	0
characteristics	stics	16	2	10	1	0	0
of	of	16	1	NA	NA	0	0
release	re-	16	1	NA	NA	0	0
release	lease	16	2	11	1	1	0
ask	ask	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
niece	niece	16	2	11	1	0	0
or	or	16	1	NA	NA	0	0
nephew	ne-	16	1	NA	NA	0	0
nephew	phew	16	2	12	1	0	0
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
left	left	16	1	NA	NA	0	0
you	you	16	2	12	1	1	1
what	what	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
future	fut-	16	1	NA	NA	0	0
future	ure	16	1	NA	NA	0	0
holds	holds	16	2	13	1	0	0
in	in	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
sweaty	sweat-	16	1	NA	NA	0	0
sweaty	y	16	1	NA	NA	0	0
palms	palms	16	2	13	1	1	0
thank	thank	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
finna	fin-	16	1	NA	NA	0	0
finna	na	16	1	NA	NA	0	0
vom	vom	16	4	13	1	0	1
ya	ya	16	1	NA	NA	0	0
move	move	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
mean	mean	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
she'll	she'll	16	2	NA	NA	0	0
cum	cum	16	3	13	1	1	1
prom	prom	16	2	NA	NA	0	0
night	night	16	2	14	1	0	0
might	might	16	2	14	1	0	0
excite	ex-	16	1	NA	NA	0	0
excite	cite	16	1	14	1	0	0
a	a	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
right	right	16	2	14	1	0	0
fight	fight	16	2	14	1	0	0
like	like	16	2	NA	NA	1	0
white	white	16	2	14	1	0	0
blood	blood	16	2	NA	NA	0	0
cell	cell	16	2	15	1	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
common	com-	16	1	NA	NA	0	0
common	mon	16	1	NA	NA	0	0
cold	cold	16	2	NA	NA	0	0
rebel	re-	16	1	NA	NA	0	0
rebel	bel	16	4	15	1	1	1
night	night	16	2	14	1	0	0
gets	gets	16	2	NA	NA	0	0
jealous	jeal-	16	1	NA	NA	0	0
jealous	ous	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
day	day	16	2	16	1	0	1
play	play	16	1	16	1	0	0
is	is	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
longer	lon-	16	1	17	1	0	0
longer	ger	16	1	17	2	1	0
the	the	16	1	NA	NA	0	0
feelin	feel-	16	1	NA	NA	0	0
