word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
paragraph	pa-	16	1	NA	NA	0	0
paragraph	ra-	16	1	NA	NA	0	0
paragraph	graph	16	1	NA	NA	1	0
indent	in-	16	1	NA	NA	0	0
indent	dent	16	3	1	1	0	1
i	i	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
intense	in-	16	1	NA	NA	0	0
intense	tense	16	2	NA	NA	0	0
sense	sense	16	4	1	1	0	1
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
that	that	16	1	NA	NA	1	0
gil	gil	16	2	1	1	0	0
scott	scott	16	2	NA	NA	0	0
dope	dope	16	2	2	1	0	0
hint	hint	16	2	NA	NA	0	0
hint	hint	16	3	1	1	1	1
at	at	16	1	NA	NA	0	0
age	age	16	2	NA	NA	0	0
fifteen	fif-	16	2	NA	NA	0	0
fifteen	teen	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
start	start	16	1	NA	NA	0	0
smokin	smok-	16	1	2	1	0	0
smokin	in	16	1	NA	NA	0	0
billy	bil-	16	1	NA	NA	0	0
billy	ly	16	1	NA	NA	0	0
clint	clint	16	4	1	1	1	1
now	now	16	1	NA	NA	0	0
he's	he's	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
wants	wants	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
know	know	16	2	2	1	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
went	went	16	1	1	1	1	0
hey	hey	16	1	NA	NA	0	0
hey	hey	16	1	NA	NA	0	0
hey	hey	16	1	NA	NA	0	0
what's	what's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
haps	haps	16	3	3	1	0	1
well	well	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
time	time	16	1	NA	NA	0	0
elapsed	e-	16	1	NA	NA	0	0
elapsed	lapsed	16	4	3	1	1	1
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
thought	thought	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
meaning	mean-	16	1	NA	NA	0	0
meaning	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
word	word	16	2	NA	NA	0	0
trapped	trapped	16	3	3	1	0	1
baboon	ba-	16	1	NA	NA	0	0
baboon	boon	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	1	0
back	back	16	3	3	1	0	1
but	but	16	1	NA	NA	0	0
what's	what's	16	1	NA	NA	0	0
sad	sad	16	1	3	1	0	0
is	is	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
crack	crack	16	3	3	1	1	1
was	was	16	1	NA	NA	0	0
introduced	in-	16	1	NA	NA	0	0
introduced	tro-	16	1	NA	NA	0	0
introduced	duced	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hispanic	his-	16	1	NA	NA	0	0
hispanic	pa-	16	1	3	1	0	0
hispanic	nic	16	1	NA	NA	0	0
communities	com-	16	1	NA	NA	0	0
communities	mun-	16	1	NA	NA	0	0
communities	i-	16	1	NA	NA	0	0
communities	ties	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
blacks	blacks	16	3	3	1	1	1
but	but	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
spread	spread	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
white	white	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
everyone's	ev-	16	1	NA	NA	0	0
everyone's	ry-	16	1	NA	NA	0	0
everyone's	one's	16	1	NA	NA	0	0
