word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
gangsters	gang-	16	1	NA	NA	0	0
gangsters	sters	16	1	NA	NA	0	0
talk	talk	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
dying	dy-	16	1	1	1	0	0
dying	ing	16	1	1	2	1	0
and	and	16	1	NA	NA	0	0
crack	crack	16	1	NA	NA	0	0
cocaine	co-	16	1	NA	NA	0	0
cocaine	caine	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
violence	vio-	16	1	1	1	0	0
violence	lence	16	1	1	2	1	0
and	and	16	1	NA	NA	0	0
station	sta-	16	1	NA	NA	0	0
station	tion	16	1	NA	NA	0	0
saturated	sat-	16	1	NA	NA	0	0
saturated	ur-	16	1	NA	NA	0	0
saturated	a-	16	1	NA	NA	0	0
saturated	ted	16	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
thriving	thriv-	8	1	1	1	0	0
thriving	ing	8	1	1	2	1	1
people	peo-	24	1	NA	NA	0	0
people	ple	24	1	NA	NA	0	0
compare	com-	24	1	NA	NA	0	0
compare	pare	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
contrast	con-	8	1	2	1	0	0
contrast	trast	8	1	2	2	1	0
whatever	what-	16	1	NA	NA	0	0
whatever	e-	16	1	NA	NA	0	0
whatever	ver	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
beat	beat	8	1	2	1	0	0
lacks	lacks	16	1	2	2	1	0
is	is	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mere	mere	8	1	2	1	0	0
fact	fact	16	1	2	2	1	0
where	where	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
option	opt-	8	1	1	1	0	0
option	tion	8	1	1	2	1	1
seems	seems	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
alien	a-	16	1	NA	NA	0	0
alien	li-	16	1	NA	NA	0	0
alien	en	16	1	NA	NA	1	0
forty	fort-	16	1	NA	NA	0	0
forty	y	16	1	NA	NA	0	0
plus	plus	16	1	NA	NA	0	0
years	years	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
up	up	8	1	3	1	1	0
fortifies	for-	16	1	NA	NA	0	0
fortifies	ti-	16	1	NA	NA	0	0
fortifies	fies	16	1	NA	NA	0	0
