word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
hidden	hid-	24	1	NA	NA	0	0
hidden	den	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
hit	hit	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
then	then	24	1	NA	NA	0	0
splitting	split-	24	1	NA	NA	0	0
splitting	ting	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
brick	brick	24	1	NA	NA	0	0
into	in-	24	1	NA	NA	0	0
into	to	24	1	NA	NA	0	0
something	some-	24	1	NA	NA	0	0
something	thing	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
spit	spit	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
flip	flip	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
like	like	24	1	NA	NA	0	0
bone	bone	8	1	NA	NA	1	1
niggas	nig-	32	1	NA	NA	0	0
niggas	gas	32	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
ready	read-	32	1	NA	NA	0	0
ready	y	32	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
flow	flow	32	3	NA	NA	0	0
switch	switch	32	5	NA	NA	0	0
only	on-	32	1	NA	NA	0	0
only	ly	32	1	NA	NA	0	0
harlem	har-	32	1	NA	NA	0	0
harlem	lem	32	1	NA	NA	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
on	on	32	1	NA	NA	0	0
his	his	32	1	NA	NA	0	0
bone	bone	32	3	NA	NA	0	0
shit	shit	16	1	NA	NA	1	1
