word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
red	red	16	2	NA	NA	0	0
light	light	16	5	1	1	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
thing	thing	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
official	of-	16	1	2	1	0	0
official	fi-	16	3	2	2	0	0
official	cial	16	8	2	3	1	1
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	1	0
we	we	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
great	great	16	2	NA	NA	0	0
night	night	16	5	1	1	0	1
but	but	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
type	type	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	2	1	0	0
miss	miss	16	3	2	2	0	0
you	you	16	3	2	3	0	1
shit	shit	16	3	NA	NA	1	1
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
easy	ea-	16	2	3	1	0	0
easy	sy	16	6	3	2	1	1
leaving	leav-	16	2	3	1	0	0
leaving	ing	16	4	3	2	1	1
after	af-	16	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
sexing	sex-	16	2	NA	NA	0	0
sexing	ing	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
floor	floor	16	4	4	1	1	1
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
need	need	16	2	NA	NA	0	0
me	me	16	4	NA	NA	0	1
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
need	need	16	2	NA	NA	0	0
you	you	16	4	NA	NA	1	1
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wanna	wan-	16	2	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
love	love	16	2	4	1	1	1
so	so	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
pop	pop	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
couple	coup-	16	1	NA	NA	0	0
couple	le	16	1	NA	NA	0	0
bands	bands	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	5	1	0	0
nigga	ga	16	1	5	2	0	0
like	like	16	2	5	3	0	0
me	me	16	4	5	4	1	1
loving	lov-	16	1	NA	NA	0	0
loving	ing	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	5	1	0	0
nigga	ga	16	1	5	2	0	0
like	like	16	2	5	3	0	0
me	me	16	3	5	4	1	1
you	you	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
them	them	16	3	NA	NA	0	1
but	but	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
me	me	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
saying	say-	16	1	NA	NA	0	0
saying	ing	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
