word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
playa	play-	16	1	NA	NA	0	0
playa	a	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
choose	choose	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
play	play	16	1	1	1	0	0
it	it	16	1	NA	NA	0	0
safe	safe	16	3	NA	NA	1	1
boy	boy	16	1	NA	NA	0	0
check	check	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
resume	re-	16	1	NA	NA	0	0
resume	su-	16	1	NA	NA	0	0
resume	me	16	1	1	1	0	0
it's	it's	16	1	NA	NA	0	0
risky	risk-	16	1	NA	NA	0	0
risky	y	16	1	NA	NA	0	0
business	busi-	16	1	NA	NA	0	0
business	ness	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
a	a	16	5	1	1	1	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
witness	wit-	16	1	NA	NA	0	0
witness	ness	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
history	his-	16	1	NA	NA	0	0
history	to-	16	1	NA	NA	0	0
history	ry	16	3	NA	NA	0	1
ever	e-	32	1	NA	NA	0	0
ever	ver	32	1	NA	NA	0	0
since	since	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
tenth	tenth	16	2	NA	NA	0	0
grade	grade	16	3	1	1	0	1
we	we	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
rocking	rock-	16	1	NA	NA	0	0
rocking	in'	16	1	NA	NA	0	0
braids	braids	16	1	2	1	0	0
to	to	16	1	NA	NA	0	0
temp	temp	16	2	NA	NA	0	0
fades	fades	16	3	2	1	1	1
i	i	16	1	NA	NA	0	0
twist	twist	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hat	hat	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
side	side	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
style	style	16	2	3	1	1	1
or	or	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gucci	guc-	16	1	NA	NA	0	0
gucci	ci	16	1	NA	NA	0	0
bucket	buc-	16	1	NA	NA	0	0
bucket	ket	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flowers	flow-	16	1	NA	NA	0	0
flowers	ers	16	1	NA	NA	0	0
super	su-	16	1	NA	NA	0	0
super	per	16	1	NA	NA	0	0
fly	fly	16	3	3	1	1	1
wow	wow	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
southern	south-	16	1	NA	NA	0	0
southern	ern	16	1	NA	NA	0	0
pride	pride	16	1	3	1	0	0
been	been	16	1	NA	NA	0	0
known	known	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shut	shut	16	1	4	1	0	0
it	it	16	1	4	2	0	0
down	down	16	3	4	3	1	1
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
country	coun-	16	1	NA	NA	0	0
country	try	16	1	NA	NA	0	0
though	though	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
gomer	go-	16	1	4	1	0	0
gomer	mer	16	1	4	2	0	0
pyle	pyle	16	3	4	3	1	0
i'm	i'm	16	1	NA	NA	0	0
sergeant	ser-	16	1	NA	NA	0	0
sergeant	geant	16	1	NA	NA	0	0
slaughter	slaugh-	16	1	5	1	0	0
slaughter	ter	16	2	5	2	0	1
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
cooked	cooked	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
order	or-	16	1	5	1	0	0
order	der	16	1	5	2	0	0
in	in	16	1	NA	NA	0	0
order	or-	16	1	5	1	0	0
order	der	16	2	5	2	1	0
to	to	16	1	NA	NA	0	0
satisfy	sa-	16	1	NA	NA	0	0
satisfy	tis-	16	1	NA	NA	0	0
satisfy	fy	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
georgia	geor-	16	1	5	1	0	0
georgia	gia	16	1	5	2	0	0
and	and	16	1	NA	NA	0	0
cross	cross	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
water	wa-	16	1	5	1	0	0
water	ter	16	2	5	2	1	1
and	and	16	2	NA	NA	0	0
across	a-	16	1	NA	NA	0	0
across	cross	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
border	bor-	16	1	5	1	0	0
border	der	16	1	5	2	0	0
the	the	16	1	NA	NA	0	0
essays	es-	16	1	NA	NA	0	0
essays	says	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
getting	get-	16	1	6	1	0	0
getting	tin'	16	1	6	2	0	0
smarter	smar-	16	1	6	3	0	0
smarter	ter	16	1	6	4	1	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
flour	flo-	16	1	NA	NA	0	0
flour	ur	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
tortillas	tor-	16	1	NA	NA	0	0
tortillas	til-	16	1	NA	NA	0	0
tortillas	las	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lettuce	let-	16	1	NA	NA	0	0
lettuce	tuce	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
enchilladas	en-	16	1	6	1	0	0
enchilladas	chil-	16	1	6	2	0	0
enchilladas	la-	16	1	6	3	0	0
enchilladas	das	16	1	6	4	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
follow	fol-	16	1	NA	NA	0	0
follow	low	16	1	NA	NA	0	0
wink	wink	16	2	NA	NA	0	0
wink	wink	16	2	7	1	0	0
no	no	16	1	NA	NA	0	0
doubt	doubt	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
speak	speak	16	2	7	1	1	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
blink	blink	16	2	7	1	0	0
those	those	16	1	NA	NA	0	0
folks	folks	16	2	NA	NA	0	0
could	could	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
sleeping	sleep-	16	1	NA	NA	0	0
sleeping	ing	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
clink	clink	16	5	7	1	1	1
i'm	i'm	16	1	NA	NA	0	0
shittin'	shit-	16	1	NA	NA	0	0
shittin'	tin'	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
peein'	pee-	16	1	NA	NA	0	0
peein'	in'	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
seat	seat	16	2	8	1	1	1
it's	it's	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	24	1	NA	NA	0	0
nigga	ga	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
b	b	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
g	g	16	2	NA	NA	0	1
b	b	16	1	NA	NA	0	0
o	o	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
o	o	16	1	NA	NA	0	0
u	u	16	1	NA	NA	0	0
t	t	16	2	8	1	1	1
