word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
what	what	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
think	think	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
real	real	32	2	NA	NA	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
rap	rap	32	2	1	1	0	0
for	for	32	5	1	2	0	1
so	so	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
can	can	32	1	NA	NA	0	0
roll	roll	32	1	NA	NA	0	0
around	a-	32	1	NA	NA	0	0
around	round	32	2	NA	NA	0	0
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
rav	rav	32	2	1	1	0	0
four	four	32	2	1	2	0	0
never	ne-	32	1	NA	NA	0	0
never	ver	32	1	NA	NA	0	0
that	that	32	2	2	1	1	0
cadillac	ca-	32	1	NA	NA	0	0
cadillac	dil-	32	1	NA	NA	0	0
cadillac	lac	32	2	2	1	0	0
pimped	pimped	32	2	NA	NA	0	0
out	out	32	2	NA	NA	0	0
fish	fish	32	2	NA	NA	0	0
bowl	bowl	32	2	NA	NA	0	0
true	true	32	2	NA	NA	0	0
vogues	vogues	32	2	NA	NA	0	0
fifteens	fif-	32	2	NA	NA	0	0
fifteens	teens	32	2	NA	NA	0	0
but	but	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
had	had	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
go	go	32	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
get	get	32	2	NA	NA	0	0
two	two	32	2	1	1	0	0
mo	mo	32	2	1	2	1	0
whassup	whass-	32	2	4	1	0	0
whassup	up	32	2	4	2	0	0
get	get	32	2	4	1	0	0
buck	buck	32	2	4	2	0	0
shake	shake	32	2	4	1	0	0
junt	junt	32	2	4	2	0	0
killa	kil-	32	1	5	1	0	0
killa	la	32	3	5	2	0	1
dj	d-	32	2	NA	NA	0	0
dj	j	32	2	NA	NA	0	0
booth	booth	32	2	NA	NA	0	0
with	with	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
pole	pole	32	2	NA	NA	0	0
in	in	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
middle	mid-	32	1	5	1	0	0
middle	dle	32	1	5	2	1	0
for	for	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
edge	edge	32	2	6	1	0	0
of	of	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
rest	rest	32	2	6	1	0	0
to	to	32	1	NA	NA	0	0
go	go	32	1	NA	NA	0	0
flash	flash	32	2	NA	NA	0	0
up	up	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
bitch	bitch	32	4	6	1	0	1
see	see	32	2	NA	NA	0	0
how	how	32	2	NA	NA	0	0
far	far	32	2	NA	NA	0	0
these	these	32	2	NA	NA	0	0
vegetables	vege-	32	2	7	1	0	0
vegetables	tab-	32	1	7	2	0	0
vegetables	les	32	1	NA	NA	0	0
get	get	32	1	7	1	0	0
us	us	32	3	7	2	1	1
pour	pour	24	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
show	show	24	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
focus	fo-	24	1	8	1	0	0
focus	cus	24	1	8	2	0	0
the	the	24	1	NA	NA	0	0
doors	doors	32	2	NA	NA	0	0
ain't	ain't	32	2	NA	NA	0	0
typical	typ-	24	1	NA	NA	0	0
typical	i-	24	1	NA	NA	0	0
typical	cal	24	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
they	they	24	1	NA	NA	0	0
get	get	24	1	NA	NA	0	0
open	o-	32	1	8	1	0	0
open	pen	32	3	8	2	0	1
hold	hold	32	1	8	1	0	0
up	up	32	3	8	2	1	1
you	you	32	1	NA	NA	0	0
ain't	ain't	32	1	NA	NA	0	0
never	ne-	32	1	NA	NA	0	0
never	ver	32	1	NA	NA	0	0
been	been	32	2	NA	NA	0	0
sky	sky	32	2	NA	NA	0	0
high	high	32	4	9	1	0	1
swear	swear	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
coulda	could-	32	1	NA	NA	0	0
coulda	a	32	1	NA	NA	0	0
died	died	32	2	9	1	0	0
when	when	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
hopped	hopped	32	1	NA	NA	0	0
out	out	32	1	NA	NA	0	0
my	my	32	2	NA	NA	0	0
ride	ride	32	2	9	1	1	0
like	like	32	2	NA	NA	0	0
four	four	32	2	NA	NA	0	0
five	five	32	2	NA	NA	0	0
times	times	32	2	9	1	0	0
no	no	32	2	NA	NA	0	0
parachute	pa-	32	1	10	1	0	0
parachute	ra-	32	1	10	2	0	0
parachute	chute	32	2	10	3	0	0
bungee	bun-	32	1	NA	NA	0	0
bungee	gee	32	1	NA	NA	0	0
jump	jump	32	2	NA	NA	0	0
for	for	32	1	10	1	0	0
the	the	32	1	10	2	0	0
loot	loot	32	2	10	3	0	0
hock	hock	32	1	10	1	0	0
a	a	32	1	10	2	0	0
loogie	loo-	32	1	10	3	0	0
loogie	gie	32	1	NA	NA	0	0
off	off	32	1	10	1	0	0
the	the	32	1	10	2	0	0
roof	roof	32	2	10	3	0	0
what	what	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
feel	feel	32	2	NA	NA	0	0
like	like	4	1	12	1	1	1
porn	porn	32	2	NA	NA	0	0
on	on	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
screen	screen	32	2	13	1	0	0
two	two	32	2	NA	NA	0	0
hoes	hoes	32	2	NA	NA	0	0
on	on	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
scene	scene	32	2	13	1	0	0
tongue	tongue	32	2	NA	NA	0	0
kissing	kis-	32	1	NA	NA	0	0
kissing	sin'	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
would	would	32	1	NA	NA	0	0
think	think	32	1	NA	NA	0	0
my	my	32	1	NA	NA	0	0
whip	whip	32	2	12	1	0	0
dyke	dyke	32	4	NA	NA	1	1
cadillac	ca-	32	1	NA	NA	0	0
cadillac	dil-	32	1	NA	NA	0	0
cadillac	lac	32	2	NA	NA	0	0
lac	lac	32	2	NA	NA	0	0
lac	lac	32	2	NA	NA	0	0
lac	lac	32	4	14	1	0	1
cadillac	ca-	32	1	NA	NA	0	0
cadillac	dil-	32	1	NA	NA	0	0
