word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	8	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
hirohito	hi-	16	1	NA	NA	0	0
hirohito	ro-	16	1	NA	NA	0	0
hirohito	hi-	16	1	NA	NA	0	0
hirohito	to	8	1	NA	NA	0	1
idi	id-	16	1	NA	NA	0	0
idi	i	16	1	NA	NA	0	0
amin	a-	16	1	NA	NA	0	0
amin	min	8	1	NA	NA	0	0
dada	da-	16	1	1	1	0	0
dada	da	8	1	1	2	1	1
ayatollah	a-	16	1	NA	NA	0	0
ayatollah	ya-	16	1	NA	NA	0	0
ayatollah	tol-	16	1	NA	NA	0	0
ayatollah	lah	16	1	NA	NA	0	0
khomeini	kho-	16	1	NA	NA	0	0
khomeini	mei-	16	1	NA	NA	0	0
khomeini	ni	8	1	NA	NA	0	1
maximilien	max-	16	1	NA	NA	0	0
maximilien	i-	16	1	NA	NA	0	0
maximilien	mil-	24	1	NA	NA	0	0
maximilien	i-	24	1	NA	NA	0	0
maximilien	en	24	1	NA	NA	0	0
osama	o-	16	1	NA	NA	0	0
osama	sa-	16	1	1	1	0	0
osama	ma	8	1	1	2	1	1
am	am	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
part	part	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
problem	pro-	16	1	1	1	0	0
problem	blem	8	1	1	2	0	1
the	the	16	1	NA	NA	0	0
subject	sub-	16	1	NA	NA	0	0
subject	ject	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
column	co-	16	1	1	1	0	0
column	lumn	8	1	1	2	1	1
i'd	i'd	16	1	NA	NA	0	0
probably	pro-	24	1	NA	NA	0	0
probably	ba-	24	1	NA	NA	0	0
probably	bly	24	1	NA	NA	0	0
jackson	jack-	16	1	NA	NA	0	0
jackson	son	16	1	NA	NA	0	0
pollock	pol-	16	1	1	1	0	0
pollock	lock	16	1	1	2	0	0
you	you	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chest	chest	8	1	NA	NA	0	1
for	for	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
dollar	dol-	16	1	1	1	0	0
dollar	lar	8	1	1	2	1	1
the	the	16	1	NA	NA	0	0
psychotic	psy-	8	1	2	1	0	0
psychotic	cho-	16	1	2	2	0	0
psychotic	tic	16	1	2	3	0	0
by	by	8	1	2	1	0	0
product	pro-	16	1	2	2	0	0
product	duct	16	1	2	3	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
parasite	pa-	16	1	3	1	0	0
parasite	ra-	16	1	3	2	0	0
parasite	site	8	1	3	3	1	1
shrilling	shril-	16	1	NA	NA	0	0
shrilling	ling	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
terabyte	te-	16	1	3	1	0	0
terabyte	ra-	16	1	3	2	0	0
terabyte	byte	8	1	3	3	0	1
staring	star-	16	1	NA	NA	0	0
staring	ing	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blaring	bla-	16	1	3	1	0	0
blaring	ring	16	1	3	2	0	0
lights	lights	8	1	3	3	1	1
hot	hot	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
hundred	hund-	16	1	NA	NA	0	0
hundred	red	16	1	NA	NA	0	0
ten	ten	16	1	NA	NA	0	0
degrees	de-	16	1	NA	NA	0	0
degrees	grees	16	1	NA	NA	0	0
fahrenheit	fah-	16	1	3	1	0	0
fahrenheit	ren-	16	1	3	2	0	0
fahrenheit	heit	8	1	3	3	0	1
sahara	sa-	16	1	NA	NA	0	0
sahara	ha-	16	1	3	1	0	0
sahara	ra	16	1	3	2	0	0
nights	nights	8	1	3	3	1	1
invisible	in-	16	1	NA	NA	0	0
invisible	vi-	16	1	NA	NA	0	0
invisible	si-	16	1	NA	NA	0	0
invisible	ble	16	1	NA	NA	0	0
civil	civ-	16	1	3	1	0	0
civil	il	16	1	3	2	0	0
rights	rights	8	1	3	3	0	1
look	look	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
what	what	24	1	NA	NA	0	0
i've	i've	24	1	NA	NA	0	0
been	been	24	1	NA	NA	0	0
living	liv-	16	1	3	1	0	0
living	ing	16	1	3	2	0	0
like	like	8	1	3	3	1	1
