word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
let's	let's	8	1	NA	NA	0	0
toast	toast	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
paid	paid	8	1	NA	NA	0	0
mortgages	mort-	16	1	1	1	0	0
mortgages	ga-	16	1	1	2	0	0
mortgages	ges	16	3	1	3	0	1
lasting	last-	8	1	NA	NA	0	0
lasting	ing	16	1	NA	NA	0	0
marriages	mar-	16	1	1	1	0	0
marriages	ria-	16	1	1	2	0	0
marriages	ges	4	1	1	3	1	1
tina	ti-	16	1	NA	NA	0	0
tina	na	16	1	NA	NA	0	0
farris's	far-	16	1	1	1	0	0
farris's	ri-	16	1	1	2	0	0
farris's	s's	8	1	1	3	0	0
pay	pay	8	1	NA	NA	0	0
king	king	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
paris's	pa-	16	1	1	1	0	0
paris's	ris-	16	1	1	2	0	0
paris's	's	8	1	1	3	1	1
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
long	long	8	1	NA	NA	0	0
making	mak-	16	1	NA	NA	0	0
making	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
kids	kids	8	1	NA	NA	0	0
heirs	heirs	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
heiresses	heir-	16	1	1	1	0	0
heiresses	es-	16	1	1	2	0	0
heiresses	ses	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
family	fam-	16	1	NA	NA	0	0
family	il-	16	1	NA	NA	0	0
family	y	16	1	NA	NA	0	0
crest	crest	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
legacy	le-	16	1	NA	NA	0	0
legacy	ga-	16	1	NA	NA	0	0
legacy	cy	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
heritage	he-	16	1	1	1	0	0
heritage	ri-	16	1	1	2	0	0
heritage	tage	16	3	1	3	1	1
i'm	i'm	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ecstasy	ec-	16	1	NA	NA	0	0
ecstasy	sta-	16	1	NA	NA	0	0
ecstasy	sy	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
syrup	sy-	16	1	1	1	0	0
syrup	rup	16	1	1	2	0	0
is	is	16	3	1	3	1	1
and	and	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
need	need	8	1	NA	NA	0	0
theraflu	the-	16	1	NA	NA	0	0
theraflu	ra-	16	1	NA	NA	0	0
theraflu	flu	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
need	need	8	1	NA	NA	0	0
therapists	the-	16	1	1	1	0	0
therapists	ra-	16	1	1	2	0	0
therapists	pists	16	3	1	3	1	1
them	them	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
ending	end-	16	1	NA	NA	0	0
ending	ing	16	1	NA	NA	0	0
pursuit	pur-	16	1	NA	NA	0	0
pursuit	suit	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
dead	dead	8	1	NA	NA	0	0
presidents	pre-	16	1	1	1	0	0
presidents	si-	16	1	1	2	0	0
presidents	dents	16	3	1	3	1	1
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
reason	reas-	16	1	NA	NA	0	0
reason	on	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
band	band	8	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
together	to-	16	1	NA	NA	0	0
together	geth-	16	1	1	1	0	0
together	er	16	1	1	2	0	0
bitch	bitch	16	3	1	3	1	1
yeah	yeah	8	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
me	me	16	1	2	1	0	0
and	and	16	1	2	2	0	0
spawn	spawn	16	3	2	3	0	0
and	and	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
jay	jay	8	1	2	1	0	0
and	and	16	1	2	2	0	0
tron	tron	4	1	2	3	1	1
north	north	8	1	NA	NA	0	0
side	side	8	1	NA	NA	0	0
bomb	bomb	8	1	NA	NA	0	0
squad	squad	8	1	NA	NA	0	0
eric	e-	16	1	NA	NA	0	0
eric	ric	16	1	NA	NA	0	0
vietnam	vi-	16	1	2	1	0	0
vietnam	et-	16	1	2	2	0	0
vietnam	nam	16	3	2	3	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
see	see	16	1	2	1	0	0
it	it	16	1	2	2	0	0
wrong	wrong	16	3	2	3	1	1
