word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
feeling	feel-	16	1	NA	NA	0	0
feeling	ling	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
steam	steam	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cauldron	caul-	16	2	1	1	0	0
cauldron	dron	16	2	1	2	1	1
with	with	16	1	NA	NA	0	0
tension	ten-	16	1	NA	NA	0	0
tension	sion	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
deep	deep	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ocean	o-	16	2	1	1	0	0
ocean	cean	16	1	1	2	1	1
many	ma-	16	1	NA	NA	0	0
many	ny	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
called	called	16	2	NA	NA	0	1
but	but	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
few	few	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
chosen	cho-	16	2	1	1	0	0
chosen	sen	16	1	1	2	1	1
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
motions	mo-	16	2	1	1	0	0
motions	tions	16	2	1	2	0	1
of	of	16	1	NA	NA	0	0
medication	me-	16	1	NA	NA	0	0
medication	di-	16	1	NA	NA	0	0
medication	ca-	16	1	NA	NA	0	0
medication	tion	16	1	NA	NA	0	0
upping	up-	16	1	NA	NA	0	0
upping	ping	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dosage	do-	16	2	1	1	0	0
dosage	sage	16	1	1	2	1	1
banging	bang-	16	1	NA	NA	0	0
banging	ing	16	1	NA	NA	0	0
earth	earth	16	2	NA	NA	0	1
wind	wind	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
fire	fi-	16	1	2	1	0	0
fire	re	16	1	2	2	0	0
devotion	de-	16	1	NA	NA	0	0
devotion	vo-	16	2	1	1	0	0
devotion	tion	32	1	1	2	0	0
as	as	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
admire	ad-	16	1	NA	NA	0	0
admire	mire	16	2	2	1	0	0
the	the	16	1	2	2	0	0
focus	fo-	16	2	1	1	0	0
focus	cus	16	2	1	2	1	1
taking	tak-	16	1	NA	NA	0	0
taking	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
city	ci-	16	1	NA	NA	0	0
city	ty	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
grain	grain	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
salt	salt	16	2	3	1	1	1
where	where	16	1	3	2	0	0
they	they	16	1	3	3	0	0
tasting	tast-	16	1	4	1	0	0
tasting	ing	16	1	4	2	0	0
foul	foul	16	2	4	3	0	0
chase	chase	16	1	4	1	0	0
it	it	16	1	4	2	0	0
down	down	16	2	4	3	0	1
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
latest	lat-	16	1	NA	NA	0	0
latest	est	16	1	NA	NA	0	0
malt	malt	16	2	3	1	0	1
liquor	li-	16	1	3	2	0	0
liquor	quor	16	1	3	3	1	0
roll	roll	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
knife	knife	16	2	NA	NA	0	0
did	did	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
hope	hope	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
smarts	smarts	16	2	3	1	0	1
with	with	16	1	3	2	0	0
you	you	16	1	3	3	1	0
hope	hope	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
heart	heart	16	1	3	1	0	0
it	it	16	1	3	2	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	3	3	0	0
stopping	stop-	16	1	NA	NA	0	0
stopping	ping	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
start	start	16	2	3	1	0	1
nigga	nig-	16	1	3	2	0	0
nigga	ga	16	2	3	3	1	1
feel	feel	16	1	NA	NA	0	0
somethin	some-	16	1	NA	NA	0	0
somethin	thin	16	1	NA	NA	0	0
bigger	big-	16	1	NA	NA	0	0
bigger	ger	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hold	hold	16	2	4	1	0	0
on	on	16	1	4	2	0	0
me	me	16	2	4	3	1	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
