word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
your	your	16	1	NA	NA	0	0
old	old	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
jitterbug	jit-	16	2	1	1	0	0
jitterbug	ter-	16	1	1	2	0	0
jitterbug	bug	16	4	1	3	1	1
said	said	16	2	NA	NA	0	0
this	this	16	2	NA	NA	0	0
old	old	16	2	NA	NA	0	0
dirty	dir-	16	2	NA	NA	0	0
dirty	ty	16	1	NA	NA	0	0
music	mu-	16	3	2	1	0	0
music	sic	16	4	2	2	1	1
hip	hip	16	2	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
just	just	16	2	NA	NA	0	0
so	so	16	2	NA	NA	0	0
ridiculous	ri-	16	1	NA	NA	0	0
ridiculous	di-	16	2	1	1	0	0
ridiculous	cu-	16	1	1	2	0	0
ridiculous	lous	16	4	1	3	1	1
them	them	16	2	NA	NA	0	0
stories	stor-	16	2	NA	NA	0	0
stories	ies	16	2	NA	NA	0	0
too	too	16	2	NA	NA	0	0
confusing	con-	16	1	NA	NA	0	0
confusing	fu-	16	3	2	1	0	0
confusing	sing	16	4	2	2	1	1
nowadays	now-	16	1	NA	NA	0	0
nowadays	a-	16	1	NA	NA	0	0
nowadays	days	16	2	NA	NA	0	0
he	he	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
loving	lov-	16	1	NA	NA	0	0
loving	ing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
like	like	16	2	1	1	0	0
he	he	16	1	1	2	0	0
was	was	16	4	1	3	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
there	there	16	2	NA	NA	0	0
just	just	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
using	u-	16	3	2	1	0	0
using	sing	16	4	2	2	1	1
could	could	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
sworn	sworn	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	2	1	1	0	0
another	ther	16	1	1	2	0	0
girl	girl	16	4	1	3	1	1
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	0
just	just	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
cruising	cruis-	16	3	2	1	0	0
cruising	ing	16	4	2	2	1	1
can't	can't	16	2	NA	NA	0	0
get	get	16	2	NA	NA	0	0
no	no	16	2	NA	NA	0	0
satisfaction	sa-	16	2	NA	NA	0	0
satisfaction	tis-	16	1	NA	NA	0	0
satisfaction	fact-	16	2	3	1	0	0
satisfaction	ion	16	3	3	2	1	1
he	he	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	0
late	late	16	2	NA	NA	0	0
nights	nights	16	3	NA	NA	1	1
probly	prob-	16	2	NA	NA	0	0
probly	ly	16	1	NA	NA	0	0
smashing	smash-	16	2	3	1	0	0
smashing	ing	16	3	3	2	1	1
leaving	leav-	16	2	NA	NA	0	0
leaving	ing	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
trail	trail	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
trolley	trol-	16	2	NA	NA	0	0
trolley	ley	16	1	NA	NA	0	0
tracks	tracks	16	3	3	1	1	1
or	or	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
train	train	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ground	ground	16	2	4	1	0	0
downtown	down-	16	2	NA	NA	0	0
downtown	town	16	2	NA	NA	0	0
manhattan	man-	16	1	NA	NA	0	0
manhattan	hat-	16	2	3	1	0	0
manhattan	tan	16	3	3	2	1	1
evrybody	ev-	16	1	NA	NA	0	0
evrybody	ry-	16	1	NA	NA	0	0
evrybody	bo-	16	1	NA	NA	0	0
evrybody	dy	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	4	1	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
bound	bound	16	2	4	1	0	0
to	to	16	1	NA	NA	0	0
catch	catch	16	2	3	1	0	0
him	him	16	2	3	2	1	1
the	the	16	1	NA	NA	0	0
condoms	con-	16	2	NA	NA	0	0
condoms	doms	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
found	found	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
asked	asked	16	2	3	1	0	0
him	him	16	2	3	2	1	1
was	was	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
this	this	16	2	NA	NA	0	0
just	just	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
practice	prac-	16	2	3	1	0	0
practice	tice	16	2	3	2	1	1
he	he	16	1	NA	NA	0	0
didn't	did-	16	1	NA	NA	0	0
didn't	n't	16	1	NA	NA	0	0
realize	re-	16	1	NA	NA	0	0
realize	a-	16	1	NA	NA	0	0
realize	lize	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
had	had	16	3	NA	NA	1	1
now	now	16	1	NA	NA	0	0
