word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
a	a	16	1	1	1	0	0
child	child	16	2	1	2	0	0
is	is	16	1	1	3	0	0
born	born	16	2	1	4	0	0
his	his	16	1	NA	NA	0	0
mother	mo-	16	1	1	1	0	0
mother	ther	16	1	1	2	0	0
is	is	16	1	1	3	0	0
gone	gone	16	2	1	4	1	0
he	he	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
middle	mid-	16	1	0	1	0	0
middle	dle	16	1	0	2	0	0
of	of	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
literally	lit-	16	1	0	1	0	0
literally	er-	16	1	0	2	0	0
literally	al-	16	1	NA	NA	0	0
literally	ly	16	1	NA	NA	0	0
tussling	tus-	16	1	1	1	0	0
tussling	sl-	16	1	1	2	0	0
tussling	ing	16	1	1	3	0	0
strong	strong	16	2	1	4	0	0
for	for	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
life	life	16	2	2	1	1	1
the	the	16	1	NA	NA	0	0
tide	tide	16	2	2	1	0	0
high	high	16	3	2	1	0	1
in	in	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
eye	eye	16	1	1	1	0	0
of	of	16	1	1	2	0	0
the	the	16	1	1	3	0	0
storm	storm	16	2	1	4	1	0
a	a	16	1	NA	NA	0	0
mannish	man-	16	2	NA	NA	0	0
mannish	nish	16	1	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
arrive	ar-	16	1	NA	NA	0	0
arrive	rive	16	3	2	1	0	1
and	and	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
riot	ri-	16	1	1	1	0	0
riot	ot	16	1	1	2	0	0
is	is	16	1	1	3	0	0
on	on	16	2	1	4	1	1
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
spare	spare	16	2	2	1	0	0
time	time	16	2	2	2	0	0
to	to	16	1	NA	NA	0	0
try	try	16	1	1	1	0	0
to	to	16	1	1	2	0	0
respond	res-	16	1	1	3	0	0
respond	pond	16	2	1	4	0	1
or	or	16	1	NA	NA	0	0
prepare	pre-	16	1	NA	NA	0	0
prepare	pare	16	2	2	1	0	0
times	times	16	2	2	2	1	0
it's	it's	16	1	NA	NA	0	0
hard	hard	16	2	NA	NA	0	0
not	not	16	1	NA	NA	0	0
becoming	be-	16	1	NA	NA	0	0
becoming	com-	16	1	NA	NA	0	0
becoming	ing	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
headline	head-	16	2	2	1	0	0
headline	line	16	2	2	2	1	1
or	or	16	1	NA	NA	0	0
praying	pray-	16	1	NA	NA	0	0
praying	ing	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	1	2	1	0	0
when	when	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
bedtime	bed-	16	2	2	1	0	0
bedtime	time	16	2	2	2	1	1
or	or	16	1	NA	NA	0	0
laying	lay-	16	1	NA	NA	0	0
laying	ing	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
head	head	16	2	3	1	0	0
down	down	16	2	3	2	1	1
cuz	cuz	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
already	al-	16	1	NA	NA	0	0
already	read-	16	1	NA	NA	0	0
already	y	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
is	is	16	2	3	1	0	0
now	now	16	2	3	2	1	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
leaders	lead-	16	1	NA	NA	0	0
leaders	ers	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	1
honest	ho-	16	1	4	1	0	0
honest	nest	16	1	4	2	1	0
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
promise	pro-	16	1	4	1	0	0
promise	mise	16	1	4	2	1	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hate	hate	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
speak	speak	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
freakanomics	freak-	16	1	NA	NA	0	0
freakanomics	a-	16	1	NA	NA	0	0
freakanomics	nom-	16	1	4	1	0	0
freakanomics	ics	16	4	4	2	1	1
cramped	cramped	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
proud	proud	16	1	5	1	0	0
of	of	16	1	5	2	0	0
it	it	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
amped	amped	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
rowdy	row-	16	1	5	1	0	0
rowdy	dy	16	1	5	2	1	0
treading	tread-	16	1	NA	NA	0	0
treading	ing	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
lift	lift	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
head	head	16	2	NA	NA	0	1
without	with-	16	1	NA	NA	0	0
without	out	16	2	NA	NA	0	0
drowning	drown-	16	1	5	1	0	0
drowning	ing	16	4	5	2	1	1
this	this	16	1	NA	NA	0	0
type	type	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
heart	heart	16	2	NA	NA	0	0
stop	stop	16	2	NA	NA	0	1
pounding	pound-	16	1	5	1	0	0
pounding	ing	16	1	5	2	1	0
but	but	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
pushing	push-	16	1	NA	NA	0	0
pushing	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
top	top	16	2	6	1	0	0
too	too	16	1	NA	NA	0	0
scared	scared	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
stop	stop	16	2	6	1	1	1
now	now	16	1	5	1	0	0
it	it	16	1	5	2	0	0
gets	gets	16	2	NA	NA	0	0
deep	deep	16	2	7	4	1	1
bodies	bod-	16	1	NA	NA	0	0
bodies	ies	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
floating	float-	16	1	NA	NA	0	0
floating	ing	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	7	1	0	0
in	in	16	1	7	2	0	0
the	the	16	1	7	3	0	0
streets	streets	16	2	7	4	1	1
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	7	1	0	0
in	in	16	1	7	2	0	0
a	a	16	1	7	3	0	0
week	week	16	2	7	4	1	1
man	man	16	2	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
operation	o-	16	1	NA	NA	0	0
operation	per-	16	1	NA	NA	0	0
operation	a-	16	2	8	1	0	0
operation	tion	16	1	8	2	0	0
gone	gone	16	2	8	3	0	1
what	what	16	1	NA	NA	0	0
y'all	y'all	16	2	NA	NA	0	0
waiting	wait-	16	1	8	1	0	0
waiting	ing	16	1	8	2	0	0
on	on	16	3	8	3	1	1
we	we	16	1	NA	NA	0	0
been	been	16	2	NA	NA	0	0
patient	pa-	16	1	NA	NA	0	0
patient	tient	16	1	NA	NA	0	0
y'all	y'all	16	2	NA	NA	0	0
motherfuckers	mo-	16	1	NA	NA	0	0
motherfuckers	ther-	16	1	NA	NA	0	0
motherfuckers	fuck-	16	1	NA	NA	0	0
motherfuckers	ers	16	1	NA	NA	0	0
taking	ta-	16	1	8	1	0	0
taking	king	16	1	8	2	0	0
long	long	16	3	8	3	1	1
the	the	16	1	NA	NA	0	0
television	te-	16	1	NA	NA	0	0
television	le-	16	1	NA	NA	0	0
television	vi-	16	1	NA	NA	0	0
television	sion	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
information	in-	16	1	NA	NA	0	0
information	for-	16	1	NA	NA	0	0
information	ma-	16	1	8	1	0	0
information	tion	16	1	8	2	0	0
wrong	wrong	16	2	8	3	1	1
doing	do-	16	1	NA	NA	0	0
doing	ing	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
miseducation	mis-	16	1	NA	NA	0	0
miseducation	ed-	16	1	NA	NA	0	0
miseducation	u-	16	1	NA	NA	0	0
miseducation	ca-	16	1	8	1	0	0
miseducation	tion	16	1	8	2	0	0
on	on	16	3	8	3	1	1
they	they	16	1	NA	NA	0	0
already	al-	16	2	NA	NA	0	0
already	read-	16	1	9	1	0	0
already	y	16	1	9	2	0	0
late	late	16	3	9	3	1	1
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
sposed	sposed	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
regulate	re-	16	1	9	1	0	0
regulate	gu-	16	1	9	2	0	0
regulate	late	16	1	9	3	1	0
