word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
country's	coun-	16	1	NA	NA	0	0
country's	try's	16	1	NA	NA	0	0
at	at	8	1	NA	NA	0	0
war	war	8	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
kids	kids	8	1	NA	NA	0	0
cry	cry	8	1	NA	NA	0	0
rape	rape	8	1	1	1	0	0
god	god	8	1	NA	NA	0	0
damn	damn	16	1	2	1	0	0
it	it	8	1	2	2	1	1
the	the	16	1	NA	NA	0	0
ghetto	ghet-	16	1	NA	NA	0	0
ghetto	to	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
planet	plan-	16	1	2	1	0	0
planet	et	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
apes	apes	4	1	1	1	1	1
massive	mas-	8	1	NA	NA	0	0
massive	sive	16	1	NA	NA	0	0
meltdown	melt-	8	1	NA	NA	0	0
meltdown	down	8	1	NA	NA	0	0
send	send	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
red	red	8	1	NA	NA	0	0
tape	tape	8	1	1	1	1	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cinder	cin-	16	1	NA	NA	0	0
cinder	der	16	1	NA	NA	0	0
block	block	8	1	NA	NA	0	0
shoes	shoes	8	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bottom	bot-	16	1	NA	NA	0	0
bottom	tom	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lake	lake	16	3	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
city	ci-	16	1	NA	NA	0	0
city	ty	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
sin	sin	16	3	NA	NA	0	0
state	state	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
art	art	16	3	3	1	1	1
using	u-	16	1	NA	NA	0	0
using	sing	16	1	NA	NA	0	0
no	no	8	1	NA	NA	0	0
book	book	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
pen	pen	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
making	mak-	16	1	NA	NA	0	0
making	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mark	mark	16	3	3	1	1	1
a	a	16	1	NA	NA	0	0
rap	rap	16	3	NA	NA	0	1
clubber	club-	16	1	4	1	0	0
clubber	ber	16	1	4	2	0	0
lane	lane	8	1	4	3	0	0
hit	hit	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gutter	gut-	16	1	4	1	0	0
gutter	ter	16	1	4	2	0	0
slang	slang	16	3	4	3	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you're	you're	16	1	4	1	0	0
insane	in-	16	1	4	2	0	0
insane	sane	16	3	4	3	0	1
we	we	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
