word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yeah	yeah	16	3	NA	NA	0	1
it's	it's	16	1	NA	NA	0	0
still	still	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
biggest	big-	16	1	1	1	0	0
biggest	gest	16	1	1	2	0	0
fan	fan	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
off	off	16	2	NA	NA	0	0
work	work	16	3	NA	NA	0	1
right	right	16	2	NA	NA	0	0
back	back	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
work	work	16	1	1	1	0	0
again	a-	16	1	1	2	0	0
again	gain	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
probly	prob-	16	1	NA	NA	0	0
probly	ly	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
ahead	a-	16	1	NA	NA	0	0
ahead	head	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
head	head	16	1	1	1	0	0
exam	ex-	16	1	1	2	0	0
exam	am	16	3	1	3	1	1
look	look	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
deaf	deaf	16	2	1	1	0	0
jam	jam	16	2	1	3	0	0
payment	pay-	16	2	1	1	0	0
payment	ment	16	1	1	2	0	0
plan	plan	16	3	1	3	1	1
well	well	16	3	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
entertainment	ent-	16	1	NA	NA	0	0
entertainment	er-	16	1	NA	NA	0	0
entertainment	tain-	16	1	1	1	0	0
entertainment	ment	16	1	1	2	0	0
and	and	16	2	1	3	1	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
singing	sing-	16	1	1	1	0	0
singing	ing	16	1	1	2	0	0
man	man	16	2	1	3	0	0
sane	sane	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
paying	pay-	16	1	1	1	0	0
paying	ing	16	1	1	2	0	0
fans	fans	16	3	1	3	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	2	2	1	0	1
slight	slight	16	2	2	1	0	0
change	change	16	2	1	1	0	0
of	of	16	1	1	2	0	0
plans	plans	16	3	1	3	1	1
harp	harp	16	2	NA	NA	0	0
strings	strings	16	3	3	1	0	0
angel	an-	16	2	NA	NA	0	0
angel	gel	16	1	NA	NA	0	0
wings	wings	16	2	3	1	0	0
and	and	16	1	NA	NA	0	0
praying	pray-	16	1	1	1	0	0
praying	ing	16	1	1	2	0	0
hands	hands	16	3	1	3	1	1
lord	lord	16	3	NA	NA	0	1
forgive	for-	16	1	NA	NA	0	0
forgive	give	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
shortcomings	short-	16	2	4	1	0	0
shortcomings	com-	16	1	4	2	0	0
shortcomings	ings	16	2	4	3	1	1
for	for	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
tour	tour	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
ignoring	ig-	16	1	NA	NA	0	0
ignoring	nor-	16	1	NA	NA	0	0
ignoring	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
court	court	16	2	4	1	0	0
summons	sum-	16	1	4	2	0	0
summons	mons	16	3	4	3	1	1
all	all	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
live	live	16	2	NA	NA	0	0
life	life	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fullest	full-	16	1	5	1	0	0
fullest	est	16	2	5	2	1	1
they	they	16	1	NA	NA	0	0
sent	sent	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
daddy	dad-	16	1	NA	NA	0	0
daddy	dy	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
barrage	bar-	16	1	NA	NA	0	0
barrage	rage	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
bullets	bul-	16	1	5	1	0	0
bullets	lets	16	2	5	2	1	1
why	why	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
ugly	ug-	16	1	NA	NA	0	0
ugly	ly	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
image	i-	16	1	6	1	0	0
image	mage	16	2	6	2	1	1
and	and	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
life	life	16	2	NA	NA	0	0
such	such	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fight	fight	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
finish	fin-	16	1	6	1	0	0
finish	ish	16	2	6	2	1	1
for	for	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
high	high	16	2	NA	NA	0	0
percentage	per-	16	1	NA	NA	0	0
percentage	cent-	16	1	6	1	0	0
percentage	age	16	2	6	2	0	1
when	when	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sky's	sky's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
limit	lim-	16	1	6	1	0	0
limit	it	16	2	6	2	1	1
a	a	16	1	NA	NA	0	0
second	se-	16	1	NA	NA	0	0
second	cond	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
minute	min-	16	1	6	1	0	0
minute	ute	16	1	6	2	0	0
evry	ev-	16	1	NA	NA	0	0
evry	ry	16	1	NA	NA	0	0
hour's	ho-	16	1	NA	NA	0	0
hour's	ur's	16	1	NA	NA	0	0
infinite	in-	16	2	NA	NA	0	0
infinite	fin-	16	1	6	1	0	0
infinite	ite	16	1	6	2	1	1
