word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
remix	re-	16	1	NA	NA	0	0
remix	mix	16	3	NA	NA	0	1
rising	ri-	16	1	NA	NA	0	0
rising	sing	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flames	flames	16	2	1	1	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
phoenix	phoe-	16	1	1	2	0	0
phoenix	nix	16	2	1	3	1	1
straining	strain-	16	1	NA	NA	0	0
straining	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
carry	car-	16	1	NA	NA	0	0
carry	ry	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
weight	weight	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
brain	brain	16	2	1	1	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
genius	gen-	16	1	1	2	0	0
genius	ius	16	2	1	3	1	1
knowing	know-	16	1	2	1	0	0
knowing	ing	16	1	2	2	0	0
i'm	i'm	16	1	NA	NA	0	0
sowing	sow-	16	1	2	1	0	0
sowing	ing	16	1	2	2	0	0
seeds	seeds	16	2	1	3	0	0
let's	let's	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
whose	whose	16	1	NA	NA	0	0
thumb	thumb	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
greenest	green-	16	1	1	2	0	0
greenest	est	16	2	1	3	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
mean	mean	16	1	1	2	0	0
it	it	16	1	1	3	0	0
i	i	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
need	need	16	1	1	2	0	0
it	it	16	2	1	3	1	1
eat	eat	16	2	NA	NA	0	0
sleep	sleep	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
bleed	bleed	16	1	1	2	0	0
it	it	16	2	1	3	0	1
write	write	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
read	read	16	1	1	2	0	0
it	it	16	2	1	3	1	1
asphalt	as-	16	2	3	1	0	0
asphalt	phalt	16	1	3	2	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cement	ce-	16	1	1	2	0	0
cement	ment	16	1	1	3	0	0
your	your	16	1	NA	NA	0	0
trash	trash	16	2	3	1	0	0
talk	talk	16	2	3	2	0	1
deleted	de-	16	1	NA	NA	0	0
deleted	le-	16	1	1	2	0	0
deleted	ted	16	1	1	3	1	0
i	i	16	1	NA	NA	0	0
blast	blast	16	2	3	1	0	0
off	off	16	2	3	2	0	1
then	then	16	1	NA	NA	0	0
lay	lay	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	1
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
tempurpedic	tem-	16	1	NA	NA	0	0
tempurpedic	pur-	16	1	NA	NA	0	0
tempurpedic	pe-	16	1	1	2	0	0
tempurpedic	dic	16	1	1	3	1	0
it's	it's	16	1	NA	NA	0	0
black	black	16	2	3	1	0	0
thought	thought	16	2	3	2	0	1
for	for	16	1	NA	NA	0	0
certain	cer-	16	1	NA	NA	0	0
certain	tain	16	1	NA	NA	0	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
win	win	16	1	NA	NA	0	0
eventually	e-	16	1	NA	NA	0	0
eventually	ven-	16	1	NA	NA	0	0
eventually	tua-	16	1	NA	NA	0	0
eventually	lly	16	1	1	2	1	0
this	this	16	1	1	3	0	0
unsung	un-	16	2	NA	NA	0	0
unsung	sung	16	2	NA	NA	0	1
underrated	un-	16	1	4	1	0	0
underrated	der-	16	1	4	2	0	0
underrated	ra-	16	1	4	3	0	0
underrated	ted	16	2	4	4	0	1
under	un-	16	1	4	1	0	0
under	der	16	1	4	2	0	0
appreciated	ap-	16	1	NA	NA	0	0
appreciated	pre-	16	1	NA	NA	0	0
appreciated	ci-	16	1	NA	NA	0	0
appreciated	a-	16	1	4	3	0	0
appreciated	ted	16	1	4	4	1	0
the	the	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	1
them	them	16	1	NA	NA	0	0
underachievers	un-	16	1	4	1	0	0
underachievers	der-	16	1	4	2	0	0
underachievers	ach-	16	1	NA	NA	0	0
underachievers	ie-	16	1	NA	NA	0	0
underachievers	vers	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
underestimated	und-	16	1	4	1	0	0
underestimated	er-	16	1	4	2	0	0
underestimated	est-	16	1	NA	NA	0	0
underestimated	i-	16	1	NA	NA	0	0
underestimated	mat-	16	1	4	3	0	0
underestimated	ed	16	1	4	4	1	0
finely	fine-	16	2	NA	NA	0	0
finely	ly	16	2	NA	NA	0	1
graduated	gra-	16	1	NA	NA	0	0
graduated	du-	16	1	NA	NA	0	0
graduated	a-	16	1	4	3	0	0
graduated	ted	16	1	4	4	0	0
from	from	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
most	most	16	2	NA	NA	0	0
hated	hat-	16	1	4	3	0	0
hated	ed	16	1	4	4	1	1
to	to	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
so	so	16	2	NA	NA	0	0
