word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
work	work	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	1	1	0	0
it	it	16	1	1	2	0	0
i'll	i'll	16	1	NA	NA	0	0
rob	rob	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
take	take	16	1	1	1	0	0
it	it	16	2	1	2	1	1
either	ei-	16	1	NA	NA	0	0
either	ther	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
children	child-	16	1	NA	NA	0	0
children	ren	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
starving	star-	16	1	NA	NA	0	0
starving	ving	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
naked	na-	16	1	1	1	0	0
naked	ked	16	2	1	2	1	1
rather	ra-	16	1	NA	NA	0	0
rather	ther	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
criminal	cri-	16	1	NA	NA	0	0
criminal	mi-	16	1	NA	NA	0	0
criminal	nal	16	1	NA	NA	0	0
pro	pro	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
follow	fol-	16	1	NA	NA	0	0
follow	low	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
matrix	mat-	16	1	1	1	0	0
matrix	rix	16	2	1	2	1	1
hey	hey	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
monster	mon-	16	1	NA	NA	0	0
monster	ster	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
created	cre-	16	1	NA	NA	0	0
created	a-	16	1	1	1	0	0
created	ted	16	1	1	2	1	1
i've	i've	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
inaugurated	in-	16	1	NA	NA	0	0
inaugurated	au-	16	1	NA	NA	0	0
inaugurated	gu-	16	1	NA	NA	0	0
inaugurated	ra-	16	1	1	1	0	0
inaugurated	ted	16	3	1	2	1	1
keep	keep	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bright	bright	16	2	NA	NA	0	0
lights	lights	16	2	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
faces	fa-	16	1	1	1	0	0
faces	ces	16	1	1	2	1	1
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
shake	shake	16	1	1	1	0	0
it	it	16	2	1	2	1	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
swallow	swal-	16	1	NA	NA	0	0
swallow	low	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hatred	hat-	16	1	1	1	0	0
hatred	red	16	2	1	2	1	1
aim	aim	16	2	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	0	0
holla	hol-	16	1	NA	NA	0	0
holla	la	16	1	NA	NA	0	0
bout	bout	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dollar	dol-	16	1	NA	NA	0	0
dollar	lar	16	1	NA	NA	0	0
nothin	no-	16	1	NA	NA	0	0
nothin	thin	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
sacred	sac-	16	1	1	1	0	0
sacred	red	8	1	1	2	1	1
we	we	16	1	NA	NA	0	0
gone	gone	8	1	NA	NA	0	0
pimp	pimp	8	1	NA	NA	0	1
the	the	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
nature	na-	16	1	1	1	0	0
nature	ture	16	2	1	2	1	1
send	send	16	1	NA	NA	0	0
our	our	16	2	NA	NA	0	0
troops	troops	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
paper	pa-	16	1	1	1	0	0
paper	per	16	2	1	2	1	1
tell	tell	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
stay	stay	16	1	NA	NA	0	0
away	a-	16	1	NA	NA	0	0
away	way	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
skyscrapers	sky-	16	2	NA	NA	0	0
skyscrapers	scrap-	16	1	1	1	0	0
skyscrapers	ers	16	2	1	2	1	1
ain't	ain't	16	2	NA	NA	0	0
long	long	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
y'all	y'all	16	2	NA	NA	0	0
acres	a-	16	1	1	1	0	0
acres	cres	16	2	1	2	1	1
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
show	show	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
who's	who's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
global	glo-	16	1	NA	NA	0	0
global	bal	16	2	NA	NA	0	0
gangster	gang-	16	1	1	1	0	0
gangster	ster	16	2	1	2	1	1
sentence	sen-	16	1	NA	NA	0	0
sentence	tence	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
four	four	16	2	NA	NA	0	0
more	more	16	1	NA	NA	0	0
years	years	16	2	NA	NA	0	0
thank	thank	16	1	1	1	0	0
you	you	16	2	1	2	1	1
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
bit	bit	16	1	NA	NA	0	0
safer	sa-	16	1	1	1	0	0
safer	fer	16	2	1	2	1	1
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
over	o-	16	2	2	1	0	0
over	ver	16	1	2	2	1	0
see	see	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
fear	fear	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	2	2	1	0	0
you	you	16	2	2	2	1	1
but	but	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
