word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
corners	cor-	16	2	1	1	0	0
corners	ners	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
too	too	16	1	1	2	0	0
much	much	16	2	NA	NA	0	0
drama	dra-	16	2	1	3	0	0
drama	ma	16	3	1	4	1	1
livin	liv-	16	1	NA	NA	0	0
livin	in	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
police	po-	16	2	1	1	0	0
police	lice	16	2	NA	NA	0	0
right	right	16	2	1	2	0	0
behind	be-	16	1	NA	NA	0	0
behind	hind	16	2	1	3	0	0
ya	ya	16	2	1	4	1	1
it's	it's	16	1	NA	NA	0	0
always	al-	16	2	NA	NA	0	0
always	ways	16	2	NA	NA	0	0
more	more	16	2	1	1	0	0
than	than	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
slight	slight	16	2	1	2	0	0
reminder	re-	16	1	NA	NA	0	0
reminder	mind-	16	2	1	3	0	0
reminder	er	16	2	1	4	1	1
we	we	16	1	NA	NA	0	0
livin	li-	16	1	NA	NA	0	0
livin	vin	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
war	war	16	2	1	1	0	0
zone	zone	16	2	NA	NA	0	0
like	like	16	2	1	2	0	0
rwanda	r-	16	1	NA	NA	0	0
rwanda	wan-	16	2	1	3	0	0
rwanda	da	16	2	1	4	1	1
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
go	go	16	2	NA	NA	0	0
back	back	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
heavenly	heav-	16	1	NA	NA	0	0
heavenly	en-	16	1	NA	NA	0	0
heavenly	ly	16	1	NA	NA	0	0
father	fa-	16	2	1	3	0	0
father	ther	16	3	1	4	1	1
pray	pray	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
too	too	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
bother	bo-	16	2	1	3	0	0
bother	ther	16	2	1	4	1	1
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
whatever	er	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
break	break	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
stronger	stron-	16	2	1	3	0	0
stronger	ger	16	2	1	4	1	1
i	i	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
take	take	16	2	NA	NA	0	0
too	too	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
longer	lon-	16	2	1	3	0	0
longer	ger	16	2	1	4	1	1
it's	it's	16	1	NA	NA	0	0
too	too	16	1	2	1	0	0
much	much	16	2	2	2	0	0
lyin	ly-	16	2	2	3	0	0
lyin	in	16	2	2	4	0	1
and	and	16	1	NA	NA	0	0
too	too	16	1	2	1	0	0
much	much	16	2	2	2	0	0
cryin	cry-	16	2	2	3	0	0
cryin	in	16	2	2	4	1	1
i'm	i'm	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
cried	cried	16	2	NA	NA	0	0
out	out	16	2	NA	NA	0	0
