word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
priceless	price-	16	2	1	1	0	0
priceless	less	16	1	1	2	0	0
is	is	16	3	1	3	0	1
some	some	16	1	NA	NA	0	0
advice	ad-	16	1	NA	NA	0	0
advice	vice	16	2	1	1	0	0
to	to	16	1	1	2	0	0
give	give	16	3	1	3	1	0
a	a	16	1	NA	NA	0	1
sacrifice	sacr-	16	1	NA	NA	0	0
sacrifice	i-	16	1	NA	NA	0	0
sacrifice	fice	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wife	wife	16	2	1	1	0	0
and	and	16	1	1	2	0	0
kids	kids	16	3	1	3	1	1
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
life's	life's	16	2	1	1	0	0
a	a	16	1	1	2	0	0
bitch	bitch	16	2	1	3	0	0
but	but	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
life	life	16	2	1	1	0	0
to	to	16	1	1	2	0	0
live	live	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
cake	cake	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
icing	i-	16	2	1	1	0	0
icing	cing	16	1	1	2	0	0
is	is	16	2	1	3	0	1
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
crisis	cris-	16	2	1	1	0	0
crisis	is	16	1	1	2	0	0
is	is	16	2	1	3	1	1
off	off	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
vices	vi-	16	2	1	1	0	0
vices	ces	16	1	1	2	0	0
is	is	16	3	1	3	1	1
they	they	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
grow	grow	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
likenesses	like-	16	2	1	1	0	0
likenesses	ness-	16	1	1	2	0	0
likenesses	es	16	2	1	3	1	1
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
having	hav-	16	1	NA	NA	0	0
having	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
fight	fight	16	2	1	1	0	0
for	for	16	1	1	2	0	0
this	this	16	2	1	3	1	1
story	sto-	16	1	NA	NA	0	0
story	ry	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
famly	fam-	16	1	NA	NA	0	0
famly	ly	16	1	NA	NA	0	0
biz	biz	16	2	NA	NA	0	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
rewrite	re-	16	1	NA	NA	0	0
rewrite	write	16	2	1	1	0	0
the	the	16	1	1	2	0	0
script	script	16	2	1	3	1	1
daughter	daugh-	16	1	NA	NA	0	0
