word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
globe	globe	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	3	NA	NA	0	1
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
realm	realm	8	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
illadelph	il-	16	1	1	1	0	0
illadelph	la-	16	1	1	2	0	0
illadelph	delph	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
planet	plan-	16	1	NA	NA	0	0
planet	et	16	1	NA	NA	0	0
overwhelmed	o-	16	1	1	1	0	0
overwhelmed	ver-	16	1	1	2	0	0
overwhelmed	whelmed	8	1	1	3	0	0
yo	yo	16	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
brace	brace	8	1	1	1	0	0
yourself	your-	16	1	1	2	0	0
yourself	self	16	3	1	3	1	1
you	you	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
against	a-	16	1	NA	NA	0	0
against	gainst	16	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
first	first	8	1	NA	NA	0	0
face	face	8	1	1	1	0	0
yourself	your-	16	1	1	2	0	0
yourself	self	8	1	1	3	1	0
i	i	16	1	NA	NA	0	0
pose	pose	8	1	NA	NA	0	0
threat	threat	8	1	NA	NA	0	1
to	to	16	1	NA	NA	0	0
whoever	who-	16	1	NA	NA	0	0
whoever	e-	16	1	NA	NA	0	0
whoever	ver	16	1	NA	NA	0	0
within	with-	16	1	NA	NA	0	0
within	in	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
commonwealth	com-	16	1	1	1	0	0
commonwealth	mon-	16	1	1	2	0	0
commonwealth	wealth	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
toxin	tox-	8	1	2	1	0	0
toxin	in	16	1	2	2	0	0
i'm	i'm	16	1	NA	NA	0	0
crushing	crush-	16	1	NA	NA	0	0
crushing	ing	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
crab	crab	8	1	NA	NA	0	0
concoction	con-	16	1	NA	NA	0	0
concoction	coc-	8	1	2	1	0	0
concoction	tion	16	1	2	2	1	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
utmost	ut-	8	1	3	1	0	0
utmost	most	8	1	3	2	0	1
examine	e-	16	1	NA	NA	0	0
examine	xa-	16	1	NA	NA	0	0
examine	mine	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
up	up	8	1	3	1	0	0
close	close	8	1	3	2	0	0
it's	it's	16	1	NA	NA	0	0
shocking	shock-	16	1	2	1	0	0
shocking	ing	8	1	2	2	1	1
now	now	16	3	NA	NA	0	1
mic	mic	8	1	NA	NA	0	0
dropping	drop-	16	1	2	1	0	0
dropping	ping	16	1	2	2	0	0
is	is	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
option	op-	16	1	2	1	0	0
option	tion	8	1	2	2	1	1
here	here	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
spliff	spliff	8	1	3	1	0	0
scientist	sci-	16	1	NA	NA	0	0
scientist	en-	16	1	NA	NA	0	0
scientist	tist	16	1	3	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flesh	flesh	8	1	NA	NA	0	1
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
forgotten	for-	16	1	NA	NA	0	0
forgotten	got-	16	1	2	1	0	0
forgotten	ten	8	1	2	2	1	1
his	his	16	1	NA	NA	0	0
excellency	excel-	8	1	4	1	0	0
excellency	len-	16	1	4	3	0	0
excellency	cy	16	1	4	4	0	0
the	the	16	1	NA	NA	0	0
most	most	8	1	NA	NA	0	0
poetically	po-	16	1	4	1	0	0
poetically	e-	16	1	4	2	0	0
poetically	tic-	16	1	4	3	0	0
poetically	ally	16	1	4	4	0	0
inventive	in-	16	1	5	1	0	0
inventive	ven-	16	1	5	2	0	0
inventive	tive	8	1	5	3	1	1
official	of-	16	1	NA	NA	0	0
official	fi-	16	1	NA	NA	0	0
official	cial	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	8	1	2	1	0	0
shit	shit	8	1	2	2	0	1
that's	that's	8	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
incentive	in-	8	1	5	1	0	0
incentive	cen-	16	1	5	2	0	0
incentive	tive	16	1	5	3	1	0
to	to	16	1	NA	NA	0	0
cop	cop	8	1	2	1	0	1
this	this	16	1	2	2	0	0
actual	act-	16	1	NA	NA	0	0
actual	u-	16	1	NA	NA	0	0
actual	al	16	1	NA	NA	0	0
fact	fact	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
not	not	16	1	2	1	0	0
the	the	16	1	2	2	0	0
likeness	like-	8	1	6	1	0	0
likeness	ness	16	3	6	2	1	1
cause	cause	16	1	NA	NA	0	0
possibly	pos-	16	1	7	1	0	0
possibly	si-	16	1	7	2	0	0
possibly	bly	16	1	7	3	0	0
clones	clones	8	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
like	like	8	1	6	1	0	0
this	this	8	1	6	2	1	1
fathom	fa-	16	1	NA	NA	0	0
fathom	thom	16	1	NA	NA	0	0
this	this	8	1	NA	NA	0	0
lyrically	ly-	16	1	7	1	0	0
lyrically	rica-	16	1	7	2	0	0
lyrically	lly	16	1	7	3	0	0
fabulous	fa-	16	1	8	1	0	0
fabulous	bu-	16	1	8	2	0	0
fabulous	lous	8	1	8	3	0	1
vocabulist	vo-	16	1	NA	NA	0	0
vocabulist	ca-	16	1	8	1	0	0
vocabulist	bu-	16	1	8	2	0	0
vocabulist	list	16	1	8	3	1	0
hold	hold	8	1	NA	NA	0	0
mic	mic	8	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
four	four	8	1	NA	NA	0	0
fifth	fifth	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lick	lick	8	1	9	1	0	0
shot	shot	16	3	9	2	1	1
so	so	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
pete	pete	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
wreak	wreak	8	1	9	1	0	0
rock	rock	16	1	9	2	0	0
i	i	16	1	NA	NA	0	0
think	think	8	1	9	1	0	0
not	not	16	3	9	2	1	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
smoke	smoke	8	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
sleep	sleep	8	1	NA	NA	0	0
drink	drink	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
think	think	8	1	9	1	0	0
