word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
sleeping	sleep-	16	1	NA	NA	0	0
sleeping	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
methamphetamine	meth-	16	1	NA	NA	0	0
methamphetamine	am-	16	2	NA	NA	0	0
methamphetamine	phet-	16	1	1	1	0	0
methamphetamine	a-	16	1	1	2	0	0
methamphetamine	mine	16	3	1	3	1	1
move	move	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
enemy	e-	16	1	1	1	0	0
enemy	ne-	16	1	1	2	0	0
enemy	my	16	1	1	3	0	0
ten	ten	16	2	NA	NA	0	0
steps	steps	16	2	NA	NA	0	1
ahead	a-	16	1	NA	NA	0	0
ahead	head	16	1	1	1	0	0
of	of	16	1	1	2	0	0
me	me	16	2	1	3	1	1
say	say	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
reputation	rep-	16	1	NA	NA	0	0
reputation	u-	16	1	NA	NA	0	0
reputation	ta-	16	1	NA	NA	0	0
reputation	tion	16	1	NA	NA	0	0
precede	pre-	16	1	NA	NA	0	0
precede	cede	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
pedigree	ped-	16	1	1	1	0	0
pedigree	i-	16	1	1	2	0	0
pedigree	gree	16	2	1	3	1	1
gentlemanly	gen-	16	1	NA	NA	0	0
gentlemanly	tle-	16	1	NA	NA	0	0
gentlemanly	man-	16	1	NA	NA	0	0
gentlemanly	ly	16	1	NA	NA	0	0
gangsta	gang-	16	1	1	1	0	0
gangsta	sta	16	2	1	2	0	0
steez	steez	16	2	1	3	0	1
beyond	be-	16	1	NA	NA	0	0
beyond	yond	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
seventies	se-	16	1	1	1	0	0
seventies	ven-	16	1	1	2	0	0
seventies	ties	16	2	1	3	1	1
holdin'	hold-	16	1	NA	NA	0	0
holdin'	in'	16	1	NA	NA	0	0
fast	fast	16	2	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
