word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
after	af-	16	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
love	love	16	1	1	1	0	0
is	is	16	1	1	2	0	0
lost	lost	16	4	1	3	1	1
friendship	friend-	16	2	NA	NA	0	0
friendship	ship	16	1	NA	NA	0	0
dissolves	dis-	16	1	NA	NA	0	0
dissolves	solves	16	3	NA	NA	0	1
and	and	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
blood	blood	16	1	1	1	0	0
is	is	16	1	1	2	0	0
lost	lost	16	4	1	3	1	1
where	where	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
begin	be-	16	1	NA	NA	0	0
begin	gin	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
each	each	16	1	NA	NA	0	0
other	o-	16	1	1	1	0	0
other	ther	16	1	1	2	0	0
wrong	wrong	16	4	1	3	1	1
troubled	troub-	16	1	NA	NA	0	0
troubled	led	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
neither	nei-	16	1	NA	NA	0	0
neither	ther	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
swim	swim	16	1	1	1	0	0
across	a-	16	1	1	2	0	0
across	cross	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
stopped	stopped	16	2	NA	NA	0	0
holding	hold-	16	1	NA	NA	0	0
holding	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
breath	breath	16	2	NA	NA	0	1
now	now	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
am	am	16	1	NA	NA	0	0
better	bet-	16	1	1	1	0	0
better	ter	16	1	1	2	0	0
off	off	16	3	1	3	1	1
there	there	16	2	NA	NA	0	1
without	with-	16	1	NA	NA	0	0
without	out	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
trace	trace	16	1	NA	NA	0	0
and	and	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
head	head	16	1	1	1	0	0
and	and	16	1	1	2	0	0
all	all	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
halted	hal-	16	2	NA	NA	0	0
halted	ted	16	1	NA	NA	0	0
motion	mo-	16	1	NA	NA	0	0
motion	tion	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rebel	re-	16	1	NA	NA	0	0
rebel	bel	16	1	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
without	out	16	1	1	1	0	0
a	a	16	1	1	2	0	0
pause	pause	16	4	1	3	1	1
what	what	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
done	done	16	4	NA	NA	0	1
till	till	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dead	dead	16	1	1	1	0	0
and	and	16	1	1	2	0	0
gone	gone	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
grim	grim	16	2	NA	NA	0	0
reaper	rea-	16	1	2	2	0	0
reaper	per	16	1	2	3	0	0
telling	tel-	16	1	NA	NA	0	0
telling	ling	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
swim	swim	16	2	NA	NA	0	1
deeper	deep-	16	1	2	2	0	0
deeper	er	16	1	2	3	1	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
lo	lo	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
behold	be-	16	1	NA	NA	0	0
behold	hold	16	2	NA	NA	0	1
the	the	16	1	NA	NA	0	0
soul	soul	16	2	2	1	0	0
keeper	keep-	16	1	2	2	0	0
keeper	er	16	1	2	3	1	0
i'm	i'm	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
breaking	break-	16	1	NA	NA	0	0
breaking	ing	16	1	NA	NA	0	0
out	out	16	1	3	1	0	0
in	in	16	1	3	2	0	0
a	a	16	1	3	3	0	0
sweat	sweat	16	2	3	4	0	1
or	or	16	1	NA	NA	0	0
cold	cold	16	2	2	1	0	0
fever	fe-	16	1	2	2	0	0
fever	ver	16	1	2	3	1	0
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
paying	pay-	16	1	NA	NA	0	0
paying	ing	16	1	NA	NA	0	0
up	up	16	1	3	1	0	0
on	on	16	1	3	2	0	0
my	my	16	1	3	3	0	0
debt	debt	16	2	3	4	0	1
or	or	16	1	NA	NA	0	0
tolls	tolls	16	2	2	1	0	0
either	ei-	16	1	2	2	0	0
either	ther	16	4	2	3	1	1
i'll	i'll	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
memories	me-	16	1	NA	NA	0	0
memories	mo-	16	1	NA	NA	0	0
memories	ries	16	1	NA	NA	0	0
here	here	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
won't	won't	16	2	NA	NA	0	0
need	need	16	1	2	2	0	0
them	them	16	1	2	3	1	0
if	if	16	1	NA	NA	0	0
i	i	16	3	NA	NA	0	1
stop	stop	16	2	NA	NA	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lie	lie	16	2	NA	NA	0	1
now	now	16	1	NA	NA	0	0
that's	that's	16	2	NA	NA	0	0
freedom	freed-	16	1	2	2	0	0
freedom	om	16	4	2	3	1	1
your	your	16	1	NA	NA	0	0
body's	bo-	16	1	NA	NA	0	0
body's	dy's	16	1	NA	NA	0	0
part	part	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
maritime	ma-	16	1	NA	NA	0	0
maritime	ri-	16	1	NA	NA	0	0
maritime	time	16	2	NA	NA	0	0
museum	mu-	16	1	NA	NA	0	0
museum	se-	16	1	2	2	0	0
museum	um	16	5	2	3	1	1
face	face	16	2	NA	NA	0	0
down	down	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
past	past	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
being	be-	16	1	2	2	0	0
being	ing	16	1	2	3	1	1
