word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fits	fits	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
panic	pa-	16	1	1	1	0	0
panic	nic	16	2	1	2	1	1
unwritten	un-	16	1	2	1	0	0
unwritten	writ-	16	1	2	2	0	0
unwritten	ten	16	1	2	3	0	0
and	and	16	1	NA	NA	0	0
unraveled	un-	16	1	2	1	0	0
unraveled	ra-	16	1	2	2	0	0
unraveled	veled	16	1	2	3	0	0
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dead	dead	16	1	NA	NA	0	0
man's	man's	16	2	NA	NA	0	0
pedantic	ped-	16	1	NA	NA	0	0
pedantic	an-	16	1	1	1	0	0
pedantic	tic	16	1	1	2	1	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
whatever	er	16	2	NA	NA	0	1
see	see	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
matter	mat-	16	1	NA	NA	0	0
matter	ter	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
semantics	se-	16	1	NA	NA	0	0
semantics	man-	16	1	1	1	0	0
semantics	tics	16	2	1	2	1	1
when	when	16	1	NA	NA	0	0
evrybody's	ev-	16	1	NA	NA	0	0
evrybody's	ry-	16	1	NA	NA	0	0
evrybody's	bo-	16	1	NA	NA	0	0
evrybody's	dy's	16	1	NA	NA	0	0
fresh	fresh	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
collateral	col-	16	1	NA	NA	0	0
collateral	lat-	16	1	NA	NA	0	0
collateral	er-	16	1	NA	NA	0	0
collateral	al	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
damage	da-	16	1	1	1	0	0
damage	mage	16	1	1	2	1	0
and	and	16	5	NA	NA	0	1
my	my	16	1	NA	NA	0	0
splaying	splay-	16	1	3	1	0	0
splaying	ing	16	1	3	2	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
praying	pray-	16	1	3	1	0	0
praying	ing	16	1	3	2	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mantis	man-	16	1	1	1	0	0
mantis	tis	16	1	1	2	1	0
i	i	16	1	NA	NA	0	0
begin	be-	16	1	NA	NA	0	0
begin	gin	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
vanish	van-	16	1	1	1	0	0
vanish	ish	16	2	1	2	1	1
feel	feel	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blank	blank	16	2	NA	NA	0	0
canvas	can-	16	1	1	1	0	0
canvas	vas	16	2	1	2	1	1
i'm	i'm	16	1	NA	NA	0	0
contemplating	con-	16	1	4	1	0	0
contemplating	temp-	16	1	4	2	0	0
contemplating	lat-	16	1	4	3	0	0
contemplating	ing	16	4	4	4	0	1
that	that	16	1	NA	NA	0	0
special	spe-	16	1	NA	NA	0	0
special	cial	16	1	NA	NA	0	0
dedication	de-	16	1	4	1	0	0
dedication	di-	16	1	4	2	0	0
dedication	ca-	16	1	4	3	0	0
dedication	tion	16	1	4	4	1	0
to	to	16	1	NA	NA	0	0
whoever	who-	16	1	NA	NA	0	0
whoever	e-	16	1	NA	NA	0	0
whoever	ver	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
concern	con-	16	1	NA	NA	0	0
concern	cern	16	2	NA	NA	0	1
my	my	16	1	NA	NA	0	0
letter	let-	16	1	NA	NA	0	0
letter	ter	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
resignation	res-	16	1	4	1	0	0
resignation	ig-	16	1	4	2	0	0
resignation	na-	16	2	4	3	0	0
resignation	tion	16	1	4	4	1	0
fading	fad-	16	2	NA	NA	0	0
fading	ing	16	2	NA	NA	0	0
back	back	16	2	5	1	0	0
