word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
move	move	4	1	NA	NA	0	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	8	1	1	1	0	0
the	the	16	1	1	2	0	0
nerve	nerve	16	3	1	3	1	1
lash	lash	8	1	NA	NA	0	0
out	out	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
just	just	8	1	1	1	0	0
deserts	de-	16	1	1	2	0	0
deserts	serts	8	1	1	3	0	0
it's	it's	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
just	just	8	1	1	1	0	0
a	a	16	1	1	2	0	0
word	word	16	3	1	3	1	1
some	some	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
y'all	y'all	8	1	NA	NA	0	0
heads	heads	8	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
clouds	clouds	16	3	NA	NA	1	1
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
bring	bring	8	1	NA	NA	0	0
y'all	y'all	8	1	NA	NA	0	0
back	back	8	1	1	1	0	0
to	to	16	1	1	2	0	0
earth	earth	8	1	1	3	0	1
it's	it's	16	1	NA	NA	0	0
black	black	8	1	NA	NA	0	0
back	back	8	1	1	1	0	0
to	to	16	1	1	2	0	0
burn	burn	8	1	1	3	1	1
the	the	16	1	NA	NA	0	0
bullshit	bull-	8	1	NA	NA	0	0
bullshit	shit	8	1	NA	NA	0	0
y'all	y'all	8	1	NA	NA	0	0
talkin'	talk-	8	1	2	1	0	0
talkin'	in'	16	1	2	2	0	0
'bout	'bout	16	3	2	3	1	1
out	out	16	2	2	1	0	0
ya	ya	16	1	2	2	0	0
mouth	mouth	8	1	2	3	0	0
i'm	i'm	16	1	NA	NA	0	0
not	not	8	1	1	1	0	0
concerned	con-	16	1	1	2	0	0
concerned	cerned	8	1	1	3	0	0
cause	cause	16	1	NA	NA	0	0
y'all	y'all	8	1	NA	NA	0	0
got	got	8	1	1	1	0	0
to	to	16	1	1	2	0	0
learn	learn	8	1	1	3	1	1
it's	it's	16	1	1	1	0	0
y'all	y'all	8	1	1	2	0	0
turn	turn	8	1	1	3	0	0
like	like	8	1	NA	NA	0	0
detroit	de-	16	1	NA	NA	0	0
detroit	troit	8	1	NA	NA	0	0
red	red	16	3	4	1	1	1
when	when	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
head	head	8	1	4	1	0	0
had	had	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
ultra	ul-	8	1	1	1	0	0
ultra	tra	16	1	1	2	0	0
perm	perm	8	1	1	3	0	0
the	the	16	1	NA	NA	0	0
long	long	8	1	NA	NA	0	0
walk	walk	8	1	1	1	1	1
will	will	16	1	1	2	0	0
burn	burn	8	1	1	3	0	0
your	your	16	1	NA	NA	0	0
bare	bare	8	1	NA	NA	0	0
heels	heels	8	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
on	on	8	1	6	1	0	0
your	your	16	1	6	2	0	0
boots	boots	4	1	6	3	1	1
the	the	16	1	NA	NA	0	0
game	game	8	1	NA	NA	0	0
camouflaged	ca-	16	1	NA	NA	0	0
camouflaged	mou-	16	1	NA	NA	0	0
camouflaged	flaged	8	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
army	ar-	8	1	6	1	0	0
army	my	16	1	6	2	0	0
suits	suits	8	1	6	3	1	1
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
more	more	8	1	NA	NA	0	0
clear	clear	8	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
came	came	8	1	6	1	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	6	2	0	0
coup	coup	16	1	6	3	0	0
in	in	8	1	NA	NA	0	0
here	here	8	1	NA	NA	1	1
ring	ring	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alarm	a-	16	1	NA	NA	0	0
alarm	larm	8	1	NA	NA	0	0
and	and	8	1	NA	NA	0	0
form	form	8	1	6	1	0	0
the	the	16	1	6	2	0	0
troops	troops	16	3	6	3	1	1
send	send	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	8	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
war	war	16	1	6	1	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	6	2	0	0
fluke	fluke	16	3	6	3	1	1
eye	eye	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
eye	eye	8	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
enemy	e-	16	1	NA	NA	0	0
enemy	ne-	16	1	NA	NA	0	0
enemy	my	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
sworn	sworn	8	1	6	1	0	0
to	to	16	1	6	2	0	0
shoot	shoot	16	3	6	3	1	1
now	now	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
comin'	com-	16	1	NA	NA	0	0
comin'	in'	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
neck	neck	8	1	NA	NA	0	0
sick	sick	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
hearing	hear-	16	1	NA	NA	0	0
hearing	ing	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
wrong	wrong	8	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
me	me	16	3	NA	NA	1	1
motherfucker	mo-	16	1	NA	NA	0	0
motherfucker	ther-	16	1	NA	NA	0	0
motherfucker	fuck-	16	1	NA	NA	0	0
motherfucker	er	16	1	NA	NA	0	0
something's	some-	16	1	NA	NA	0	0
something's	thing's	16	1	NA	NA	0	0
wrong	wrong	8	1	6	1	0	0
with	with	16	1	6	2	0	0
you	you	16	3	6	3	1	1
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
chief	chief	8	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
way	way	8	1	NA	NA	0	0
too	too	8	1	NA	NA	0	0
smart	smart	8	1	7	1	0	0
to	to	16	1	7	2	0	0
question	quest-	8	1	7	3	0	0
question	ion	8	1	7	4	1	1
the	the	16	1	NA	NA	0	0
enemy	e-	16	1	NA	NA	0	0
enemy	ne-	16	1	NA	NA	0	0
enemy	my	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
brothers	bro-	16	1	NA	NA	0	0
brothers	thers	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dark	dark	8	1	7	1	0	0
complexion	com-	16	1	7	2	0	0
complexion	plex-	8	1	7	3	0	0
complexion	ion	8	1	7	4	1	1
the	the	16	1	NA	NA	0	0
governments	go-	16	1	NA	NA	0	0
governments	vern-	16	1	NA	NA	0	0
governments	ments	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	8	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
shark	shark	8	1	7	1	0	0
infested	in-	16	1	7	2	0	0
infested	fest-	8	1	7	3	0	0
infested	ed	8	1	7	4	1	1
they	they	16	1	NA	NA	0	0
heavy	hea-	16	1	NA	NA	0	0
heavy	vy	16	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
weaponry	wea-	16	1	NA	NA	0	0
weaponry	pon-	16	1	NA	NA	0	0
weaponry	ry	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
charlton	charl-	8	1	7	1	0	0
charlton	ton	16	1	7	2	0	0
heston	hes-	8	1	7	3	0	0
heston	ton	8	1	7	4	1	1
