word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
sick	sick	16	3	NA	NA	1	1
sick	sick	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
waiting	wait-	16	1	1	1	0	0
waiting	ing	16	1	1	2	0	0
in	in	16	1	1	3	0	0
vain	vain	16	2	1	4	1	0
tired	tir-	16	1	2	1	0	0
tired	ed	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
playing	play-	16	1	1	1	0	0
playing	ing	16	1	1	2	0	0
the	the	16	1	1	3	0	0
game	game	16	2	1	4	1	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
making	mak-	16	1	1	1	0	0
making	ing	16	1	1	2	0	0
a	a	16	1	1	3	0	0
change	change	16	3	1	4	1	1
finally	fin-	16	1	2	1	0	0
finally	ly	16	1	2	2	0	0
breaking	break-	16	1	1	1	0	0
breaking	ing	16	1	1	2	0	0
the	the	16	1	1	3	0	0
chains	chains	16	3	1	4	1	1
