word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
sick	sick	16	3	NA	NA	1	1
sick	sick	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
waiting	wait-	16	1	1	1	0	0
waiting	ing	16	1	1	2	0	0
in	in	16	1	1	3	0	0
vain	vain	16	2	1	4	1	0
tired	tir-	16	1	2	1	0	0
tired	ed	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
playing	play-	16	1	1	1	0	0
playing	ing	16	1	1	2	0	0
the	the	16	1	1	3	0	0
game	game	16	2	1	4	1	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
making	mak-	16	1	1	1	0	0
making	ing	16	1	1	2	0	0
a	a	16	1	1	3	0	0
change	change	16	3	1	4	1	1
finally	fin-	16	1	2	1	0	0
finally	ly	16	1	2	2	0	0
breaking	break-	16	1	1	1	0	0
breaking	ing	16	1	1	2	0	0
the	the	16	1	1	3	0	0
chains	chains	16	3	1	4	1	1
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
phase	phase	16	2	1	4	0	0
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
happening	hap-	16	1	3	1	0	0
happening	pen-	16	1	3	2	0	0
happening	ing	16	1	3	3	0	0
craze	craze	16	2	3	4	1	1
when	when	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
said	said	16	1	4	1	0	0
and	and	16	1	NA	NA	0	0
done	done	16	2	NA	NA	0	1
my	my	16	1	NA	NA	0	0
head	head	16	1	4	1	0	0
is	is	16	1	NA	NA	0	0
right	right	16	2	NA	NA	0	0
back	back	16	1	3	1	0	0
in	in	16	1	3	2	0	0
a	a	16	1	3	3	0	0
haze	haze	16	2	3	4	1	0
i'm	i'm	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
next	next	16	2	NA	NA	0	1
chapter	chap-	16	1	3	1	0	0
chapter	ter	16	1	3	2	0	0
and	and	16	1	3	3	0	0
page	page	16	2	3	4	0	0
to	to	16	1	NA	NA	0	0
start	start	16	2	NA	NA	0	1
acting	act-	16	1	3	1	0	0
acting	ing	16	1	3	2	0	0
my	my	16	1	3	3	0	0
age	age	16	2	3	4	1	0
and	and	16	1	NA	NA	0	0
part	part	16	2	5	1	0	1
ways	ways	16	2	5	2	0	0
with	with	16	1	NA	NA	0	0
black	black	16	2	NA	NA	0	0
thought	thought	16	2	NA	NA	0	1
from	from	16	1	NA	NA	0	0
back	back	16	1	3	1	0	0
in	in	16	1	3	2	0	0
the	the	16	1	3	3	0	0
days	days	16	2	3	4	1	1
i'm	i'm	16	1	NA	NA	0	0
star	star	16	2	5	1	0	0
gazing	gaz-	16	1	5	2	0	0
gazing	ing	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	3	1	0	0
of	of	16	1	3	2	0	0
the	the	16	1	3	3	0	0
stage	stage	16	3	3	4	1	1
wondering	wond-	16	1	NA	NA	0	0
wondering	er-	16	1	NA	NA	0	0
wondering	ing	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
y'all	y'all	16	2	5	1	0	0
