word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
not	not	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
thing	thing	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
fear	fear	16	2	NA	NA	0	0
besides	be-	16	1	NA	NA	0	0
besides	sides	16	2	NA	NA	0	0
fear	fear	16	1	1	1	0	0
itself	it-	16	1	1	2	0	0
itself	self	16	4	1	3	1	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
clearly	clear-	16	1	NA	NA	0	0
clearly	ly	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lesson	les-	16	1	NA	NA	0	0
lesson	son	16	1	NA	NA	0	0
learned	learned	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
someone	some-	16	1	1	1	0	0
someone	one	16	1	1	2	0	0
else	else	16	4	1	3	1	1
reach	reach	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crown	crown	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
thorns	thorns	16	2	NA	NA	0	0
upon	u-	16	1	NA	NA	0	0
upon	pon	16	1	1	1	0	0
the	the	16	1	1	2	0	0
shelf	shelf	16	3	1	3	1	1
cross	cross	16	2	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
neck	neck	16	2	NA	NA	1	1
i've	i've	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
taught	taught	16	2	1	1	0	0
by	by	16	1	1	2	0	0
stealth	stealth	16	3	1	3	1	1
capture	cap-	16	1	NA	NA	0	0
capture	ture	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
moment	mo-	16	1	NA	NA	0	0
moment	ment	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
smash	smash	16	2	2	1	0	0
and	and	16	1	2	2	0	0
grab	grab	16	3	2	3	1	1
and	and	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
finna	fin-	16	1	NA	NA	0	0
finna	na	16	1	NA	NA	0	0
have	have	16	2	2	1	0	0
a	a	16	1	2	2	0	0
blast	blast	16	3	2	3	1	1
you	you	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
good	good	16	1	NA	NA	0	0
bye	bye	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	3	NA	NA	0	1
first	first	16	1	2	1	0	0
and	and	16	1	2	2	0	0
last	last	16	3	2	3	1	1
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	1	NA	NA	0	0
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
elevate	e-	16	1	NA	NA	0	0
elevate	le-	16	1	NA	NA	0	0
elevate	vate	16	2	2	1	0	0
your	your	16	1	2	2	0	0
glass	glass	16	3	2	3	1	1
to	to	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
example	ex-	16	1	NA	NA	0	0
example	am-	16	1	NA	NA	0	0
example	ple	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
what	what	16	2	NA	NA	0	1
time	time	16	2	NA	NA	0	0
will	will	16	1	NA	NA	0	0
do	do	16	1	3	1	0	0
to	to	16	1	3	2	0	0
you	you	16	1	3	3	1	0
when	when	16	2	NA	NA	0	1
those	those	16	1	NA	NA	0	0
nameless	name-	16	2	NA	NA	0	0
nameless	less	16	1	NA	NA	0	0
things	things	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
eluding	e-	16	1	NA	NA	0	0
eluding	lud-	16	1	3	1	0	0
eluding	ing	16	1	3	2	0	0
you	you	16	1	3	3	1	0
when	when	16	3	NA	NA	0	1
shit	shit	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
new	new	16	1	3	1	0	0
to	to	16	1	3	2	0	0
you	you	16	1	3	3	0	0
and	and	16	2	NA	NA	0	1
lies	lies	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
true	true	16	1	3	1	0	0
to	to	16	1	3	2	0	0
you	you	16	2	3	3	1	1
words	words	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
suspects	sus-	16	1	NA	NA	0	0
suspects	pects	16	2	NA	NA	0	0
usual	u-	16	1	3	1	0	0
usual	su-	16	1	3	2	0	0
usual	al	16	2	3	3	0	1
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
though	though	16	1	3	1	0	0
to	to	16	1	3	2	0	0
you	you	16	1	3	3	1	0
man	man	16	2	NA	NA	0	1
