word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	3	NA	NA	0	1
it's	it's	16	1	NA	NA	0	0
too	too	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
strain	strain	16	2	1	4	0	0
for	for	16	1	NA	NA	0	0
nominal	no-	16	1	1	1	0	0
nominal	mi-	16	1	1	2	0	0
nominal	nal	16	1	1	3	0	0
gain	gain	16	2	1	4	1	0
i'm	i'm	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	1
things	things	16	3	NA	NA	1	0
headaches	head-	16	1	NA	NA	0	0
headaches	aches	16	2	NA	NA	0	0
abdominal	ab-	16	1	NA	NA	0	0
abdominal	dom-	16	1	1	1	0	0
abdominal	i-	16	1	1	2	0	0
abdominal	nal	16	1	1	3	0	1
pain	pain	16	3	1	4	1	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
numb	numb	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
kettle	ket-	16	1	NA	NA	0	0
kettle	tle	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	1	1	0	0
the	the	16	1	1	2	0	0
ukraine	u-	16	1	1	3	0	1
ukraine	kraine	16	3	1	4	1	0
check	check	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blue	blue	16	1	1	3	0	1
flame	flame	16	3	1	4	0	0
lighter	light-	16	1	NA	NA	0	0
lighter	er	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
out	out	16	1	1	1	0	0
of	of	16	1	1	2	0	0
butane	bu-	16	1	1	3	0	0
butane	tane	16	2	1	4	1	0
what's	what's	16	1	2	1	0	0
up	up	16	2	2	2	0	1
with	with	16	2	2	3	0	0
my	my	16	1	NA	NA	0	0
destructive	des-	16	1	2	1	0	0
destructive	truct-	16	2	2	2	0	0
destructive	ive	16	1	2	3	0	0
urge	urge	16	2	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
unproductive	un-	16	1	NA	NA	0	0
unproductive	prod-	16	1	2	1	0	0
unproductive	uct-	16	2	2	2	0	1
unproductive	ive	16	2	2	3	1	0
choices	choic-	16	2	NA	NA	0	0
choices	es	16	1	NA	NA	0	0
i'm	i'm	16	1	2	1	0	0
stuck	stuck	16	1	2	2	0	0
with	with	16	2	2	3	0	0
now	now	16	2	NA	NA	0	0
starting	star-	16	1	NA	NA	0	0
