word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
rise	rise	8	1	NA	NA	0	0
up	up	8	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
bruise	bruise	8	1	1	1	0	0
never	ne-	16	1	1	2	0	0
never	ver	16	1	1	3	0	0
broken	bro-	16	1	1	4	0	0
broken	ken	8	1	1	5	1	1
i	i	16	1	NA	NA	0	0
move	move	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
short	short	8	1	2	1	0	0
fuse	fuse	8	1	2	2	0	0
my	my	16	1	NA	NA	0	0
wounds	wounds	8	1	1	1	0	0
never	ne-	16	1	1	2	0	0
never	ver	16	1	1	3	0	0
open	o-	16	1	1	4	0	0
open	pen	8	1	1	5	1	1
i	i	16	1	NA	NA	0	0
swung	swung	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
caught	caught	8	1	2	1	0	0
dudes	dudes	8	1	2	2	0	0
my	my	16	1	NA	NA	0	0
tools	tools	8	1	1	1	0	0
left	left	16	1	1	2	0	0
them	them	16	1	1	3	0	0
soaking	soak-	16	1	1	4	0	0
soaking	ing	16	1	1	5	0	0
in	in	16	1	NA	NA	0	0
blood	blood	8	1	NA	NA	1	1
for	for	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
determination	de-	16	1	NA	NA	0	0
determination	ter-	16	1	NA	NA	0	0
determination	mi-	16	1	NA	NA	0	0
determination	na-	16	1	NA	NA	0	0
determination	tion	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
just	just	16	1	1	1	0	0
but	but	16	1	1	2	0	0
a	a	16	1	1	3	0	0
token	to-	16	1	1	4	0	0
token	ken	8	1	1	5	1	1
my	my	16	1	NA	NA	0	0
garland	gar-	16	1	NA	NA	0	0
garland	land	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bare	bare	8	1	NA	NA	0	0
knuckle	knuck-	16	1	NA	NA	0	0
knuckle	le	16	1	NA	NA	0	0
brawling	brawl-	16	1	3	1	0	0
brawling	ing	16	1	3	2	0	0
ain't	ain't	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
falling	fal-	16	1	3	1	0	0
falling	ling	16	1	3	2	1	0
my	my	16	1	NA	NA	0	0
sword	sword	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
air's	air's	8	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
warning	warn-	16	1	3	1	0	0
warning	ing	16	1	3	2	0	0
of	of	16	1	NA	NA	0	0
global	glo-	16	1	NA	NA	0	0
global	bal	16	1	NA	NA	0	0
warming	warm-	16	1	3	1	0	0
warming	ing	16	1	3	2	1	0
when	when	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
strong	strong	8	1	NA	NA	0	0
arming	arm-	16	1	NA	NA	0	0
arming	ing	16	3	NA	NA	0	1
the	the	16	1	NA	NA	0	0
brawn	brawn	16	1	3	1	0	0
of	of	16	1	3	2	0	0
a	a	16	1	NA	NA	0	0
longshoreman	long-	8	1	NA	NA	0	0
longshoreman	shore-	16	1	3	1	0	0
longshoreman	man	16	1	3	2	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
storm	storm	8	1	NA	NA	0	0
forming	form-	16	1	3	1	0	0
forming	ing	8	1	3	2	1	1
i	i	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
hard	hard	8	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
george	george	8	1	NA	NA	0	0
foreman	fore-	16	1	3	1	0	0
foreman	man	16	1	3	2	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
square	square	8	1	NA	NA	0	0
circle	cir-	16	1	4	1	0	0
circle	cle	8	1	4	2	1	1
when	when	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
intention	in-	16	1	5	1	0	0
intention	ten-	16	1	5	2	0	0
intention	tion	16	1	5	3	0	0
is	is	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hurt	hurt	16	1	4	1	0	0
you	you	16	1	4	2	0	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
better	be-	16	1	NA	NA	0	0
better	tter	32	1	NA	NA	0	0
alert	a-	32	1	NA	NA	0	0
alert	lert	16	1	4	1	0	0
you	you	8	1	4	2	1	1
that's	that's	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
prevention	pre-	16	1	5	1	0	0
prevention	ven-	16	1	5	2	0	0
prevention	tion	16	1	5	3	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
virtue	vir-	16	1	4	1	0	0
virtue	tue	16	1	4	2	1	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
without	out	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
tomb	tomb	8	1	6	1	0	1
you're	you're	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
fuel	fu-	16	1	6	1	0	0
fuel	el	16	1	NA	NA	1	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sonic	so-	16	1	NA	NA	0	0
sonic	nic	16	1	NA	NA	0	0
boom	boom	16	3	6	1	0	1
show	show	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
duel	du-	16	1	6	1	0	0
duel	el	16	1	NA	NA	1	0
bring	bring	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
house	house	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
pain	pain	16	3	7	1	0	1
putting	put-	16	1	NA	NA	0	0
putting	ting	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
flame	flame	8	1	7	1	1	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
finish	fin-	16	1	NA	NA	0	0
finish	ish	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
game	game	8	1	7	1	0	1
your	your	16	1	NA	NA	0	0
crew	crew	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	8	1	7	1	1	1
you	you	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
throw	throw	16	3	NA	NA	0	1
shame	shame	16	1	7	1	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
plans	plans	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
name	name	8	1	7	1	1	1
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
weapon	wea-	16	1	NA	NA	0	0
weapon	pon	8	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
brain	brain	8	1	7	1	0	0
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
street	street	8	1	NA	NA	0	0
fighter	figh-	16	1	NA	NA	0	0
fighter	ter	16	1	NA	NA	1	1
